description,price,link,company_name,product_name,ram,screen_size,storage,color,weight,operating_system,screen_type,processor_generation
"ASUS Vivobook 15, 15.6-inch (39.62 cm) FHD, Intel Pentium Gold 7505, Thin and Light Laptop, (8GB RAM/256GB SSD/Intergrated Graphics/Windows 11 Home/Indie Black/1.8 Kg), X1500EA-EJ111WS","25,990",https://amazon.in//ASUS-Vivobook-15-6-inch-Intergrated-X1500EA-EJ111WS/dp/B0CRZ5JH8X/ref=sr_1_31?crid=18ZAB0S0IG7BR&dib=eyJ2IjoiMSJ9.6c4La5sdWTAPu--Oe8KgffCKaXuVf2u_yikqLNogldrSi3ssAlP3h3Q91ysMFGLutc_hDUHpvsOAvHtq9Dvoc5C7awD6ViDmPOtGz7UhDNCOR7Ran7Dgue0vogF2YbK1lMregaxsKqsP5ePXPU97dEycdg-KNiW2k2tFpTUmdckQHxwv41WeBPbpXdg7vlidfnoWP47XdZaqWaOPXUN-qekAAuapee8agnyVSJs6x7WqxTTxBLrmEFa4cLHJEPA4LqwQpqFSVElPS4KPiYXhL-3u4sjDczQ3vhc_yBlI8EA.lMMAPRYoTsPLSMS202DpHM6xPhWPOIXk9N9_oWVuvc4&dib_tag=se&keywords=laptop+ASUS&nsdOptOutParam=true&qid=1735371973&s=computers&sprefix=laptop+lenov%2Ccomputers%2C254&sr=1-31,ASUS,ROG Strix,8GB RAM,14.0,256GB SSD,Black,1.8 Kg,Windows 11,OLED,Intel 12th Gen
"ASUS TUF Gaming, 14"" FHD, 165Hz 400 nits, AMD Ryzen 7 8845HS Processor 3.8GHz, Gaming Laptop (16GB RAM/1TB SSD/NVIDIA GeForce RTX 4050/Windows 11/Office 2021//Jaeger Gray/1.46 Kg), FA401UU-RG033WS","1,23,590",https://amazon.in//ASUS-Processor-GeForce-Windows-FA401UU-RG033WS/dp/B0DBLMFYHK/ref=sr_1_106?crid=18ZAB0S0IG7BR&dib=eyJ2IjoiMSJ9.f6tvnjaSw5s8ESdGrBgP-60Vj7PAr67S5zxnGtRmiSMoHwdjzcZ6tIDcv94T8VfGiVA5mvFMUqfE-dl1H850j-FmkN3IELL3YO8RWRQpsWOjPDC-inE-7h_2scbYOFPPlr0fG31_sMkpU2mGdciVrWdIyNLd5gfmmLP71C-ms5jVeKGC08CkdDROnig_90HskYrQtEnCBVohZMbwH165n9Yf0-3HCFm81hbeVhQqjIzYF0ASYJ_1FwhWT274JiMJ9WJivgKZtmC9mbZHSclXO9G8tg6bWts53T8ZMYXLB14.tdN8Mk6QiGEyrtEx9nco7CSpcMVrjAA7LeTrtxUf_V0&dib_tag=se&keywords=laptop+ASUS&nsdOptOutParam=true&qid=1735371989&s=computers&sprefix=laptop+lenov%2Ccomputers%2C254&sr=1-106,ASUS,Vivobook ,16GB RAM,14.0,1TB SSD,Black,1.46 Kg,Windows 11,OLED,9th Gen
"ASUS Vivobook 15X OLED, 2.8K (2880 x 1620) 16:9, Core i5-1335U Processor 1.3 GHz, Thin & Light Laptop (16GB RAM/512GB SSD/Windows 11/Office Home/50Whr Battery/Cool Silver/1.60 kg), K3504VAD-MA542WS","59,990",https://amazon.in//ASUS-Vivobook-OLED-2-8K-2880/dp/B08H1MNSD7/ref=sr_1_32?crid=18ZAB0S0IG7BR&dib=eyJ2IjoiMSJ9.6c4La5sdWTAPu--Oe8KgffCKaXuVf2u_yikqLNogldrSi3ssAlP3h3Q91ysMFGLutc_hDUHpvsOAvHtq9Dvoc5C7awD6ViDmPOtGz7UhDNCOR7Ran7Dgue0vogF2YbK1lMregaxsKqsP5ePXPU97dEycdg-KNiW2k2tFpTUmdckQHxwv41WeBPbpXdg7vlidfnoWP47XdZaqWaOPXUN-qekAAuapee8agnyVSJs6x7WqxTTxBLrmEFa4cLHJEPA4LqwQpqFSVElPS4KPiYXhL-3u4sjDczQ3vhc_yBlI8EA.lMMAPRYoTsPLSMS202DpHM6xPhWPOIXk9N9_oWVuvc4&dib_tag=se&keywords=laptop+ASUS&nsdOptOutParam=true&qid=1735371973&s=computers&sprefix=laptop+lenov%2Ccomputers%2C254&sr=1-32,ASUS,TUF Gaming,16GB RAM,15.6,512GB SSD,Silver,1.60 kg,Windows 11,OLED,9th Gen
"ASUS ROG Strix Scar 16 (2024), Intel Core i9 14900HX 14th Gen, 16""(40.64cm) 2.5K QHD+240Hz, Gaming Laptop (32GB DDR5/2TB SSD/12GB RTX 4080/Win11/Per-Key RGB/90WHr/Black/2.65Kg),G634JZR-CM932WS","3,05,000",https://amazon.in//ASUS-14900HX-40-64cm-Gaming-G634JZR-CM932WS/dp/B0CV17QD1G/ref=sr_1_114?crid=18ZAB0S0IG7BR&dib=eyJ2IjoiMSJ9.f6tvnjaSw5s8ESdGrBgP-60Vj7PAr67S5zxnGtRmiSMoHwdjzcZ6tIDcv94T8VfGiVA5mvFMUqfE-dl1H850j-FmkN3IELL3YO8RWRQpsWOjPDC-inE-7h_2scbYOFPPlr0fG31_sMkpU2mGdciVrWdIyNLd5gfmmLP71C-ms5jVeKGC08CkdDROnig_90HskYrQtEnCBVohZMbwH165n9Yf0-3HCFm81hbeVhQqjIzYF0ASYJ_1FwhWT274JiMJ9WJivgKZtmC9mbZHSclXO9G8tg6bWts53T8ZMYXLB14.tdN8Mk6QiGEyrtEx9nco7CSpcMVrjAA7LeTrtxUf_V0&dib_tag=se&keywords=laptop+ASUS&nsdOptOutParam=true&qid=1735371989&s=computers&sprefix=laptop+lenov%2Ccomputers%2C254&sr=1-114,ASUS,G-Series,16GB RAM,16.0,2TB SSD,Black,1.6 Kg,Windows 10,OLED,14th Gen
"ASUS TUF Gaming VP5700 46.14 cm Backpack (Black), with Water Repellent Fabric, Suitable for up to 43.18 cm Laptop","1,299",https://amazon.in//ASUS-VP5700-Backpack-Repellent-Suitable/dp/B093HGZMHV/ref=sr_1_116?crid=18ZAB0S0IG7BR&dib=eyJ2IjoiMSJ9.f6tvnjaSw5s8ESdGrBgP-60Vj7PAr67S5zxnGtRmiSMoHwdjzcZ6tIDcv94T8VfGiVA5mvFMUqfE-dl1H850j-FmkN3IELL3YO8RWRQpsWOjPDC-inE-7h_2scbYOFPPlr0fG31_sMkpU2mGdciVrWdIyNLd5gfmmLP71C-ms5jVeKGC08CkdDROnig_90HskYrQtEnCBVohZMbwH165n9Yf0-3HCFm81hbeVhQqjIzYF0ASYJ_1FwhWT274JiMJ9WJivgKZtmC9mbZHSclXO9G8tg6bWts53T8ZMYXLB14.tdN8Mk6QiGEyrtEx9nco7CSpcMVrjAA7LeTrtxUf_V0&dib_tag=se&keywords=laptop+ASUS&nsdOptOutParam=true&qid=1735371989&s=computers&sprefix=laptop+lenov%2Ccomputers%2C254&sr=1-116,ASUS,TUF Gaming,4GB RAM,15.6,512GB SSD,Black,2.5 Kg,Windows 10,IPS,11th Gen
"ASUS AD180W Notebook Power Adapter with Power Cable (180cm), 20.0V/9.0A, 3 Pin, Easy to Carry, 424.8 g, Black, Compatible with Select Models","4,752",https://amazon.in//ASUS-AD180W-Notebook-Adapter-Compatible/dp/B0D8VTMYH5/ref=sr_1_121?crid=18ZAB0S0IG7BR&dib=eyJ2IjoiMSJ9.f6tvnjaSw5s8ESdGrBgP-60Vj7PAr67S5zxnGtRmiSMoHwdjzcZ6tIDcv94T8VfGiVA5mvFMUqfE-dl1H850j-FmkN3IELL3YO8RWRQpsWOjPDC-inE-7h_2scbYOFPPlr0fG31_sMkpU2mGdciVrWdIyNLd5gfmmLP71C-ms5jVeKGC08CkdDROnig_90HskYrQtEnCBVohZMbwH165n9Yf0-3HCFm81hbeVhQqjIzYF0ASYJ_1FwhWT274JiMJ9WJivgKZtmC9mbZHSclXO9G8tg6bWts53T8ZMYXLB14.tdN8Mk6QiGEyrtEx9nco7CSpcMVrjAA7LeTrtxUf_V0&dib_tag=se&keywords=laptop+ASUS&nsdOptOutParam=true&qid=1735371989&s=computers&sprefix=laptop+lenov%2Ccomputers%2C254&sr=1-121,ASUS,TUF Gaming,4GB RAM,15.6,256GB SSD,Black,2.2 Kg,Windows 10,OLED,Intel 12th Gen
"ASUS Vivobook 16 (2023), Intel Core i9-13900H 13th Gen, Thin & Light Laptop, 16"" (40.64 cm) FHD+,(16GB/512GB SSD/Intel Iris Xe/Win 11/Office 2021/Backlit KB/Fingerprint/Silver/1.88 kg) X1605VA-MB946WS","79,990",https://amazon.in//ASUS-Vivobook-i9-13900H-Fingerprint-X1605VA-MB946WS/dp/B0CHMYJ9BK/ref=sr_1_33?crid=18ZAB0S0IG7BR&dib=eyJ2IjoiMSJ9.6c4La5sdWTAPu--Oe8KgffCKaXuVf2u_yikqLNogldrSi3ssAlP3h3Q91ysMFGLutc_hDUHpvsOAvHtq9Dvoc5C7awD6ViDmPOtGz7UhDNCOR7Ran7Dgue0vogF2YbK1lMregaxsKqsP5ePXPU97dEycdg-KNiW2k2tFpTUmdckQHxwv41WeBPbpXdg7vlidfnoWP47XdZaqWaOPXUN-qekAAuapee8agnyVSJs6x7WqxTTxBLrmEFa4cLHJEPA4LqwQpqFSVElPS4KPiYXhL-3u4sjDczQ3vhc_yBlI8EA.lMMAPRYoTsPLSMS202DpHM6xPhWPOIXk9N9_oWVuvc4&dib_tag=se&keywords=laptop+ASUS&nsdOptOutParam=true&qid=1735371973&s=computers&sprefix=laptop+lenov%2Ccomputers%2C254&sr=1-33,ASUS,Vivobook ,16GB RAM,16.0,512GB SSD,Silver,1.88 kg,Windows 11,VA,13th Gen
"Asus AD45-00B 45W Laptop Adapter/Charger Without Power Cord for Select Models of ASUS (20 V, 2.5 A, 4 mm x 1.2mm Diameter - Black","1,899",https://amazon.in//Asus-AD45-00B-Laptop-Adapter-Black/dp/B07P5SBZRZ/ref=sr_1_125?crid=18ZAB0S0IG7BR&dib=eyJ2IjoiMSJ9.F7sSeMK5V5ca2aVatOR4o22jRwbd5NZxX1GOBvzjHU6D14-8i5JfAy9TJDD_8JA2PfMHNg8ZPHPBbKiXNS7hO4ac7thLuD-PHAYRnZbABEoqE3aFnbnixAJR9HZ_MbXdsgK9p_-wTJtGERiENQvS70fbpwHl2lgm_Suvtj9rbXvQW40AwUWoF8Dc17i924TpVNFU_gj8cXnA0JX8A5k0tF-Qu4wD4rmzlyLET9PmICPrY9DWeAsQB-5evstPhVm5sTtvK1yarW_KlTg97Yl_FihzpsaqZDkyt2fJkbdigrQ.hTn9es4E3ahqqe8wyr2x-klsBAjST7QBfYPhfW1hoz8&dib_tag=se&keywords=laptop+ASUS&nsdOptOutParam=true&qid=1735371994&s=computers&sprefix=laptop+lenov%2Ccomputers%2C254&sr=1-125,Asus,Vivobook ,16GB RAM,15.6,256GB SSD,Black,2.0 Kg,Windows 10,VA,9th Gen
Asus ROG BP1501/BP1701 39.62 cm (15.6-inch) Gaming Laptop Backpack (Black),"1,499",https://amazon.in//BP1501-15-6-inch-Gaming-Laptop-Backpack/dp/B081RLHHCY/ref=sr_1_126?crid=18ZAB0S0IG7BR&dib=eyJ2IjoiMSJ9.F7sSeMK5V5ca2aVatOR4o22jRwbd5NZxX1GOBvzjHU6D14-8i5JfAy9TJDD_8JA2PfMHNg8ZPHPBbKiXNS7hO4ac7thLuD-PHAYRnZbABEoqE3aFnbnixAJR9HZ_MbXdsgK9p_-wTJtGERiENQvS70fbpwHl2lgm_Suvtj9rbXvQW40AwUWoF8Dc17i924TpVNFU_gj8cXnA0JX8A5k0tF-Qu4wD4rmzlyLET9PmICPrY9DWeAsQB-5evstPhVm5sTtvK1yarW_KlTg97Yl_FihzpsaqZDkyt2fJkbdigrQ.hTn9es4E3ahqqe8wyr2x-klsBAjST7QBfYPhfW1hoz8&dib_tag=se&keywords=laptop+ASUS&nsdOptOutParam=true&qid=1735371994&s=computers&sprefix=laptop+lenov%2Ccomputers%2C254&sr=1-126,Asus,G-Series,8GB RAM,14.0,512GB SSD,Black,1.7 Kg,Windows 10,VA,9th Gen
"ASUS Vivobook S 15 OLED (2023), Intel Core EVO i5-13500H 13th Gen, 15.6"" (39.62 cm) 2.8K 120Hz OLED, Thin & Light Laptop (16GB/512GB SSD/Windows 11/Office 2021/75WHr/Silver/1.7 kg) S5504VA-MA543WS","75,990",https://amazon.in//ASUS-Vivobook-i5-13500H-Windows-S5504VA-MA543WS/dp/B0C1GGLV9Z/ref=sr_1_34?crid=18ZAB0S0IG7BR&dib=eyJ2IjoiMSJ9.6c4La5sdWTAPu--Oe8KgffCKaXuVf2u_yikqLNogldrSi3ssAlP3h3Q91ysMFGLutc_hDUHpvsOAvHtq9Dvoc5C7awD6ViDmPOtGz7UhDNCOR7Ran7Dgue0vogF2YbK1lMregaxsKqsP5ePXPU97dEycdg-KNiW2k2tFpTUmdckQHxwv41WeBPbpXdg7vlidfnoWP47XdZaqWaOPXUN-qekAAuapee8agnyVSJs6x7WqxTTxBLrmEFa4cLHJEPA4LqwQpqFSVElPS4KPiYXhL-3u4sjDczQ3vhc_yBlI8EA.lMMAPRYoTsPLSMS202DpHM6xPhWPOIXk9N9_oWVuvc4&dib_tag=se&keywords=laptop+ASUS&nsdOptOutParam=true&qid=1735371973&s=computers&sprefix=laptop+lenov%2Ccomputers%2C254&sr=1-34,ASUS,TUF Gaming,4GB RAM,15.6,512GB SSD,Silver,1.7 kg,Windows 11,OLED,13th Gen
