title,price_first,price_second,image_link,product_link,category
Ant Esports VS600L Value Series Power Supply,"Rs.3,800",,https://www.neostore.com.np/assets/uploads/VS600L_4.jpg,https://www.neostore.com.np/product/ant-esports-vs600l-value-series-power-supply,cameras
Ant Esports VS500L Value Series Power Supply,"Rs.3,300",,https://www.neostore.com.np/assets/uploads/VS500L_31.jpg,https://www.neostore.com.np/product/ant-esports-vs500l-value-series-power-supply,cameras
Dell Optiplex AIO 7420  | i7-14700 vPro | 8GB | 512GB SSD | Ubuntu OS | Touch Screen,"Rs.174,800","Rs.184,000",https://www.neostore.com.np/assets/uploads/one1511.jpg,https://www.neostore.com.np/product/dell-optiplex-aio-7420-i7-14700-vpro-8gb-512gb-ssd-ubuntu-os-touch-screen,cameras
Dell Optiplex Tower Plus 7020 | i7-14700 vPro | 8GB | 512GB SSD | Integrated Graphics | WIndows 11 Pro,"Rs.154,850","Rs.163,000",https://www.neostore.com.np/assets/uploads/7020_32.jpg,https://www.neostore.com.np/product/dell-optiplex-tower-plus-7020-i7-14700-vpro-8gb-512gb-ssd-integrated-graphics-windows-11-pro,cameras
Dell Optiplex Tower Plus 7020 | i9-14900 vPro | 8GB | 512GB SSD | RTX 4060 8GB GDDR6 | UBT,"Rs.252,700","Rs.266,000",https://www.neostore.com.np/assets/uploads/7020_31.jpg,https://www.neostore.com.np/product/dell-optiplex-tower-plus-7020-i9-14900-vpro-8gb-512gb-ssd-rtx-4060-8gb-gddr6-ubt,cameras
Ant Esports SX3 Mid-Tower Gaming Cabinet,"Rs.5,800",,https://www.neostore.com.np/assets/uploads/sx3_ant_esports_3.jpg,https://www.neostore.com.np/product/ant-esports-sx3-mid-tower-gaming-cabinet,cameras
Ant Esports GM40 RGB Gaming Mouse,Rs.500,,https://www.neostore.com.np/assets/uploads/ant_2.jpg,https://www.neostore.com.np/product/ant-esports-gm40-rgb-gaming-mouse,cameras
Onyx Boox Go 6 E-Reader,"Rs.35,000",,https://www.neostore.com.np/assets/uploads/onyx_go_6_2.jpg,https://www.neostore.com.np/product/onyx-boox-go-6-e-reader,cameras
UGREEN 80154 USB Type-C To 3.5mm Audio Adapter,"Rs.1,630","Rs.1,715",https://www.neostore.com.np/assets/uploads/80154_3.jpg,https://www.neostore.com.np/product/ugreen-80154-usb-type-c-to-3-5mm-audio-adapter,cameras
Lenovo LOQ Gaming Laptop - Intel Core i5 12450HX Processor | 24GB RAM | 512GB SSD | NVIDIA GeForce RTX 4050 Graphics | 15.6-inch FHD,"Rs.132,250","Rs.139,200",https://www.neostore.com.np/assets/uploads/lenovo_LOQ.jpg,https://www.neostore.com.np/product/lenovo-loq-gaming-laptop---intel-core-i5-12450hx-processor-24gb-ram-512gb-ssd-nvidia-geforce-rtx-4050-graphics-15-6-inch-fhd,cameras
Lenovo Ideapad Slim 3 14IRH8 - i5-13420H | 16GB | 512GB | Integrated Intel Iris Xe Graphics | 14.0-Inch FHD,"Rs.78,375","Rs.82,500",https://www.neostore.com.np/assets/uploads/one161.jpg,https://www.neostore.com.np/product/lenovo-ideapad-slim-3-14irh8---i5-13420h-16gb-512gb-integrated-intel-iris-xe-graphics-14-0-inch-fhd,cameras
Dell Inspiron G15 5511 - i5 11400H | 8GB | 256SSD | NVIDIA RTX 3050 4GB GDDR6 | FHD | Win 11,"Rs.105,000","Rs.145,900",https://www.neostore.com.np/assets/uploads/551121.jpg,https://www.neostore.com.np/product/dell-inspiron-g15-5511---i5-11400h-8gb-256ssd-nvidia-rtx-3050-4gb-gddr6-fhd-win-11,cameras
XP-Pen Deco 01 V2 Graphics Tablet,"Rs.12,500",,https://www.neostore.com.np/assets/uploads/uploads/2021/07/3.jpg,https://www.neostore.com.np/product/xp-pen-deco-01-v2-graphics-tablet,cameras
Dell Inspiron G15 5515 - AMD Ryzen 7 5800H | 8GB | 512SSD | NVIDIA RTX 3050 4GB GDDR6 | FHD | Win 11,"Rs.179,500",,https://www.neostore.com.np/assets/uploads/5515_511.jpg,https://www.neostore.com.np/product/dell-inspiron-g15-5515---amd-ryzen-7-5800h-8gb-512ssd-nvidia-rtx-3050-4gb-gddr6-fhd-win-11,cameras
Dell Alienware M15 R6 | i7 11800H | 32GB RAM | 1TB NVMe SSD | RTX 3070 GDDR6 | QHD Display With 240Hz,"Rs.299,999","Rs.359,900",https://www.neostore.com.np/assets/uploads/alien3.jpg,https://www.neostore.com.np/product/dell-alienware-m15-r6-i7-11800h-32gb-ram-1tb-nvme-ssd-rtx-3070-gddr6-qhd-display-with-240hz,cameras
Apple MacBook Air M1 8/256GB 13.3-Inch,"Rs.109,900","Rs.119,900",https://www.neostore.com.np/assets/uploads/air.jpg,https://www.neostore.com.np/product/apple-macbook-air-m1-8-256gb-13-3-inch,cameras
Ultima Watch Flex Smartwatch,"Rs.2,599","Rs.3,999",https://www.neostore.com.np/assets/uploads/flex.jpg,https://www.neostore.com.np/product/ultima-watch-flex-smartwatch,cameras
Acer Aspire 3 Spin 14 - i3 N305 | 8GB | 256GB | 14.0 Inch WUXGA | 360 Degree | Touch Screen | Windows 11,"Rs.60,500","Rs.65,000",https://www.neostore.com.np/assets/uploads/spin_141.jpg,https://www.neostore.com.np/product/acer-aspire-3-spin-14---i3-n305-8gb-256gb-14-0-inch-wuxga-360-degree-touch-screen-windows-11,cameras
Hikvision 22 Inch FHD Borderless Monitor DS-D5022F2-2P2,"Rs.11,000","Rs.12,500",https://www.neostore.com.np/assets/uploads/hikvision.jpg,https://www.neostore.com.np/product/hikvision-22-inch-fhd-borderless-monitor-ds-d5022f2-2p2,cameras
Haier 43-inch Google TV With Google Assistant - LE43K800GT,"Rs.41,990","Rs.49,990",https://www.neostore.com.np/assets/uploads/tele_2.jpg,https://www.neostore.com.np/product/haier-43-inch-google-tv-with-google-assistant---le43k800gt,cameras
Ultima Boost 10K Mini Powerbank,"Rs.2,999","Rs.3,999",https://www.neostore.com.np/assets/uploads/mini_411.jpg,https://www.neostore.com.np/product/ultima-boost-10k-mini-powerbank,cameras
PNY RTX 4070 SUPER 12GB Dual Fan OC Graphics Card,"Rs.112,750","Rs.118,680",https://www.neostore.com.np/assets/uploads/4070_SUPER_4.jpg,https://www.neostore.com.np/product/pny-rtx-4070-super-12gb-dual-fan-oc-graphics-card,cameras
Dell Optiplex Tower 7010 | I3-12100 | 8GB | 256GB SSD | UBT,"Rs.52,725","Rs.55,500",https://www.neostore.com.np/assets/uploads/7010_.jpg,https://www.neostore.com.np/product/dell-optiplex-tower-7010-i3-12100-8gb-256gb-ssd-ubt,cameras
Dell 21.5 Inch Full HD Monitor E2222H,"Rs.17,575","Rs.18,500",https://www.neostore.com.np/assets/uploads/E2222H_3.jpg,https://www.neostore.com.np/product/dell-21-5-inch-full-hd-monitor-e2222h,cameras
Poooli Pocket Photo Thermal Printer with 1 Roll Thermal Paper,"Rs.4,500","Rs.6,700",https://www.neostore.com.np/assets/uploads/uploads/2020/09/2-9.jpg,https://www.neostore.com.np/product/poooli-pocket-photo-thermal-printer-with-1-roll-thermal-paper,cameras
Acer Aspire 3 Spin 14 - i3 N305 | 8GB | 256GB | 14.0 Inch WUXGA | 360 Degree | Touch Screen | Windows 11,"Rs.60,500","Rs.65,000",https://www.neostore.com.np/assets/uploads/spin_141.jpg,https://www.neostore.com.np/product/acer-aspire-3-spin-14---i3-n305-8gb-256gb-14-0-inch-wuxga-360-degree-touch-screen-windows-11,cameras
Dell Inspiron 16 5625 - AMD Ryzen 5 5625U | 8GB | 512SSD | Radeon Graphics | FHD | Office,"Rs.108,545 - Rs.110,045","Rs.111,900",https://www.neostore.com.np/assets/uploads/5625_41.jpg,https://www.neostore.com.np/product/dell-inspiron-16-5625---amd-ryzen-5-5625u-8gb-512ssd-radeon-graphics-fhd-office,cameras
Asus Vivobook S 14 OLED M5406NA-PP115W - Ryzen 5 7535HS | 16GB | 1TB SSD | AMD Radeon™ Graphics,"Rs.133,599",,https://www.neostore.com.np/assets/uploads/M5406NA_1.jpg,https://www.neostore.com.np/product/asus-vivobook-s-14-oled-m5406na-pp115w---ryzen-5-7535hs-16gb-1tb-ssd-amd-radeon-graphics,cameras
Dell Inspiron 16 5630 i7 13th Gen - 1360P | 16GB | 512SSD | NVIDIA RTX 2050 4GB GDDR6 | FHD | Backlit Keyboard | Fingerprint,"Rs.176,225","Rs.185,500",https://www.neostore.com.np/assets/uploads/Dell_Inspiron_16_5630_41.jpg,https://www.neostore.com.np/product/dell-inspiron-16-5630-i7-13th-gen---1360p-16gb-512ssd-nvidia-rtx-2050-4gb-gddr6-fhd-backlit-keyboard-fingerprint,cameras
Asus Zenbook S 13 UX5304VA-NQ142WS- i7-1355U | 16GB | 1TB SSD | Intel Iris Xe | 2.8K Resolution | Super-Light,"Rs.204,599",,https://www.neostore.com.np/assets/uploads/UX5304VA_4.jpg,https://www.neostore.com.np/product/asus-zenbook-s-13-ux5304va-nq142ws--i7-1355u-16gb-1tb-ssd-intel-iris-xe-2-8k-resolution-super-light,cameras
Asus TUF Gaming A15 FA506NFR-HN004W - Ryzen 7 7435HS | 8GB | 512GB SSD | GeForce RTX2050 4GB | FHD,"Rs.128,999",,https://www.neostore.com.np/assets/uploads/FA506NFR-HN004W_4.jpg,https://www.neostore.com.np/product/asus-tuf-gaming-a15-fa506nfr-hn004w---ryzen-7-7435hs-8gb-512gb-ssd-geforce-rtx2050-4gb-fhd,cameras
Apple Macbook Pro 14 - M3 Pro | 11 Core CPU | 14C GPU | 18GB | 512GB,"Rs.329,000",,https://www.neostore.com.np/assets/uploads/macbook_pro_m3_pro_4.jpg,https://www.neostore.com.np/product/apple-macbook-pro-14---m3-pro-11-core-cpu-14c-gpu-18gb-512gb,cameras
Asus ProArt PX13 OLED HN7306WU-LX014W - Ryzen AI 9 HX 370 | 24GB | 1TB | RTX 4050 6GB Graphics | Touch | Stylus Support | 3K,"Rs.313,999",,https://www.neostore.com.np/assets/uploads/HN7306_22111.jpg,https://www.neostore.com.np/product/asus-proart-px13-oled-hn7306wu-lx014w---ryzen-ai-9-hx-370-24gb-1tb-rtx-4050-6gb-graphics-touch-stylus-support-3k,cameras
