html_filename,image1,image2,image3,image4,product_title,short_description,price,Display Size,Generation,Graphics,Maximum Display Resolution,Operation System,Microsoft Office Package,Ports and Connectivity,Processor,Processor Speed,Ram,Storage,Free Accessories,Touch Screen,Battery,Color,Insurance,Warranty,label,description2,Product,Model,Category,Device Type,Dimensions,Weight,Video Inputs,USB,Audio,Max_Resolution_&_Refresh,Brand,Display Panel Type,Size,Aspect Ratio,Pixel Per Inch,Brightness,Resolution,Refresh Rate,Contrast Ratio,Color Support,Ports,Features,Audio-out Availability,Panel_Dimensions,Cost,Panel Dimensions,Show_countdown,Interfaces,Localization,Input Voltage,Power Output Connetors details,Power Capacity,Cable,Cable Length,Localisation,Product Compatiblity,,Ports and connectivity,Series,Output Voltage,Cable Included,Dimension,Bag Type,Material,Display [Resoultion],Webcam,Operating System,Display [Resolution],Generation /  Series,Memory,Memory Slots Available,Max Upgradable Memory,DIsplay Size,Display Resolution,Display Type,Display Refresh Rate,Touch Screen availability,Ethernet & Bluetooth,Finger Print Reader,Speakers,Adapter Info,Bundeled Software,Warranty & Insurance,Bundeled Accessories,EMI Availability,Wireless & Bluetooth,Ports_and_connectivity,Processor_Speed,Refresh rate,Memory Slots,Max. Upgradable Memory,Speaker/ Audio,Adapter info,Camera,Exterior Chassis Materials,DPI,Sensor Type,No. of Buttons,Others,Interface,Wireless Receiver,Keyboard Type,Localization and Layout,Hot Keys Function,Keyboard Technology,Mouse Type,Buttons Qunatity,Movement Detection Technology,Movement Resolution,Battery Type,Software & System Requirement,Light,Connector Type,Touch_Screen,Batteries,Battery Weight,weight,Output connectors,Type,Connector type,Cable_length,System Required,Web Resolution,FOV,Lens technology,Focus type,Package contents,Technology,Frequency,Range,Charge Time,Play Time,Water Resistance,Keyboard,Battery Life,Wireless Range,Mouse,projection System,Display Color,Light Source Wattage,Light Source Life,HDTV Compatibilty,I/O Interface,Speaker
dell-15-g5-5511-i7-11800h-16gb-512ssd-nvidia-rtx-3050-ti-4gb-gddr6-fhd-office-2019.html,https://www.neostore.com.np/assets/uploads/55111.jpg,https://www.neostore.com.np/assets/uploads/Dell-G5-15-55111.jpg,https://www.neostore.com.np/assets/uploads/Dell-G5-15-5511--Front11.jpg,https://www.neostore.com.np/assets/uploads/Dell-G5-15-5511-top1.jpg,Dell-15 G5 5511 | i7-11800H | 16GB | 512SSD | NVIDIA RTX 3050 Ti 4GB GDDR6 | FHD | Office 2019,"15.6 Gaming Laptop FHD (1920 x 1080)@ 120Hz Anti-Glare LED Backlit 16GB Ram + 512GB SSD NVIDIA® GeForce RTX 3050 Ti-4GB GDDR6 3-Cell Battery, 56WHr Office 2019","Current Price: Rs.162,400, Original Price: Rs.203,900",15.6 Inch,11th Gen,NVIDIA RTX 3050 Ti- 4GB,1920 x 1080 Full HD,Win 11,Available,"1*SB 3.2 Gen 1, 1*USB 3.2 Gen 1 with PowerShare, 1*Thunderbolt 3/USB 3.2 Gen 1 Type-C port with DisplayPort with alt mode, 1*USB 3.2 Gen 1, 1*HDMI, 1*Power in, 1*RJ45, 1*Headphones/mic",Intel® Core™ i7-11800H,"24MB Cache, up to 4.6 GHz, 8 cores","16GB, 2x8GB, DDR4, 3200MHz",512GB M.2 PCIe NVMe Solid State Drive,Gaming Bag,No,"3-Cell Battery, 56WHr (Integrated)",-,N/a,1 Year,,"Designed to boost up the action Assurance of power With up to 11th Gen Intel® Core CPUs, you can experience seamless performance whether gaming, streaming, or watching movies on the Dell-15 G5 5511. Keep Calm The Alienware-inspired thermal design includes a twin air inlet from the top of the keyboard and the bottom of the Dell-15 G5 5511 11th gen. The air is subsequently released through four side vents. And the rear of the cabinet to maximize cooling and heat dissipation by optimizing airflow over the copper pipes. Increased Strength The G15 11th generation is based on the most recent advancements in thermal design. This has the ability to supply sufficient power while responding to changing system demands. This keeps components cooler and clock speeds higher when even the most demanding programs are running. It's All About the Storage Faster startup speeds and more storage space are available with twin drive SSD solutions. It's all systems go! When utilizing the NVIDIA RTX 3060 graphic card, Killer Gigabit Ethernet and Killer Wi-Fi 6 allow low latency gaming, uninterrupted HD streaming video, and interruption-free phone and video calls. Play the game on a whole new level Ready Game Graphics The Dell-15 G5 5511 11th gen standard edition includes the NVIDIA® GeForce® RTX 3060 card, which is powered by the NVIDIA Ampere architecture—the 2nd NVIDIA's gen RTX architecture—with new RT Cores, Tensor Cores, and streaming multiprocessors for realistic ray-traced visuals and cutting-edge AI capabilities. You may also immerse yourself in the action with faster loading times and a quieter system thanks to up to 4GB GDDR6 dedicated memory. Become engrossed Quick, smooth, and detailed gameplay is possible thanks to the FHD resolution and fast refresh rates. Choose from a 120Hz display panel with 250 nits of brightness (coming soon) or a 165Hz display panel with 300 nits of brightness, sRGB 100 percent color gamut, and a 3ms reaction time. Play as though you mean it. Technology for Game Shift When gaming gets critical, you may give yourself a turbo-boost of power with a single button press. Game Shift, which activates a dynamic performance mode in the Alienware Command Center, may be activated by pressing FN + the Game Shift key. As the CPUs work harder, this increases fan speed to keep your system cool. Amazing Sound Thanks to two speakers with nahimic 3D Audio, gamers can hear every plan of attack with superb clarity. Turn It On You can game plainly in low-light environments with an optional 4-zone RBG illuminated keyboard controlled by the Alienware Command Center. Long-Lasting Power Don't let your gaming revolve around a plug; with a 56Whr battery, your Dell-15 G5 5511 may now be charged rapidly (56Whr battery with RTX 3060). Dell G Series Alienware Command Center Improve Your Game We've developed cutting-edge software to improve your gaming experience, fine-tune all of your game and system settings, troubleshoot issues, and keep track of your time. Calibrate Controls Your hardware and software settings are now completely under your control. To make your program seem, you may change the hardware, as well as the area and set up, for each game you play. Feel precise as you like without interfering with your gaming or other hobbies. Ace Library Science The user-friendly interface links all of your system settings to a gaming library, making it simple to access gaming information. You can easily access your games from the command center. Regardless of the source, this is the chance to fine-tune parameters for each one. Create a distinct game profile that will remain consistent regardless of where you launch it.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dell-19-5-inch-hd-monitor---d2020h.html,https://www.neostore.com.np/assets/uploads/D2020H_3.jpg,https://www.neostore.com.np/assets/uploads/D2020H_2.jpg,https://www.neostore.com.np/assets/uploads/D2020H.jpg,https://www.neostore.com.np/assets/uploads/D2020H_3.jpg,Dell 19.5 inch HD+ Monitor - D2020H,"19.5 inch crisp display 1600 x 900 HD+ at 60 Hz TN pannel Tilt to your need HDMI, VGA","Current Price: Rs.14,500, Original Price: Rs.",,,,,,,,,,,,,,,Black,,3 Years,," GET A CLEAR VIEW OF IMAGES, VIDEOS, AND FILES ON THIS 19.5"" MONITOR WITH A COMPACT FOOTPRINT. SEE MORE, DO MORE: With 11% more pixels than WXGA+, you can see more and do more with this HD+ monitor. REDUCE EYE FATIGUE: Minimize eye strain and distraction with this anti-glare screen. PLAY AND PLUG: Fuss-free setup and easy to use. FLEXIBLE CONNECTIVITY Instant toggle of input sources through parallel connection with both HDMI and VGA ports. CLUTTER-FREE DESK: Keep a clean desk and reduce desktop clutter thanks to the built-in PSU SCREEN CUSTOMIZATION Adjust your screen settings through easy access to the on-screen display via the front panel control buttons",Dell,D2020H,Monitor,19.5 inch LED Monitor,Dimensions (with stand): Height 347.5 mm (13.68 in. ) Width 468.3 mm (18.44 in. ) Depth 167.3 mm (6.59 in. ),2.8Kgs,"HDMI
VGA",N/a,n/a,1600 x 900 at 60Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dell-21-5-inch-full-hd-monitor-e2222h.html,https://www.neostore.com.np/assets/uploads/E2222H_3.jpg,https://www.neostore.com.np/assets/uploads/E2222H.jpg,https://www.neostore.com.np/assets/uploads/E2222H_2.jpg,https://www.neostore.com.np/assets/uploads/E2222H_3.jpg,Dell 21.5 Inch Full HD Monitor E2222H,"Get a wide viewing angle while saving desk space. This 21.45-inch FHD monitor has a compact stand, slim profile and eco-conscious design.","Current Price: Rs.17,575, Original Price: Rs.18,500",,,,,,,,,,,,,,,Black,,3 Years,," The essentials you need to be more productive  Functional, space-saving design   Dell Display Manager  Green thinking for today and tomorrow   Connectivity Options Ports & Slots:
1. Power connector | 2. DP port | 3. VGA port

Cables Included:
Power cable | DP cable",Dell,E2222H,Monitor,22 inch LED Monitor,19.9 in x 6.7 in x 15.1 in - with stand,5 lbs / 2.26796 Kgs,"1x DP port
			1x VGA Port",N/a,n/a,1920 x 1080 at 60Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dell-22-inch-monitor-fhd-se2222h.html,https://www.neostore.com.np/assets/uploads/SE2222H_21.jpg,https://www.neostore.com.np/assets/uploads/SE2222H_31.jpg,https://www.neostore.com.np/assets/uploads/SE2222H1.jpg,https://www.neostore.com.np/assets/uploads/SE2222H_4.jpg,Dell 22 Inch Monitor FHD SE2222H,"Diagonal Size 21.5"" Resolution / Refresh Rate Full HD (1080p) 1920 x 1080 at 60 Hz Panel Technology VA Adjustability Tilt only Ports HDMI - (HDCP 1.4) VGA Cables 1 x HDMI cable","Current Price: Rs.17,500, Original Price: Rs.",,,,,,,,,,,,,,,,,3 Year,, Thoughtfully designed  Easy on the eyes  Better for the environment  Connectivity Options,,SE2222H,,,19.9 in x 7 in x 15.1 in - with stand,2.67Kg,,,,,Dell,VA,"21.5"" (22 Inch)",16:09,103,250 cd/m²,1920 x 1080,60 Hz,3000:1 / 3000:1 (dynamic),16.7 million colors,"HDMI (HDCP 1.4)
			VGA","LED edgelight system, Flicker Free technology, Dell ComfortView, 72% sRGB (CIE 1931) color gamut",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dell-24-inch-monitor---p2422h.html,https://www.neostore.com.np/assets/uploads/P2422H.jpg,https://www.neostore.com.np/assets/uploads/P2422H_3.jpg,https://www.neostore.com.np/assets/uploads/P2422H_2.jpg,https://www.neostore.com.np/assets/uploads/P2422H.jpg,Dell 24 Inch Monitor - P2422H,"Stay productive, no matter where you work. Reduce harmful blue light with this sleek 23.8-inch FHD monitor featuring ComfortView Plus technology.","Current Price: Rs.38,700, Original Price: Rs.39,900",,,,,,,,,,,,,,,16.7 million color,,3 Years,,"A better view from anywhere Comfort without sacrificing color: Optimize eye comfort with ComfortView Plus, an always-on, built-in screen that reduces potentially harmful blue light emissions while delivering excellent color accuracy. Color consistency comes standard: See consistent, vibrant colors across a wide viewing angle enabled by In-Plane Switching (IPS) technology. With 99% sRGB coverage, you get precise color right out of the box. Sleek, stylish and organized: Hide cords in the monitor riser to keep things organized. This sleek monitor has a three-sided ultrathin bezel, small base and an improved, easy-to-use cable management system. Comfort is key: Tilt, swivel, pivot and adjust the height of your monitor (150mm height adjustment range) for extra comfort during work. Designed with you in mind: Snap on the Dell Slim Soundbar (SB521A) and elevate your listening experience. Connect to Productivity Extensive connectivity: Easily connect to a variety of devices with extensive connectivity ports, including DisplayPort, HDMI, VGA and 4x SuperSpeed USB 5Gbps. Quick-access ports: Easily share and deliver content via quick-access ports conveniently placed at the front of the display. Easy navigation: Navigate the menu and adjust screen settings with the easy-to-use joystick control. Expand your efficiency: The three-sided ultrathin bezel design lets you enjoy an uninterrupted view of your content across multiple monitors. Furthermore, you can boost your productivity by up to 21% with a dual monitor setup. Green thinking for today and tomorrow Environmental standards: This monitor meets the latest regulatory and environmental standards such as EnergyStar®, EPEAT® Gold and TCO Certified Edge. Eco-conscious packaging: To reduce our manufacturing impact on the environment, this monitor is shipped Styrofoam-free and the packaging is made of at least 75% recycled cardboard. Energy conservation: Save energy when your monitor is not in use with PowerNap, a feature that dims or puts your monitor to sleep when it’s not in use.",Dell 24 Inch Monitor - P2422H,P2422H,Monitor,TFT active matrix,,17.53 lbs,"1x HDMI 
			1x VGA)",-,,Full HD (1080p) 1920 x 1080 at 60 Hz,,,,,,,,,,,,,,21.2 in x 7.1 in x 19.5 in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dell-24-monitor-s2421hn.html,https://www.neostore.com.np/assets/uploads/dell_monitor_3.jpg,https://www.neostore.com.np/assets/uploads/dell_monitor_2.jpg,https://www.neostore.com.np/assets/uploads/dell_monitor_1.jpg,https://www.neostore.com.np/assets/uploads/dell_monitor_3.jpg,Dell 24 Monitor | S2421HN,"23.8"" monitor with a gorgeous design that fits nicely into any room and is ready for your daily routine.","Current Price: Rs.26,100, Original Price: Rs.26,900",,,,,,,,,,,,,,,N/a,,3 Years,,"Designed to fit one lifestyle Beautiful look Every room of your home will be filled with the sensation of a perfect combination of exceptional design and quality. Moreover, the monitor has it's own distinct aesthetic, with a modern, attractive design and a slightly textured pattern on the rear. Seamless switching Built-in twin HDMI connections keep your devices connected. And also makes switching between streaming and console games a breeze. Keep everything in order Dell EasyArrange helps you stay organized. This also allows you to switch between apps, emails, and windows on one screen. Experience it all Clear views with less distraction On a 23.8"" monitor, the three-sided ultrathin bezel design allows for exceptional screen clarity in 1920 x 1080 Full HD resolution. Consistent colors With In-Plane Switching (IPS) technology, you can get practically smooth images with uniform color over a wide 178°/178° viewing angle. Leisure gaming AMD FreeSync technology provides a smooth, tear-free experience with a refresh rate of up to 75Hz. Easy on the eyes The flicker-free screen on this TÜV-certified monitor comes with ComfortView, a function that decreases harmful blue light emissions. It's made to keep your eyes comfortable for long periods of time, such as during your next movie marathon.",Dell 24 Monitor,S2421HN,Monitor,23.8 Inches LED Monitor,,7.28 lb,"2 x HDMI Port (ver 1.4), 1 x Audio line-out port",N/a,,1920 x 1080 at 75 Hz,,,,,,,,,,,,,,,-,21.17 inches x 6.02 inches x 16.25 inches With Stand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dell-24-touch-monitor-p2418ht.html,https://www.neostore.com.np/assets/uploads/uploads/2020/08/187.jpg,https://www.neostore.com.np/assets/uploads/uploads/2020/08/Dell-24-Touch-Monitor-P2418HT.jpg,https://www.neostore.com.np/assets/uploads/uploads/2020/08/187.jpg,https://www.neostore.com.np/assets/uploads/uploads/2020/08/Dell-24-Touch-Monitor-P2418HT.jpg,Dell 24 Touch Monitor | P2418HT,"Swipe, tap, slide, and pinch with Dell 24 Touch Monitor | P2418HT 16:9 10-Point Touchscreen IPS Monitor from Dell. This touchscreen monitor makes it easy to interact with the content being displayed on the screen, and with the included articulating stand you can adjust the angle of the display for maximum working comfort!","Current Price: Rs.66,835, Original Price: Rs.68,900",,,,,,,,,,,,,,,,,3 Year Warranty,,"Work productively without sacrificing comfort On the world's greatest 24-inch Dell touch monitor A hands-on work experience Intuitive touch: The 10-point touch on the Dell 24-inch Touch Monitor (P2418HT) feature delivers a more natural and responsive experience, so you can tap, swipe, slide and pinch in a snap. With two-handed touch control across the length of the anti-glare screen, you can navigate more smoothly. Work from any position: An articulating stand converts a conventional desktop monitor to a touch screen with a downward 60-degree angle. It also has extensive tilt and swivel capabilities, allowing you to customize the screen to your needs or to a more comfortable position. When the stand is fully compressed, a protective cushion provides a sturdy buffer against bumps. See clearly: State-of-the-art Advanced In-Cell Touch technology eliminates the need for the glass screen found in traditional monitors, providing an anti-glare surface that reduces distracting reflections and fingerprints, thus the result is a smooth display with improved clarity that’s easy on the eyes. A seamless view: An ultra-thin bezel on Dell 24 Touch Monitor | P2418HT is a stylish, elegant way to achieve unobstructed views when working across multiple monitors. Outstanding usability Stunning views: The display is of remarkable quality, with a full HD resolution and an 8 million to 1 dynamic contrast ratio. See consistent colors and effectively collaborate across the 178ᵒ /178ᵒ wide viewing angle enabled by In-Plane Switching Technology. Work comfortably: Enjoy an anti-glare, flicker-free screen with ComfortView™, a feature that filters out harmful blue light emissions. additionally, it’s TUV Certified. Do more in your workday Multitask: The Dell Display Manager software lets you multitask and save time. Quickly tile and view applications side by side with the Easy Arrange feature. Customize and pre-set the color settings of your applications with Auto-Mode. Connectivity ports: Extensive connectivity ports including VGA, DP, HDMI, USB3.0, and USB2.0 allow you to easily connect to a wide range of devices.  For related products and price detail of other Dell Monitors, check out Neostore.com.np",,,,"LED-backlit LCD monitor - 24"" - touchscreen",21.17 in x 2.13 in x 12.65 in,,,,,,,,,,,,,,,,,"USB hub,model=P2418HT",,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dell-27-inch-curved-gaming-monitor-s2721hgf.html,https://www.neostore.com.np/assets/uploads/S2721HGF_2.jpg,https://www.neostore.com.np/assets/uploads/S2721HGF`.jpg,https://www.neostore.com.np/assets/uploads/S2721HGF_3.jpg,https://www.neostore.com.np/assets/uploads/S2721HGF_2.jpg,Dell 27 Inch Curved Gaming Monitor – S2721HGF,"27"" Full-HD curved gaming monitor with bold new design. Featuring 144Hz refresh rate and 1ms MPRT (4ms, GTG) for smooth, immersive gameplay.","Current Price: Rs.48,400, Original Price: Rs.49,900",,,,,,,,,,,,,,,16.7 million color,,3 Years,," Made for mind-bending escapes Immersive action: Explore new worlds on an expansive 27” Full-HD display with remarkably vivid visuals that draw you deeper into the game. The 1500R curved screen creates a more realistic field of vision for an incredibly immersive viewing experience. Expansive views: Game with minimal distractions and a larger surface area thanks to a 3-sided ultrathin bezel. Full-speed ahead  Seamless speed: Enjoy smooth performance during high-speed action thanks to an incredibly fast 1ms Moving Picture Response Time (MPRT) that eliminates motion blur. Rapid responsiveness: An impressively speedy 144Hz refresh rate allows fast-moving visuals to be seen with incredible clarity so you can react quicker. Tear-free, stutter-free gaming NVIDIA G-SYNC Compatible Certification and AMD FreeSync™ Premium Technology minimizes graphic distortions like screen tearing and stuttering for smoother, fluid gameplay and extraordinary image quality. Evolved design. Enhanced gaming.  The new distinct, gaming-centric design favors a bolder look and gaming features that offer both functional and aesthetic benefits for gamers. Uniquely Designed: vents on the back of the monitor are engineered for enhanced heat dispersal. Stand and deliver: Game in comfort for extended periods thanks to a new slim, tapered stand with easy height and tilt adjustability. The angled base provides sturdy support and a smaller footprint, allowing for more desktop space for additional gaming accessories. Gaming-centric tools: Easily navigate and manage the on-screen display (OSD) menus with new joystick and shortcut buttons located on the back of the monitor. Customize every advantage: Three user-defined profiles give even more personalization options. The Timer, FPS Counter and Dark Stabilizer let you manage everything from frame rates to brightness to shadow control. Flicker free: Controlling the brightness using a direct current enables a flicker-free screen, giving you a more comfortable viewing experience. Game Longer: The ComfortView software solution reduces harmful blue light emissions to help reduce eye fatigue for your next marathon gaming session. Connectivity Options  Ports & Slots: 1. Power Connector | 2. Security Lock Slot | 3. Stand Lock Feature | 4. HDMI Port (HDMI 1.4) | 5. HDMI Port (HDMI 1.4) | 6. DisplayPort (1.2) | 7. Headphone Out Port Cables Included: HDMI Cable | Power Cable VESA Mount Interface: 100x100mm",Dell 27 Inch Curved Gaming Monitor – S2721HGF,S2721HGF,Monitor,LED/TFT Active Matrix,,9 lbs,"2 x HDMI (HDCP 1.4)
DisplayPort 1.2
Audio line-out",Yes type-C,,Full HD (1080p) 1920 x 1080 at 144 Hz,,,,,,,,,,,,,,541 x 380 x 200 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dell-27-inch-curved-gaming-monitor-s2722dgm.html,https://www.neostore.com.np/assets/uploads/S2722DGM_3.jpg,https://www.neostore.com.np/assets/uploads/S2722DGM_2.jpg,https://www.neostore.com.np/assets/uploads/S2722DGM.jpg,https://www.neostore.com.np/assets/uploads/S2722DGM_3.jpg,Dell 27 Inch Curved gaming monitor S2722DGM,"27 Inch Curved Display with 2ms Response time 99% sRGB color for Sharp Gaming Visuals QHD Display (2560 x 1440 ) Resolution with 165Hz Refresh rate with Display Port AMD FreeSync Premium Technology 1 x HDMI cable, 1 X DisplayPort 1.2 Cable - DisplayPort to DisplayPort","Current Price: Rs.72,075, Original Price: Rs.74,300",,,,,,,,,,,,,,,16.8 million colors,,3 Years,," Speed into victory A smoother experience: A 165Hz refresh rate allows fast-moving visuals to be seen with incredible clarity for faster reaction times. Faster reaction times means you stay ahead of the competition.
Picture-perfect: Not only is your gameplay crisper, but with a 1ms MPRT/ 2ms gray to gray response time, the pixels themselves change color almost instantaneously to eliminate motion blur.
Remarkable clarity: Stay engaged in the heat of battle with swift, responsive, stutter-free gameplay with AMD FreeSync™ Premium Technology. This monitor is enabled with gaming console VRR supportability.  Dive into the details See every detail: You won’t believe how immersive it will feel with a 27” curved QHD display that offers 77% more screen content than you’d get with Full HD.
The full spectrum: VA panel technology delivers a high 3000:1 contrast ratio for deeper blacks and brighter whites. Together with sRGB 99% color coverage, the colors are extremely vibrant across a wide viewing angle (178 degrees).
A new view: A 1500R curved screen with a 3-sided narrow border provides a truly immersive gaming experience by enhancing your field of vision, while reducing distortion, glare and reflection. Designed for gaming  Light it up: A new uniquely designed downlight provides ambient illumination for gaming in low-light environments.
Keep your cool: Vents featured on the back of the monitor are engineered for enhanced heat dispersal so you can game all day.
Win from any angle: Game in comfort for extended periods thanks to a new slim, tapered stand with easy height and tilt adjustability. The angled base provides sturdy support and a smaller footprint, allowing for more desktop space for additional gaming accessories.
Elevate your game: Three user-defined profiles offer even more personalization options. The Timer, FPS Counter and Dark Stabilizer let you manage everything from frame rates to brightness to shadow control. You can also navigate and manage the OSD menus with new joystick and shortcut buttons on the back of the monitor.
Customizable comfort: Simply snap your monitor into place using the Quick Release slots behind the monitor panel for quick and easy installation.
Flicker free: Controlling the brightness using a direct current enables a flicker-free screen, giving you a more comfortable viewing experience.
Game Longer: The ComfortView software solution reduces harmful blue light emissions to help reduce eye fatigue for your next marathon gaming session.  Connectivity Options Ports & Slots:
1. Power Connector | 2. Security Lock Slot | 3. Stand Lock | 4. Downlight | 5. HDMI 2.0 (x2) | 6. DisplayPort 1.2 | 7. Headphone Out Port

Cables Included:
1. Power cable | 2. HDMI 2.0 cable | 3. DisplayPort 1.2 cable ",Dell 27 Inch Curved gaming monitor S2722DGM,S2722DGM,Monitor,Curved Gaming Monitor,24 in x 7.5 in x 15.5 in - with stand,9.35lb (4.24kg),"2 x HDMI
DisplayPort",No,,2560 x 1440 With display port 165Hz /144 hz with HDMI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dell-27-inch-fhd-monitor-s2721hn.html,https://www.neostore.com.np/assets/uploads/S2721HN_4.jpg,https://www.neostore.com.np/assets/uploads/S2721HN_2.jpg,https://www.neostore.com.np/assets/uploads/S2721HN_3.jpg,https://www.neostore.com.np/assets/uploads/S2721HN.jpg,Dell 27 Inch FHD Monitor | S2721HN,"Diagonal Size 27"" Resolution / Refresh Rate Full HD (1080p) 1920 x 1080 at 75 Hz Adjustability Tilt Ports 2 x
	
HDMI (HDCP 1.4)
Audio line-out HDMI (HDCP 1.4) Audio line-out Cables 1 x HDMI cable Panel Technology IPS","Current Price: Rs.34,500, Original Price: Rs.",,,,,,,,,,,,,,,,,3 Year,," Designed to fit one lifestyle Beautiful look Every space in your house will exude the feeling of a seamless blend of excellent design and style. The monitor also has its own individual look, with a modern, appealing design and a slightly textured pattern on the back.  Seamless switching Twin HDMI connectors are built-in to keep your gadgets connected. Switching between streaming and console games is also a breeze.  Keep everything in order EasyArrange from Dell helps you remain organized. You may also use one screen to flip between programs, emails, and windows. Experience it all with Dell 27 Monitor | S2721HN Clear views with less distraction The three-sided ultrathin bezel design on a 23.8"" monitor provides remarkable screen clarity in 1920 x 1080 Full HD resolution. Consistent colors You may achieve nearly smooth visuals with consistent color over a broad 178°/178° viewing angle with In-Plane Switching (IPS) technology. Leisure gaming With a refresh rate of up to 75Hz, AMD FreeSync technology ensures a smooth, tear-free experience. Easy on the eyes This TÜV-certified monitor has a flicker-free screen with ComfortView, a feature that reduces harmful blue light emissions. It's designed to keep your eyes comfy for extended periods of time, such as while you're watching a movie marathon.  Connectivity Options Ports & Slots
1. Security-lock slot | 2. Power connector | 3. HDMI 1.4 ports | 4. Audio line-out port

Cables Included
1. Power Cable | 2. HDMI Cable",,S2721HN,,,24 in x 7.4 in x 17.8 in - with stand,4.30 Kg,,,,,Dell,LED-backlit LCD monitor / TFT active matrix,27 Inch,16:9,81.59,300 cd/m²,1920 x 1080,75 Hz,1000:1,16.7 million colors,,"LED edgelight system, Dell Easy Arrange, 3-sided bezeless, Color Gamut 99% sRGB, ComfortView Plus",Audio line-out,,,,,"2 x HDMI (HDCP 1.4)
Audio line-out",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
