title,price_first,price_second,image_link,product_link,category
Ultima Boom 181 Earbuds,"Rs.1,999","Rs.3,999",https://www.neostore.com.np/assets/uploads/181_6.jpg,https://www.neostore.com.np/product/ultima-boom-181-earbuds,ear-buds
Ultima Boom 311 Earbuds,"Rs.2,099","Rs.3,599",https://www.neostore.com.np/assets/uploads/3111.jpg,https://www.neostore.com.np/product/ultima-boom-311-earbuds,ear-buds
Ultima Boom 211 Earbuds,"Rs.2,099","Rs.3,499",https://www.neostore.com.np/assets/uploads/2111.jpg,https://www.neostore.com.np/product/ultima-boom-211-earbuds,ear-buds
JBL Earbuds Tune Flex Perfect Fit,"Rs.13,500",,https://www.neostore.com.np/assets/uploads/Tune_Flex_3.jpg,https://www.neostore.com.np/product/jbl-earbuds-tune-flex-perfect-fit,ear-buds
"Belkin Soundform Rhythm True Wireless Earbuds AUC012btBK ,  AUC012btWH","Rs.4,130","Rs.5,900",https://www.neostore.com.np/assets/uploads/belkin_rhythm_9.jpg,https://www.neostore.com.np/product/belkin-soundform-rhythm-true-wireless-earbuds-auc012btbk-auc012btwh,ear-buds
Ultima Prime 1.0 Premium Wireless Earbuds,"Rs.2,699","Rs.4,499",https://www.neostore.com.np/assets/uploads/prime_421.jpg,https://www.neostore.com.np/product/ultima-prime-1-0-premium-wireless-earbuds,ear-buds
CMF Buds Pro 2 By Nothing,"Rs.9,599",,https://www.neostore.com.np/assets/uploads/budzz_2.jpg,https://www.neostore.com.np/product/cmf-buds-pro-2-by-nothing,ear-buds
Ultima Blaze Gaming Earbuds,"Rs.2,299","Rs.2,999",https://www.neostore.com.np/assets/uploads/Blaze_411.jpg,https://www.neostore.com.np/product/ultima-blaze-gaming-earbuds,ear-buds
Xiaomi Redmi Buds 5A,"Rs.2,499",,https://www.neostore.com.np/assets/uploads/Xiaomi_Redmi_Buds_5A_3.jpg,https://www.neostore.com.np/product/xiaomi-redmi-buds-5a,ear-buds
Nothing Ear(a),"Rs.15,999",,https://www.neostore.com.np/assets/uploads/ear_a_1.jpg,https://www.neostore.com.np/product/nothing-ear-a-,ear-buds
Anker Life Note 3I Noise Cancelling Earbuds,"Rs.9,999",,https://www.neostore.com.np/assets/uploads/anker_3i_3.jpg,https://www.neostore.com.np/product/anker-life-note-3i-noise-cancelling-earbuds,ear-buds
Anker Life P3 | Noise Cancelling Earbuds with Bass,"Rs.14,999",,https://www.neostore.com.np/assets/uploads/P3_4.jpg,https://www.neostore.com.np/product/anker-life-p3-noise-cancelling-earbuds-with-bass,ear-buds
Anker V30i Open-Ear Earbuds,"Rs.9,999",,https://www.neostore.com.np/assets/uploads/V30i_4.jpg,https://www.neostore.com.np/product/anker-v30i-open-ear-earbuds,ear-buds
Anker Soundcore Liberty 4 Earbuds,"Rs.19,999",,https://www.neostore.com.np/assets/uploads/liberty_2.jpg,https://www.neostore.com.np/product/anker-soundcore-liberty-4-earbuds,ear-buds
Ultima Atom 720 Earbuds,"Rs.1,899 - Rs.2,199","Rs.2,899",https://www.neostore.com.np/assets/uploads/front11.jpg,https://www.neostore.com.np/product/ultima-atom-720-earbuds,ear-buds
JBL Tune 215 TWS,"Rs.9,500",,https://www.neostore.com.np/assets/uploads/JBL_Tune_215_TWS_2.jpg,https://www.neostore.com.np/product/jbl-tune-215-tws,ear-buds
Anker Soundcore Life P2i  Wireless Earbuds,"Rs.3,999",,https://www.neostore.com.np/assets/uploads/p2i_2.jpg,https://www.neostore.com.np/product/anker-soundcore-life-p2i-wireless-earbuds,ear-buds
Gravastar Sirius P5 TWS Earphones - Defence Armor V2,"Rs.11,390","Rs.11,990",https://www.neostore.com.np/assets/uploads/p5_31.jpg,https://www.neostore.com.np/product/gravastar-sirius-p5-tws-earphones---defence-armor-v2,ear-buds
Mivi Duopods A750 True Wireless Earbuds,"Rs.3,100",,https://www.neostore.com.np/assets/uploads/a750.jpg,https://www.neostore.com.np/product/mivi-duopods-a750-true-wireless-earbuds,ear-buds
Mivi Duopods A850 Earbuds,"Rs.3,300",,https://www.neostore.com.np/assets/uploads/a8_2.jpg,https://www.neostore.com.np/product/mivi-duopods-a850-earbuds,ear-buds
Mivi Duopods D4 Earbuds,"Rs.2,699","Rs.2,899",https://www.neostore.com.np/assets/uploads/d4_2.jpg,https://www.neostore.com.np/product/mivi-duopods-d4-earbuds,ear-buds
Ultima Boom 161 Earbuds,"Rs.2,499","Rs.2,999",https://www.neostore.com.np/assets/uploads/37222.jpg,https://www.neostore.com.np/product/ultima-boom-161-earbuds,ear-buds
Ultima Atom 520 Pro,"Rs.1,899","Rs.2,699",https://www.neostore.com.np/assets/uploads/ultima_5111.jpg,https://www.neostore.com.np/product/ultima-atom-520-pro,ear-buds
Ultima Atom 820 Wireless Ear Buds,"Rs.1,599","Rs.2,999",https://www.neostore.com.np/assets/uploads/Blue_(2)11.png,https://www.neostore.com.np/product/ultima-atom-820-wireless-ear-buds,ear-buds
Anker Soundcore R50i True Wireless Earbuds,"Rs.4,499",,https://www.neostore.com.np/assets/uploads/r50i.jpg,https://www.neostore.com.np/product/anker-soundcore-r50i-true-wireless-earbuds,ear-buds
Ultima Boom 141 ANC,"Rs.2,399","Rs.3,499",https://www.neostore.com.np/assets/uploads/bb11.jpg,https://www.neostore.com.np/product/ultima-boom-141-anc,ear-buds
