title,price_first,price_second,image_link,product_link,category
PNY RTX 4070 SUPER 12GB Dual Fan OC Graphics Card,"Rs.112,750","Rs.118,680",https://www.neostore.com.np/assets/uploads/4070_SUPER_4.jpg,https://www.neostore.com.np/product/pny-rtx-4070-super-12gb-dual-fan-oc-graphics-card,graphics-cards
PNY GeForce RTX 4080 SUPER 16GB VERTO Overclocked Triple Fan DLSS 3,"Rs.209,000","Rs.220,000",https://www.neostore.com.np/assets/uploads/4080s_21.jpg,https://www.neostore.com.np/product/pny-geforce-rtx-4080-super-16gb-verto-overclocked-triple-fan-dlss-3,graphics-cards
PNY GeForce RTX 4070 SUPER 12GB XLR8 Gaming VERTO EPIC-X RGB Overclocked Triple Fan DLSS 3,"Rs.120,500","Rs.126,680",https://www.neostore.com.np/assets/uploads/4070_31.jpg,https://www.neostore.com.np/product/pny-geforce-rtx-4070-super-12gb-xlr8-gaming-verto-epic-x-rgb-overclocked-triple-fan-dlss-3,graphics-cards
PNY GeForce RTX 4060 Ti 8GB VERTO Dual Fan DLSS 3,"Rs.74,100","Rs.78,000",https://www.neostore.com.np/assets/uploads/4060ti_dual_fan_3.jpg,https://www.neostore.com.np/product/pny-geforce-rtx-4060-ti-8gb-verto-dual-fan-dlss-3,graphics-cards
PNY GeForce RTX 4060 Ti 8GB XLR8 Gaming VERTO EPIC-X RGB Triple Fan DLSS 3,"Rs.86,150","Rs.90,680",https://www.neostore.com.np/assets/uploads/4060_ti.jpg,https://www.neostore.com.np/product/pny-geforce-rtx-4060-ti-8gb-xlr8-gaming-verto-epic-x-rgb-triple-fan-dlss-3,graphics-cards
PNY GeForce RTX 4060 8GB XLR8 Gaming VERTO EPIC-X RGB Triple Fan DLSS 3,"Rs.61,450","Rs.64,680",https://www.neostore.com.np/assets/uploads/4060_21.jpg,https://www.neostore.com.np/product/pny-geforce-rtx-4060-8gb-xlr8-gaming-verto-epic-x-rgb-triple-fan-dlss-3,graphics-cards
PNY GeForce RTX 4060 8GB VERTO Dual Fan DLSS 3,"Rs.58,275","Rs.61,340",https://www.neostore.com.np/assets/uploads/4060_.jpg,https://www.neostore.com.np/product/pny-geforce-rtx-4060-8gb-verto-dual-fan-dlss-3,graphics-cards
PNY GeForce RTX 3070 Ti 8GB VERTO Triple Fan Graphics Card,"Rs.114,000","Rs.120,000",https://www.neostore.com.np/assets/uploads/3070ti_2.jpg,https://www.neostore.com.np/product/pny-geforce-rtx-3070-ti-8gb-verto-triple-fan-graphics-card,graphics-cards
PNY GeForce RTX™ 4080 16GB XLR8 Gaming VERTO™ EPIC-X RGB Triple Fan DLSS 3 Graphics Card,"Rs.240,650","Rs.253,320",https://www.neostore.com.np/assets/uploads/4080_3.jpg,https://www.neostore.com.np/product/pny-geforce-rtx-4080-16gb-xlr8-gaming-verto-epic-x-rgb-triple-fan-dlss-3-graphics-card,graphics-cards
PNY GeForce RTX 3060 Ti 8GB XLR8 Gaming Dual Fan Edition Graphics Card,"Rs.91,200","Rs.96,000",https://www.neostore.com.np/assets/uploads/3060ti.jpg,https://www.neostore.com.np/product/pny-geforce-rtx-3060-ti-8gb-xlr8-gaming-dual-fan-edition-graphics-card,graphics-cards
PNY GeForce RTX 3060 12GB XLR8 Gaming Dual Fan Edition Graphics Card,"Rs.60,800","Rs.64,000",https://www.neostore.com.np/assets/uploads/3060_2.jpg,https://www.neostore.com.np/product/pny-geforce-rtx-3060-12gb-xlr8-gaming-dual-fan-edition-graphics-card,graphics-cards
PNY RTX 3050 Duel Fan Graphics Card,"Rs.35,475","Rs.37,340",https://www.neostore.com.np/assets/uploads/pny_281.jpg,https://www.neostore.com.np/product/pny-rtx-3050-duel-fan-graphics-card,graphics-cards
PNY GTX 1660 TI 6GB Dual Fan XLR8 Graphic Card,"Rs.49,400","Rs.52,000",https://www.neostore.com.np/assets/uploads/1660_ti_pny_2.jpg,https://www.neostore.com.np/product/pny-gtx-1660-ti-6gb-dual-fan-xlr8-graphic-card,graphics-cards
PNY GTX1660 Super 6GB  Single Fan Graphic Card,"Rs.53,200","Rs.56,000",https://www.neostore.com.np/assets/uploads/1660_2.jpg,https://www.neostore.com.np/product/pny-gtx1660-super-6gb-single-fan-graphic-card,graphics-cards
PNY GeForce GTX 1650 4GB GDDR6 Dual Fan,"Rs.30,400","Rs.32,000",https://www.neostore.com.np/assets/uploads/pny_27.jpg,https://www.neostore.com.np/product/pny-geforce-gtx-1650-4gb-gddr6-dual-fan,graphics-cards
