title,price_first,price_second,image_link,product_link,category
Hiksemi CITY E100 Consumer m.2 SSD HS-SSD-E100N,"Rs.2,445 - Rs.11,320","Rs.2,715 - Rs.12,575",https://www.neostore.com.np/assets/uploads/E100N_hiksemi_3.jpg,https://www.neostore.com.np/product/hiksemi-city-e100-consumer-m-2-ssd-hs-ssd-e100n,hdds-ssds
Hiksemi CITY E100 Consumer SSD HS-SSD-E100,"Rs.1,999 - Rs.10,930","Rs.2,220 - Rs.12,145",https://www.neostore.com.np/assets/uploads/HS-SSD-E100.jpg,https://www.neostore.com.np/product/hiksemi-city-e100-consumer-ssd-hs-ssd-e100,hdds-ssds
Seagate 1TB 3.5 Inch Desktop HDD - 7200 RPM,"Rs.7,500","Rs.7,900",https://www.neostore.com.np/assets/uploads/2641.jpg,https://www.neostore.com.np/product/seagate-1tb-3-5-inch-desktop-hdd---7200-rpm,hdds-ssds
Seagate SkyHawk 3.5 Inch Surveillance Hard Drives - 5900 RPM,"Rs.8,075 - Rs.18,900","Rs.8,500 - Rs.19,900",https://www.neostore.com.np/assets/uploads/1821.jpg,https://www.neostore.com.np/product/seagate-skyhawk-3-5-inch-surveillance-hard-drives---5900-rpm,hdds-ssds
Seagate SkyHawk 3.5 Inch Surveillance Hard Drives ,"Rs.8,465 - Rs.47,150","Rs.9,406 - Rs.52,387",https://www.neostore.com.np/assets/uploads/1831.jpg,https://www.neostore.com.np/product/seagate-skyhawk-3-5-inch-surveillance-hard-drives-,hdds-ssds
Kioxia NVMe M.2 2280 PCIe Gen 4 x 4 Exceria Pro SSD,"Rs.40,375 - Rs.68,875","Rs.42,500 - Rs.72,500",https://www.neostore.com.np/assets/uploads/178.jpg,https://www.neostore.com.np/product/kioxia-nvme-m-2-2280-pcie-gen-4-x-4-exceria-pro-ssd,hdds-ssds
Kioxia NVMe M.2 2280 PCIe Gen 3 x 4 Exceria Plus G2 SSD,"Rs.12,825 - Rs.60,325","Rs.13,500 - Rs.63,500",https://www.neostore.com.np/assets/uploads/177.jpg,https://www.neostore.com.np/product/kioxia-nvme-m-2-2280-pcie-gen-3-x-4-exceria-plus-g2-ssd,hdds-ssds
Kioxia M.2 2280 PCIe Gen 3x4 EXCERIA NVMe SSD,"Rs.6,840 - Rs.17,670","Rs.7,200 - Rs.18,600",https://www.neostore.com.np/assets/uploads/kioxia.jpg,https://www.neostore.com.np/product/kioxia-m-2-2280-pcie-gen-3x4-exceria-nvme-ssd,hdds-ssds
Kioxia 2.5 Inch Exceria Sata SSD,"Rs.6,175 - Rs.16,625","Rs.6,500 - Rs.17,500",https://www.neostore.com.np/assets/uploads/exercia.jpg,https://www.neostore.com.np/product/kioxia-2-5-inch-exceria-sata-ssd,hdds-ssds
AZEK PCIe NVMe M.2 Internal Gaming SSD A1000,"Rs.3,350 - Rs.10,500",,https://www.neostore.com.np/assets/uploads/176.jpg,https://www.neostore.com.np/product/azek-pcie-nvme-m-2-internal-gaming-ssd-a1000,hdds-ssds
AZEK Consumer Series 2.5 Inch SSD A100,"Rs.3,100 - Rs.16,900",,https://www.neostore.com.np/assets/uploads/a100_2.jpg,https://www.neostore.com.np/product/azek-consumer-series-2-5-inch-ssd-a100,hdds-ssds
