title,price_first,price_second,image_link,product_link,category
Fantech Headphone Bluetooth Dual Mode Headset Wireless GO VIBE WH05,"Rs.2,999","Rs.3,999",https://www.neostore.com.np/assets/uploads/wh05_3.jpg,https://www.neostore.com.np/product/fantech-headphone-bluetooth-dual-mode-headset-wireless-go-vibe-wh05,headphones
JBL Tune 720BT Wireless Over-Ear Headphones,"Rs.9,500","Rs.9,900",https://www.neostore.com.np/assets/uploads/JBL_Tune_720BT_3.jpg,https://www.neostore.com.np/product/jbl-tune-720bt-wireless-over-ear-headphones,headphones
Anker Space Q45 | Long-Lasting Noise Cancelling Headphones,"Rs.19,999",,https://www.neostore.com.np/assets/uploads/q45_.jpg,https://www.neostore.com.np/product/anker-space-q45-long-lasting-noise-cancelling-headphones,headphones
Soundcore Q20i Hybrid Bluetooth Wireless Headphones,"Rs.9,999",,https://www.neostore.com.np/assets/uploads/q20i_2.jpg,https://www.neostore.com.np/product/soundcore-q20i-hybrid-bluetooth-wireless-headphones,headphones
Fantech Portal 7.1 HG28 Virtual Surround Gaming Headset,"Rs.2,799","Rs.3,699",https://www.neostore.com.np/assets/uploads/HG28_2.jpg,https://www.neostore.com.np/product/fantech-portal-7-1-hg28-virtual-surround-gaming-headset,headphones
Fantech Portal HQ55 Gaming Headset ,"Rs.2,699","Rs.3,499",https://www.neostore.com.np/assets/uploads/hq55.jpg,https://www.neostore.com.np/product/fantech-portal-hq55-gaming-headset-,headphones
Micropack ARES 7.1 Surround RGB Gaming Headset GH-03,"Rs.3,650",,https://www.neostore.com.np/assets/uploads/GH-03_2.jpg,https://www.neostore.com.np/product/micropack-ares-7-1-surround-rgb-gaming-headset-gh-03,headphones
JBL Tune 720BT Wireless Headphones,"Rs.9,900",,https://www.neostore.com.np/assets/uploads/720bt_3.jpg,https://www.neostore.com.np/product/jbl-tune-720bt-wireless-headphones,headphones
JBL Tune 520BT Wireless Headphone,"Rs.8,500",,https://www.neostore.com.np/assets/uploads/520BT_3.jpg,https://www.neostore.com.np/product/jbl-tune-520bt-wireless-headphone,headphones
Hifuture Future Mate Headphones,"Rs.2,999",,https://www.neostore.com.np/assets/uploads/441.jpg,https://www.neostore.com.np/product/hifuture-future-mate-headphones,headphones
