title,price_first,price_second,image_link,product_link,category
Ant Esports MK1400 Gaming Keyboard,"Rs.1,400",,https://www.neostore.com.np/assets/uploads/ant_mk1400_4.jpg,https://www.neostore.com.np/product/ant-esports-mk1400-gaming-keyboard,keyboards
Satechi Aluminium Bluetooth Wireless Keyboard ST-AMBKM,"Rs.10,900",,https://www.neostore.com.np/assets/uploads/satechi.st-ambkm3.jpg,https://www.neostore.com.np/product/satechi-aluminium-bluetooth-wireless-keyboard-st-ambkm,keyboards
Havit KB866L Multi-function Gaming Backlit Keyboard,"Rs.2,000",,https://www.neostore.com.np/assets/uploads/KB866L_3.jpg,https://www.neostore.com.np/product/havit-kb866l-multi-function-gaming-backlit-keyboard,keyboards
Havit KB488L Multi-function Gaming Backlit Keyboard,"Rs.2,200",,https://www.neostore.com.np/assets/uploads/KB488L_3.jpg,https://www.neostore.com.np/product/havit-kb488l-multi-function-gaming-backlit-keyboard,keyboards
Havit HV-NK01 USB Numeric Keypad,Rs.720,,https://www.neostore.com.np/assets/uploads/HV-NK01_2.jpg,https://www.neostore.com.np/product/havit-hv-nk01-usb-numeric-keypad,keyboards
Havit HV-KB376 Wired Usb keyboard,Rs.660,,https://www.neostore.com.np/assets/uploads/HV-KB378_3.jpg,https://www.neostore.com.np/product/havit-hv-kb376-wired-usb-keyboard,keyboards
Fantech Shikari K515 RGB Membrane Gaming Keyboard,"Rs.1,449","Rs.1,779",https://www.neostore.com.np/assets/uploads/k515_2.jpg,https://www.neostore.com.np/product/fantech-shikari-k515-rgb-membrane-gaming-keyboard,keyboards
Micropack GK-10 Gaming Keyboard,"Rs.1,820",,https://www.neostore.com.np/assets/uploads/GK-10_3.jpg,https://www.neostore.com.np/product/micropack-gk-10-gaming-keyboard,keyboards
Imperion Sledgehammer 87 Keys Membrane RGB USB Gaming Keyboard KG-S07C,"Rs.1,800","Rs.2,000",https://www.neostore.com.np/assets/uploads/sledgehammer_7_3.jpg,https://www.neostore.com.np/product/imperion-sledgehammer-87-keys-membrane-rgb-usb-gaming-keyboard-kg-s07c,keyboards
Imperion Sledgehammer 104 LED Membrane USB Gaming Keyboard KG-S10B,"Rs.1,800","Rs.2,000",https://www.neostore.com.np/assets/uploads/KG-S10B_2.jpg,https://www.neostore.com.np/product/imperion-sledgehammer-104-led-membrane-usb-gaming-keyboard-kg-s10b,keyboards
