title,price_first,price_second,image_link,product_link,category
Dell Targus Synergy 2.0 Backpack for 15.6 Laptops,"Rs.4,749","Rs.4,999",https://www.neostore.com.np/assets/uploads/Synergy_3.jpg,https://www.neostore.com.np/product/dell-targus-synergy-2-0-backpack-for-15-6-laptops,laptop-bags
Dell Essential Backpack 15 ES1520P,"Rs.3,000",,https://www.neostore.com.np/assets/uploads/bag_31.jpg,https://www.neostore.com.np/product/dell-essential-backpack-15-es1520p,laptop-bags
Dell Ecoloop Urban Backpack CP4523B,"Rs.5,310","Rs.5,900",https://www.neostore.com.np/assets/uploads/cp4523b.jpg,https://www.neostore.com.np/product/dell-ecoloop-urban-backpack-cp4523b,laptop-bags
Dell EcoLoop Pro Sleeve 11-14 CV5423 ,"Rs.4,275","Rs.4,500",https://www.neostore.com.np/assets/uploads/ecoloop_2.jpg,https://www.neostore.com.np/product/dell-ecoloop-pro-sleeve-11-14-cv5423-,laptop-bags
Dell Essential Briefcase 15 ES1520C,"Rs.2,470","Rs.2,600",https://www.neostore.com.np/assets/uploads/ES1520C.jpg,https://www.neostore.com.np/product/dell-essential-briefcase-15-es1520c,laptop-bags
Dell Essential Sleeve 13 - ES1320V ,"Rs.2,565","Rs.2,700",https://www.neostore.com.np/assets/uploads/ES1320V.jpg,https://www.neostore.com.np/product/dell-essential-sleeve-13---es1320v-,laptop-bags
 Dell Pro Sleeve 13,"Rs.3,800","Rs.4,000",https://www.neostore.com.np/assets/uploads/bag_3.jpg,https://www.neostore.com.np/product/-dell-pro-sleeve-13,laptop-bags
Kinmac 360° 15.6 inch Cushion Protective Waterproof Laptop Sleeve Brown Leopard,"Rs.4,000",,https://www.neostore.com.np/assets/uploads/42.jpg,https://www.neostore.com.np/product/kinmac-360-15-6-inch-cushion-protective-waterproof-laptop-sleeve-brown-leopard,laptop-bags
Kinmac 360° 13.3 inch Cushion Protective Waterproof Laptop Sleeve Brown Leopard,"Rs.3,500",,https://www.neostore.com.np/assets/uploads/4.jpg,https://www.neostore.com.np/product/kinmac-360-13-3-inch-cushion-protective-waterproof-laptop-sleeve-brown-leopard,laptop-bags
Kinmac 360° 15.6 inch Cushion Protective Waterproof Laptop Sleeve Gray Leopard,"Rs.4,000",,https://www.neostore.com.np/assets/uploads/320.jpg,https://www.neostore.com.np/product/kinmac-360-15-6-inch-cushion-protective-waterproof-laptop-sleeve-gray-leopard,laptop-bags
Kinmac 360° 13.3 inch Cushion Protective Waterproof Laptop Sleeve Gray Leopard,"Rs.3,500",,https://www.neostore.com.np/assets/uploads/319.jpg,https://www.neostore.com.np/product/kinmac-360-13-3-inch-cushion-protective-waterproof-laptop-sleeve-gray-leopard,laptop-bags
Kinmac 360° 13.3 inch Cushion Protective Waterproof Laptop Sleeve Black Leather,"Rs.4,000",,https://www.neostore.com.np/assets/uploads/322.jpg,https://www.neostore.com.np/product/kinmac-360-13-3-inch-cushion-protective-waterproof-laptop-sleeve-black-leather,laptop-bags
Kinmac 360° 15.6 inch Cushion Protective Waterproof Laptop Sleeve Black Leather,"Rs.4,500",,https://www.neostore.com.np/assets/uploads/321.jpg,https://www.neostore.com.np/product/kinmac-360-15-6-inch-cushion-protective-waterproof-laptop-sleeve-black-leather,laptop-bags
Kinmac 360° 15.6 inch Cushion Protective Waterproof Laptop Sleeve Brown Leather,"Rs.4,500",,https://www.neostore.com.np/assets/uploads/128.jpg,https://www.neostore.com.np/product/kinmac-360-15-6-inch-cushion-protective-waterproof-laptop-sleeve-brown-leather,laptop-bags
Kinmac 360° 13.3 inch Cushion Protective Waterproof Laptop Sleeve Brown Leather,"Rs.4,000",,https://www.neostore.com.np/assets/uploads/129.jpg,https://www.neostore.com.np/product/kinmac-360-13-3-inch-cushion-protective-waterproof-laptop-sleeve-brown-leather,laptop-bags
Kinmac 360° 15.6 inch Cushion Protective Waterproof Laptop Sleeve White Dog,"Rs.4,000",,https://www.neostore.com.np/assets/uploads/132.jpg,https://www.neostore.com.np/product/kinmac-360-15-6-inch-cushion-protective-waterproof-laptop-sleeve-white-dog,laptop-bags
Kinmac 360° 13.3 inch Cushion Protective Waterproof Laptop Sleeve White Dog,"Rs.3,500",,https://www.neostore.com.np/assets/uploads/130.jpg,https://www.neostore.com.np/product/kinmac-360-13-3-inch-cushion-protective-waterproof-laptop-sleeve-white-dog,laptop-bags
Kinmac 360° 15.6 inch Cushion Protective Waterproof Laptop Sleeve Embroidery Khaki,"Rs.4,000",,https://www.neostore.com.np/assets/uploads/410.jpg,https://www.neostore.com.np/product/kinmac-360-15-6-inch-cushion-protective-waterproof-laptop-sleeve-embroidery-khaki,laptop-bags
Kinmac 360° 13.3 inch Cushion Protective Waterproof Laptop Sleeve Embroidery Khaki,"Rs.3,500",,https://www.neostore.com.np/assets/uploads/411.jpg,https://www.neostore.com.np/product/kinmac-360-13-3-inch-cushion-protective-waterproof-laptop-sleeve-embroidery-khaki,laptop-bags
Kinmac 360° 15.6 inch Cushion Protective Waterproof Laptop Sleeve Embroidery Purple,"Rs.4,000",,https://www.neostore.com.np/assets/uploads/329.jpg,https://www.neostore.com.np/product/kinmac-360-15-6-inch-cushion-protective-waterproof-laptop-sleeve-embroidery-purple,laptop-bags
Kinmac 360° 13.3 inch Cushion Protective Waterproof Laptop Sleeve Embroidery Purple,"Rs.3,500",,https://www.neostore.com.np/assets/uploads/328.jpg,https://www.neostore.com.np/product/kinmac-360-13-3-inch-cushion-protective-waterproof-laptop-sleeve-embroidery-purple,laptop-bags
Kinmac 360° 15.6 inch Cushion Protective Waterproof Laptop Sleeve Embroidery Pink,"Rs.4,000",,https://www.neostore.com.np/assets/uploads/331.jpg,https://www.neostore.com.np/product/kinmac-360-15-6-inch-cushion-protective-waterproof-laptop-sleeve-embroidery-pink,laptop-bags
Kinmac 360° 13.3 inch Cushion Protective Waterproof Laptop Sleeve Embroidery Pink,"Rs.3,500",,https://www.neostore.com.np/assets/uploads/332.jpg,https://www.neostore.com.np/product/kinmac-360-13-3-inch-cushion-protective-waterproof-laptop-sleeve-embroidery-pink,laptop-bags
Kinmac 360° 15.6 inch Cushion Protective Waterproof Laptop Sleeve Embroidery Black,"Rs.4,000",,https://www.neostore.com.np/assets/uploads/416.jpg,https://www.neostore.com.np/product/kinmac-360-15-6-inch-cushion-protective-waterproof-laptop-sleeve-embroidery-black,laptop-bags
Kinmac 360° 13.3 inch Cushion Protective Waterproof Laptop Sleeve Embroidery Black,"Rs.3,500",,https://www.neostore.com.np/assets/uploads/417.jpg,https://www.neostore.com.np/product/kinmac-360-13-3-inch-cushion-protective-waterproof-laptop-sleeve-embroidery-black,laptop-bags
Kinmac 360° 13.3 inch Cushion Protective Waterproof Laptop Sleeve Galaxy,"Rs.3,500",,https://www.neostore.com.np/assets/uploads/336.jpg,https://www.neostore.com.np/product/kinmac-360-13-3-inch-cushion-protective-waterproof-laptop-sleeve-galaxy,laptop-bags
Kinmac 360° 15.6 inch Cushion Protective Waterproof Laptop Sleeve Galaxy,"Rs.4,000",,https://www.neostore.com.np/assets/uploads/335.jpg,https://www.neostore.com.np/product/kinmac-360-15-6-inch-cushion-protective-waterproof-laptop-sleeve-galaxy,laptop-bags
Kinmac 360° 13.3 inch Cushion Protective Waterproof Laptop Sleeve Pink and Blue,"Rs.3,500",,https://www.neostore.com.np/assets/uploads/pink_5.jpg,https://www.neostore.com.np/product/kinmac-360-13-3-inch-cushion-protective-waterproof-laptop-sleeve-pink-and-blue,laptop-bags
Kinmac 360° 15.6 inch Cushion Protective Waterproof Laptop Sleeve Pink and Blue,"Rs.4,000",,https://www.neostore.com.np/assets/uploads/pink_52.jpg,https://www.neostore.com.np/product/kinmac-360-15-6-inch-cushion-protective-waterproof-laptop-sleeve-pink-and-blue,laptop-bags
Kinmac 360° 15.6 inch Cushion Protective Waterproof Laptop Sleeve Dark Grey,"Rs.4,000",,https://www.neostore.com.np/assets/uploads/blue_4.jpg,https://www.neostore.com.np/product/kinmac-360-15-6-inch-cushion-protective-waterproof-laptop-sleeve-dark-grey,laptop-bags
Kinmac 360° 13.3 inch Cushion Protective Waterproof Laptop Sleeve Dark Grey,"Rs.3,500",,https://www.neostore.com.np/assets/uploads/blue_41.jpg,https://www.neostore.com.np/product/kinmac-360-13-3-inch-cushion-protective-waterproof-laptop-sleeve-dark-grey,laptop-bags
Kinmac 360° 15.6 inch Cushion Protective Waterproof Laptop Sleeve Blue Flower,"Rs.4,000",,https://www.neostore.com.np/assets/uploads/blue_flower_3.jpg,https://www.neostore.com.np/product/kinmac-360-15-6-inch-cushion-protective-waterproof-laptop-sleeve-blue-flower,laptop-bags
Kinmac 360° 13.3 inch Cushion Protective Waterproof Laptop Sleeve Blue Flower,"Rs.3,500",,https://www.neostore.com.np/assets/uploads/blue_flower_31.jpg,https://www.neostore.com.np/product/kinmac-360-13-3-inch-cushion-protective-waterproof-laptop-sleeve-blue-flower,laptop-bags
Kinmac 360° 15.6 inch Cushion Protective Waterproof Laptop Sleeve Grey Rose,"Rs.4,000",,https://www.neostore.com.np/assets/uploads/grey_3.jpg,https://www.neostore.com.np/product/kinmac-360-15-6-inch-cushion-protective-waterproof-laptop-sleeve-grey-rose,laptop-bags
