title,price_first,price_second,image_link,product_link,category
DJI Mic 2 (FCC) 2TX+1RX+ Charging Case,"Rs.63,000",,https://www.neostore.com.np/assets/uploads/DJI_Mic_2_F_2.jpg,https://www.neostore.com.np/product/dji-mic-2-fcc-2tx-1rx-charging-case,microphone
DJI Mic 2  (1TX+1RX) Omnidirectional Microphone,"Rs.40,500",,https://www.neostore.com.np/assets/uploads/DJI_Mic_2_.jpg,https://www.neostore.com.np/product/dji-mic-2-1tx-1rx-omnidirectional-microphone,microphone
Fantech Leviosa Air  Wireless Lightning  Lavalier Microphone WMV11L ,"Rs.3,499","Rs.4,599",https://www.neostore.com.np/assets/uploads/fantech.jpg,https://www.neostore.com.np/product/fantech-leviosa-air-wireless-lightning-lavalier-microphone-wmv11l-,microphone
Fantech Leviosa Air  Wireless Lavalier Type -C Microphone WMV11C,"Rs.2,999","Rs.4,199",https://www.neostore.com.np/assets/uploads/fntech_2.jpg,https://www.neostore.com.np/product/fantech-leviosa-air-wireless-lavalier-type--c-microphone-wmv11c,microphone
Thronmax Mdrill One Pro- USB Mic Microphone KIT,"Rs.17,599",,https://www.neostore.com.np/assets/uploads/Thronmax_Mdrill_One_Pro-_USB_Mic_Microphone_KIT_3.jpg,https://www.neostore.com.np/product/thronmax-mdrill-one-pro--usb-mic-microphone-kit,microphone
THRONMAX C1 Pro StreamMic Pro Vlogger Kit,"Rs.6,660",,https://www.neostore.com.np/assets/uploads/c1p.jpg,https://www.neostore.com.np/product/thronmax-c1-pro-streammic-pro-vlogger-kit,microphone
Thronmax C1 Stream Microphone,"Rs.5,200",,https://www.neostore.com.np/assets/uploads/c1.jpg,https://www.neostore.com.np/product/thronmax-c1-stream-microphone,microphone
Remax K06 Lavalier Microphone,Rs.499,,https://www.neostore.com.np/assets/uploads/K06_2.jpg,https://www.neostore.com.np/product/remax-k06-lavalier-microphone,microphone
Havit Gaming Microphone GK56,"Rs.2,975","Rs.3,500",https://www.neostore.com.np/assets/uploads/GK56_3.jpg,https://www.neostore.com.np/product/havit-gaming-microphone-gk56,microphone
Fantech MCX01 Leviosa RGB Microphone,"Rs.5,299","Rs.9,999",https://www.neostore.com.np/assets/uploads/uploads/2021/02/fantech-_0021_leviosa-mcx01-01-500x500-1000x1000-1.jpg,https://www.neostore.com.np/product/fantech-mcx01-leviosa-rgb-microphone,microphone
Thronmax S3 Zoom Boom Arm,"Rs.9,499",,https://www.neostore.com.np/assets/uploads/uploads/2021/02/0000_Thronmax-S3-Zoom-Boom-Arm.jpg,https://www.neostore.com.np/product/thronmax-s3-zoom-boom-arm,microphone
Thronmax Fireball 48 KHz,"Rs.5,199",,https://www.neostore.com.np/assets/uploads/uploads/2020/09/Thronmax-Fireball-48-KHz-1.jpg,https://www.neostore.com.np/product/thronmax-fireball-48-khz,microphone
Thronmax Mdrill Pulse (96 kHz),"Rs.6,999",,https://www.neostore.com.np/assets/uploads/uploads/2020/09/Mdrill-Pulse-96-kHz.jpg,https://www.neostore.com.np/product/mdrill-pulse-96-khz,microphone
THRONMAX MDrill Dome Plus USB Microphone,"Rs.10,999",,https://www.neostore.com.np/assets/uploads/uploads/2020/09/20-5.jpg,https://www.neostore.com.np/product/thronmax-mdrill-dome-plus-usb-microphone,microphone
THRONMAX P1 Microphone Pop Filter,"Rs.2,699",,https://www.neostore.com.np/assets/uploads/uploads/2020/09/20-4.jpg,https://www.neostore.com.np/product/thronmax-p1-microphone-pop-filter,microphone
Mdrill Zone XLR with Shock Mount Bundle,"Rs.11,999",,https://www.neostore.com.np/assets/uploads/uploads/2020/09/0-2.jpg,https://www.neostore.com.np/product/mdrill-zone-xlr-with-shock-mount-bundle,microphone
Thronmax Mdrill Zero Jet Black 48Khz,"Rs.11,499",,https://www.neostore.com.np/assets/uploads/uploads/2020/09/M4-TM01-1-500x500-1.png,https://www.neostore.com.np/product/mdrill-zeroplus-jet-black-96khz,microphone
Thronmax Mdrill one Pro Jet Black 96khz,"Rs.13,999",,https://www.neostore.com.np/assets/uploads/uploads/2020/09/10-1.jpg,https://www.neostore.com.np/product/thronmax-mdrill-one-pro-jet-black-96khz,microphone
