html_filename,image1,image2,image3,image4,product_title,short_description,price,Brand,Model,Category,Colour,Cable Length,Weight,LED,Microphone Dimensions,Connector-type,label,description2,Microphone_Dimensions,,Product,Type,Polar Pattern,Output,Sensitivity,Frequency,Maximum SPL,Dimension,Cost,Color,Sound Field,Capsule,Diaphragm,Circuitry,High-Pass Filter,Windscreen,Frequency Range,Output Connectors,Headphone Connector,Wireless Connectivity,A/D Conversion,Sample Rate,Operating Voltage,Operating Current Consumption,Mounting,Warranty
dji-mic-2-1tx-1rx-omnidirectional-microphone.html,https://www.neostore.com.np/assets/uploads/DJI_Mic_2_.jpg,https://www.neostore.com.np/assets/uploads/DJI_Mic_2_2.jpg,https://www.neostore.com.np/assets/uploads/mic_2_new.jpg,https://www.neostore.com.np/assets/uploads/DJI_Mic_2_.jpg,DJI Mic 2  (1TX+1RX) Omnidirectional Microphone,"Capture brilliant audio with DJI Mic 2's omnidirectional audio recording, optimized for vocals. Easily handle vlogs, interviews, and more.","Current Price: Rs.40,500, Original Price: Rs.",Dji,DJI Mic 2  (1TX+1RX) Omnidirectional Microphone,Microphone,Black,n/a ( WIreless ),28g,OLED Touchscreen,54.20×28.36×22.49 mm (L×W×H),Wireless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dji-mic-2-fcc-2tx-1rx-charging-case.html,https://www.neostore.com.np/assets/uploads/DJI_Mic_2_F_2.jpg,https://www.neostore.com.np/assets/uploads/DJI_Mic_2_F_3.jpg,https://www.neostore.com.np/assets/uploads/DJI_Mic_2_F.jpg,https://www.neostore.com.np/assets/uploads/DJI_Mic_2_F_2.jpg,DJI Mic 2 (FCC) 2TX+1RX+ Charging Case,"2-Person Interviews, Videos, Streaming Connects to Cameras, iOS/Android Devices 2 x Clip-On Transmitter/Recorder Mics Compact Dual-Channel Receiver Intelligent Noise Cancelling Records 14 Hours of Audio 32-Bit Float Internal Recording Bright OLED Display, Headphone Out Built-In Rechargeable Batteries Up to 820′ Wireless Range","Current Price: Rs.63,000, Original Price: Rs.",DJI,DJI Mic Lavalier Microphone (FCC) 2TX+1RX+ Charging Case,Microphone,Black,n/a ( WIreless ),118g,-,-,Wireless,," When Quietness Matters The new intelligent noise cancelling feature effectively reduces environmental noise for clean and clear conversations, even in noisy areas.  Extended Battery Life Each transmitter and receiver has a remarkable 6-hour operating time, which can be extended to a generous 18 hours with the charging case.  250m (820 ft.) Range With powerful anti-interference capability, Mic 2 offers a 250m (820 ft.) max audio transmission range, meeting the needs of most scenarios.  All-In-One Storage The charging case automatically pairs the receiver and transmitters, so you can get started as soon as you open it up.  Versatile and Impressive Each transmitter has 8 GB of internal storage for up to 14 hours of uncompressed 48kHz 24-bit audio and 32-bit float internal recording. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
fantech-leviosa-air-wireless-lavalier-type--c-microphone-wmv11c.html,https://www.neostore.com.np/assets/uploads/fntech_2.jpg,https://www.neostore.com.np/assets/uploads/WMV11C_2.jpg,https://www.neostore.com.np/assets/uploads/WMV11C_3.jpg,https://www.neostore.com.np/assets/uploads/WMV11C_4.jpg,Fantech Leviosa Air  Wireless Lavalier Type -C Microphone WMV11C,Effective Range: Upto 10m Working Time: Upto 16hours Mic Battery: 80mAH Case Battery: 600mAH Omni- directional Low Latency Single Microphone Type-C,"Current Price: Rs.2,999, Original Price: Rs.4,199",Fantech,Fantech Leviosa Air  Wireless Lavalier Type -C Microphone WMV11C,Microphone,Black,n/a ( WIreless ),118g,-,-,Wireless,,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fantech-leviosa-air-wireless-lightning-lavalier-microphone-wmv11l-.html,https://www.neostore.com.np/assets/uploads/fantech.jpg,https://www.neostore.com.np/assets/uploads/WMV11L.jpg,https://www.neostore.com.np/assets/uploads/WMV11L_2.jpg,https://www.neostore.com.np/assets/uploads/fantech.jpg,Fantech Leviosa Air  Wireless Lightning  Lavalier Microphone WMV11L,Model: LEVIOSA AIR WMV11L Effective Range: Upto 10m Mic Battery: 80mAH Case Battery: 600mAH Lightning,"Current Price: Rs.3,499, Original Price: Rs.4,599",Fantech,Fantech Leviosa Air  Wireless Lightning  Lavalier Microphone WMV11L,Microphone,Black,n/a ( WIreless ),118g,-,-,Wireless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fantech-mcx01-leviosa-rgb-microphone.html,https://www.neostore.com.np/assets/uploads/uploads/2021/02/fantech-_0021_leviosa-mcx01-01-500x500-1000x1000-1.jpg,https://www.neostore.com.np/assets/uploads/uploads/2021/02/fantech-_0022_Fantech-LEVIOSA-MCX01-Mic-Condenser-3.jpg,https://www.neostore.com.np/assets/uploads/uploads/2021/02/fantech-_0023_Fantech-LEVIOSA-MCX01-Mic-Condenser-1.jpg,https://www.neostore.com.np/assets/uploads/uploads/2021/02/fantech-_0021_leviosa-mcx01-01-500x500-1000x1000-1.jpg,Fantech MCX01 Leviosa RGB Microphone,"Fantech Leviosa MCX01 Professional Condenser Microphone comes with POP Filter & Foldable Tripod, RGB Illumination, USB Interface, Cardioid Polar Pattern. This Microphone is suitable for professional streamer or youtuber, voice recording, voice chat and PC karaoke.","Current Price: Rs.5,299, Original Price: Rs.9,999",Fantech,MCX01 Leviosa,Microphone,-,2.5 m,252 Grams,RGB,,USB-A to USB-B,,,172 x 45.5 x 45.5mm,,,,,,,,,,,,,,,,,,,,,,,,,,,
havit-gaming-microphone-gk56.html,https://www.neostore.com.np/assets/uploads/GK56_3.jpg,https://www.neostore.com.np/assets/uploads/GK56_2.jpg,https://www.neostore.com.np/assets/uploads/GK56.jpg,https://www.neostore.com.np/assets/uploads/GK56_3.jpg,Havit Gaming Microphone GK56,Key Features  Model: Havit HV-GK56 RGB Frequency Response: 30hz to 16khz Plug and Play Impedance: 2.2k Ohms Directivity: Omnidirectional,"Current Price: Rs.2,975, Original Price: Rs.3,500",,,,,,n/a,,,,,"Easy To use Just Plug and play without any hassle of drivers and all. Easily connect it to your device and start recording straight away! RGB Lights Present The unique RGB light that comes with your Havit GK56 Microphone adds in the gamer aesthetics to your workstation! Free Adjustment With Compact Design The Compact Design of Havit GK56 is designed with an adjustable neck for convenient using. Suitable for youtube, twitch, skype, facetime, gaming, and more! USB Computer Microphone Plug and play USB Computer Microphone simply plug it into the USB port, select it as your input in software setting, then you can use it to chat, podcast, or record your voice. Key Features",,,Havit Gaming Microphone GK56,Microphone,Omnidirectional Condenser Mic,n/a,-36dB+-3dB,30 Hz-16kHz,N/a,n/a,,,,,,,,,,,,,,,,,,
mdrill-pulse-96-khz.html,https://www.neostore.com.np/assets/uploads/uploads/2020/09/Mdrill-Pulse-96-kHz.jpg,https://www.neostore.com.np/assets/uploads/uploads/2020/09/Mdrill-Pulse-96-kHz2.jpg,https://www.neostore.com.np/assets/uploads/uploads/2020/09/Mdrill-Pulse-96-kHz3.jpg,https://www.neostore.com.np/assets/uploads/uploads/2020/09/Mdrill-Pulse-96-kHz4.jpg,Thronmax Mdrill Pulse (96 kHz),"- HD recordings in studio quality
- 2 dedicated recording patterns: cardioid
(for streaming and gamers), 360º omnidirectional
(conference calls and events)
- 2x condenser capsules (16 mm and 10 mm)","Current Price: Rs.6,999, Original Price: Rs.",Thronmax,,Microphone,,,,,,,,,,,Thronmax Mdrill Pulse (96 kHz),,"Cardioid, Omnidirectional",,,,,,-,Black,Mono,2 x Condenser,"0.63"" / 16 mm (Condenser)
0.39"" / 10 mm (Condenser)",Solid State,None,Foam (Included),20 Hz to 20 KHz,1 x USB Type-C Female (on Mic),"1 x 1/8"" / 3.5 mm",None,24-Bit,Up to 96 KHz,5 V,150 mA,"1/4""-20 Female, Camera-Mount, Tabletop (Included)",1 Year
mdrill-zeroplus-jet-black-96khz.html,https://www.neostore.com.np/assets/uploads/uploads/2020/09/M4-TM01-1-500x500-1.png,https://www.neostore.com.np/assets/uploads/uploads/2020/09/M4-TM01-thronmax-500x500-1.png,https://www.neostore.com.np/assets/uploads/uploads/2020/09/M4-TM01-1-500x500-1.png,https://www.neostore.com.np/assets/uploads/uploads/2020/09/M4-TM01-thronmax-500x500-1.png,Thronmax Mdrill Zero Jet Black 48Khz,"PRODUCT HIGHLIGHTS VERTIGAIN TECHNOLOGY 2 Recording Patterns: Cardioid and Omni-directional Supports Windows, Linux, Mac and PS4 Platforms","Current Price: Rs.11,499, Original Price: Rs.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mdrill-zone-xlr-with-shock-mount-bundle.html,https://www.neostore.com.np/assets/uploads/uploads/2020/09/0-2.jpg,https://www.neostore.com.np/assets/uploads/uploads/2020/09/1-5.jpg,https://www.neostore.com.np/assets/uploads/uploads/2020/09/3-3.jpg,https://www.neostore.com.np/assets/uploads/uploads/2020/09/2-5.jpg,Mdrill Zone XLR with Shock Mount Bundle,THRONMAX Mdrill Zone XLR Mic with Shockmount Bundle Shockmount Limited 2-Year Warranty,"Current Price: Rs.11,999, Original Price: Rs.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
remax-k06-lavalier-microphone.html,https://www.neostore.com.np/assets/uploads/K06_2.jpg,https://www.neostore.com.np/assets/uploads/K06.jpg,https://www.neostore.com.np/assets/uploads/K06_2.jpg,https://www.neostore.com.np/assets/uploads/K06.jpg,Remax K06 Lavalier Microphone,Parameters:-  Wire OD: 2.5 Length: 1500MM Material: TPE Cover Shell Aluminum Alloy + Oxidation,"Current Price: Rs.499, Original Price: Rs.",Remax,k06 Lavalier,Microphone,-,1.2m,23 Grams,-,-,3.5 mm,,-Features:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
