title,price_first,price_second,image_link,product_link,category
Dell UltraSharp 27 Inch Monitor - U2724D,"Rs.82,500",,https://www.neostore.com.np/assets/uploads/U2724D_5.jpg,https://www.neostore.com.np/product/dell-ultrasharp-27-inch-monitor---u2724d,monitors
Dell UltraSharp 24 Inch Monitor - U2424H,"Rs.56,500",,https://www.neostore.com.np/assets/uploads/U2424H.jpg,https://www.neostore.com.np/product/dell-ultrasharp-24-inch-monitor---u2424h,monitors
Dell 32 Inch UltraSharp 4K USB-C Hub Monitor U3223QE,"Rs.179,500",,https://www.neostore.com.np/assets/uploads/U3223QE_4.jpg,https://www.neostore.com.np/product/dell-32-inch-ultrasharp-4k-usb-c-hub-monitor-u3223qe,monitors
Dell 22 Inch Monitor FHD SE2222H,"Rs.17,500",,https://www.neostore.com.np/assets/uploads/SE2222H_21.jpg,https://www.neostore.com.np/product/dell-22-inch-monitor-fhd-se2222h,monitors
Dell 19.5 inch HD+ Monitor - D2020H,"Rs.14,500",,https://www.neostore.com.np/assets/uploads/D2020H_3.jpg,https://www.neostore.com.np/product/dell-19-5-inch-hd-monitor---d2020h,monitors
Dell 21.5 Inch Full HD Monitor E2222H,"Rs.17,575","Rs.18,500",https://www.neostore.com.np/assets/uploads/E2222H_3.jpg,https://www.neostore.com.np/product/dell-21-5-inch-full-hd-monitor-e2222h,monitors
MSI Pro MP241X  Series Business & Productivity Monitor,"Rs.19,000","Rs.23,900",https://www.neostore.com.np/assets/uploads/MP241X_3.jpg,https://www.neostore.com.np/product/msi-pro-mp241x-series-business-productivity-monitor,monitors
BenQ EX240 | MOBIUZ 1ms 24 Inch IPS 165Hz Gaming Monitor,"Rs.36,400",,https://www.neostore.com.np/assets/uploads/EX240_3.jpg,https://www.neostore.com.np/product/benq-ex240-mobiuz-1ms-24-inch-ips-165hz-gaming-monitor,monitors
BenQ GW2485TC 24 inch USB-C Ergonomic Eye-Care Coding Monitor,"Rs.34,200",,https://www.neostore.com.np/assets/uploads/GW2485TC.jpg,https://www.neostore.com.np/product/benq-gw2485tc-24-inch-usb-c-ergonomic-eye-care-coding-monitor,monitors
Hikvision 22 Inch FHD Borderless Monitor DS-D5022F2-2P2,"Rs.11,000","Rs.12,500",https://www.neostore.com.np/assets/uploads/hikvision.jpg,https://www.neostore.com.np/product/hikvision-22-inch-fhd-borderless-monitor-ds-d5022f2-2p2,monitors
