title,price_first,price_second,image_link,product_link,category
Dell Multi-Device Wireless Keyboard and Mouse Combo - KM7120W,"Rs.13,900",,https://www.neostore.com.np/assets/uploads/KM7120W_31.jpg,https://www.neostore.com.np/product/dell-multi-device-wireless-keyboard-and-mouse-combo---km7120w,mouse-keyboard
Fantech Go Mochi 65 Keyboard Mouse Combo WK896 ,"Rs.2,599","Rs.3,399",https://www.neostore.com.np/assets/uploads/mochi_.jpg,https://www.neostore.com.np/product/fantech-go-mochi-65-keyboard-mouse-combo-wk896-,mouse-keyboard
Fantech Office Series WK895 Pop Keys Wireless Keyboard Mouse Combo,"Rs.2,599","Rs.3,499",https://www.neostore.com.np/assets/uploads/fntk_3.jpg,https://www.neostore.com.np/product/fantech-office-series-wk895-pop-keys-wireless-keyboard-mouse-combo,mouse-keyboard
Logitech MK295 Silent Wireless Keyboard Mouse Combo,"Rs.6,175","Rs.6,500",https://www.neostore.com.np/assets/uploads/mk_2.jpg,https://www.neostore.com.np/product/logitech-mk295-silent-wireless-keyboard-mouse-combo,mouse-keyboard
Dell Wireless Keyboard & Mouse - KM117,"Rs.2,990","Rs.3,150",https://www.neostore.com.np/assets/uploads/km117_2.jpg,https://www.neostore.com.np/product/dell-wireless-keyboard-mouse---km117,mouse-keyboard
Dell Pro Wireless Keyboard and Mouse US English - KM5221W,"Rs.5,745","Rs.6,050",https://www.neostore.com.np/assets/uploads/KM5221W.jpg,https://www.neostore.com.np/product/dell-pro-wireless-keyboard-and-mouse-us-english---km5221w,mouse-keyboard
Fantech KM-100 Keyboard Mouse Combo ,"Rs.1,199","Rs.1,999",https://www.neostore.com.np/assets/uploads/km100_1.jpg,https://www.neostore.com.np/product/fantech-km-100-keyboard-mouse-combo-,mouse-keyboard
Digicom Wireless Keyboard+Mouse Combo DG-K77,"Rs.3,475","Rs.3,660",https://www.neostore.com.np/assets/uploads/uploads/2021/06/2-33.jpg,https://www.neostore.com.np/product/digicom-wireless-keyboard-mouse-combo-dg-k77,mouse-keyboard
Rapoo Wired Optical Mouse & Keyboard Combo NX2000,"Rs.1,325","Rs.1,890",https://www.neostore.com.np/assets/uploads/uploads/2021/03/rapoo_0010_NX2000.jpg,https://www.neostore.com.np/product/rapoo-wired-optical-mouse-keyboard-combo-nx2000,mouse-keyboard
Logitech Desktop Wireless Combo MK275,"Rs.4,740","Rs.4,990",https://www.neostore.com.np/assets/uploads/uploads/2021/03/logitech_0002_mk275-2.jpg,https://www.neostore.com.np/product/logitech-desktop-wireless-combo-mk275,mouse-keyboard
Logitech Desktop MK240 Nano wireless combo,"Rs.4,325","Rs.4,550",https://www.neostore.com.np/assets/uploads/mk240.jpg,https://www.neostore.com.np/product/logitech-desktop-mk240-nano-wireless-combo,mouse-keyboard
Logitech MK215 Wireless Keyboard & Mouse Combo,"Rs.3,790","Rs.3,990",https://www.neostore.com.np/assets/uploads/mk2152.jpg,https://www.neostore.com.np/product/logitech-mk215-wireless-keyboard-mouse-combo,mouse-keyboard
Logitech Combo Desktop MK120,"Rs.2,520","Rs.2,650",https://www.neostore.com.np/assets/uploads/uploads/2020/08/186.jpg,https://www.neostore.com.np/product/logitech-combo-desktop-mk120,mouse-keyboard
Logitech Classic Desktop MK100 US-PS2-USB keyboard,"Rs.2,375","Rs.2,500",https://www.neostore.com.np/assets/uploads/uploads/2020/08/20-1.jpg,https://www.neostore.com.np/product/logitech-classic-desktop-mk100-us-ps2-usb-keyboard,mouse-keyboard
Rapoo 8000 Wireless Combo Mouse & Keyboard -Blue,"Rs.2,020","Rs.2,880",https://www.neostore.com.np/assets/uploads/uploads/2020/08/52.jpg,https://www.neostore.com.np/product/rapoo-8000-wireless-combo-mouse-keyboard--blue,mouse-keyboard
