html_filename,image1,image2,image3,image4,product_title,short_description,price,Brand,Model,Device Type,Interface,Wireless Receiver,Keyboard Type,Localization and Layout,Hot Keys Function,Keyboard Technology,Mouse Type,Buttons Qunatity,Movement Detection Technology,Movement Resolution,Color,Battery Type,Software & System Requirement,Warranty,label,description2,Keyboard,Dimension,Weight,Battery Life,Wireless Range,Mouse,Dimensions,Connector type,System Required,Show_countdown,Keyboard:,Battery,Wireless,Receiver,,weight,Dpi,keyboaard,Battery life,Wireless range,Layout Language,Multimedia Hot Keys,Spill-Resistant Design,Optical Resolution,Connection type
dell-multi-device-wireless-keyboard-and-mouse-combo---km7120w.html,https://www.neostore.com.np/assets/uploads/KM7120W_31.jpg,https://www.neostore.com.np/assets/uploads/KM7120W_21.jpg,https://www.neostore.com.np/assets/uploads/KM7120W3.jpg,https://www.neostore.com.np/assets/uploads/KM7120W_22.jpg,Dell Multi-Device Wireless Keyboard and Mouse Combo - KM7120W,Seamlessly switch between 3 devices anytime with a click of the button and enhance your productivity with its 36-month battery life.,"Current Price: Rs.13,900, Original Price: Rs.",Dell,KM7120W,keyboard & Mouse set,"2.4GHz, Bluetooth 5.0",USB Receiver,Wireless,English,"Multimedia, search, home page, volume -, volume +, print screen",Scissors,Wireless,7 (5 Programmable),Optical,Adjustable DPI 1000 1600 (default) 2400 and 4000,Titan Grey,AA Type,"Apple MacOS, Microsoft Windows 7, Android, Ubuntu, Google Chrome OS, Windows 8, Windows 8.1, Windows 10, Windows 11",1 Year,," Conveniently switch Connect to three PCs with ease.with the dell KM7120W  Keyboard and Mouse Combo  With the two Bluetooth 5.0 and 2.4GHz wireless connection options, you can simply choose between your laptop, desktop, or 2-in-1 with a single button press.  Easy Pairing With Microsoft Swift Pairi, you can instantly pair each device with your compatible Windows 10 PC through Bluetooth without having to configure it in Settings every time. Compatibility with Windows, Chrome, Android, and Mac allows you to use all of your devices at the same time.  Built to last It has a battery life of 36 months, which is three times greater than the previous model. You no longer need to be concerned about battery changes on a regular basis. Simply reliable Don't worry about the quality. If it breaks down during the 3-year warranty term, Dell's Advanced Exchange Service will send you a replacement combo the next business day, allowing you to continue working without interruption. The combination has been thoroughly tested to verify that it is compatible with your Dell system.  Precise tracking Rapid responses via the 1600 DPI sensor helps you navigate effortlessly, especially across your high-resolution 4K screen. Its optical sensor offers accurate tracking and is ideal for use on most desk surfaces. Easy customization Tilt the keyboard to your desired angle to type comfortably. Program shortcuts for your keyboard and mouse for quick navigation to your preferred applications. The intuitive positioning makes them easy to access every time. Simple Management The Dell Peripheral Manager software lets you customize and manage your keyboards and mice efficiently. Pair devices, program shortcuts, check battery and connectivity status and even deploy latest firmware updates easily.  Product Features 1. Mode of pairing: RF 2.4 GHz | 2. Mode of pairing: Bluetooth 5.0 | 3. Toggle button | 4. Scroll wheel (with Tilt) | 5. Programmable buttons | 6. Programmable keys (F1 to F12) | 7. Battery status indicator",,,,,,,,,,,,,,,,,,,,,,,,,
dell-pro-wireless-keyboard-and-mouse-us-english---km5221w.html,https://www.neostore.com.np/assets/uploads/KM5221W.jpg,https://www.neostore.com.np/assets/uploads/KM5221W_2.jpg,https://www.neostore.com.np/assets/uploads/KM5221W_3.jpg,https://www.neostore.com.np/assets/uploads/KM5221W.jpg,Dell Pro Wireless Keyboard and Mouse US English - KM5221W,"Combining a discreetly powerful keyboard with an expertly designed mouse, the Dell Pro Wireless Keyboard and Mouse combo enhances your productivity. Powered by one of the industry's leading battery lives of up to 36 months, this combo is built to last.","Current Price: Rs.5,745, Original Price: Rs.6,050",,,,,,,,,,,,,,,,,,,"With Dell Pro Wireless Keyboard and Mouse US English - KM5221W RF 2.4GHz wireless keyboard and mouse combo, you can increase your productivity all day long. You can quickly access your commonly used apps, folders, and actions with 12 programmable keys and 1 programmable scroll wheel click. The full-sized wireless keyboard features a dedicated numeric pad, function buttons, and pre-programmed pre-sets to help you get more done faster. Easy management Navigate easily between monitors of various resolutions at home or at work. The Dell Peripheral Manager (DPM) software allows you to control your input devices and set the DPI to 1000, 1600, 2400, or 4000. With DPM, you can customize shortcut keys and buttons, pair devices, adjust DPI, check battery and connectivity status, and update to the latest firmware. Work in comfort When on a conference call or in close proximity to others, use one of the quietest wireless keyboards available. The wireless mouse is symmetrically constructed and suitable for both left and right-handed users. The tilt legs allow you to adjust the keyboard to two different angles, providing you the freedom to choose your ideal typing position. Durable and secure The Dell Pro Wireless Keyboard and Mouse is built to last, with a battery life of up to 36 months, making it one of the industry's best. You can rest easy knowing that this keyboard and mouse set has been thoroughly tested to ensure a smooth connection to your Dell PC. The keyboard protects your data transmission across your PCs and devices using 128-bit AES (Advanced Encryption Standard) encryption, ensuring a secure connection while typing. Compatibility 2.4GHz: Windows 7, Windows 8.1 and 10; Mac; Linux (Red Hat Enterprise 8.0 /Ubuntu 18.4); Chrome; Android OS Dell Peripheral Manager: Windows 10 or later",,17 in x 4.8 in x 1.3 in,N/a,1 AAA Battery Type,15 Meters,,14.5 in x 1.5 in,,,,,,,,,,,,,,,,,,
dell-wireless-keyboard-mouse---km117.html,https://www.neostore.com.np/assets/uploads/km117_2.jpg,https://www.neostore.com.np/assets/uploads/km117.jpg,https://www.neostore.com.np/assets/uploads/km117_2.jpg,https://www.neostore.com.np/assets/uploads/km117.jpg,Dell Wireless Keyboard & Mouse - KM117,"Featuring a compact, sleek design, the Dell Wireless Keyboard & Mouse - KM117 are easily integrated into everyday desktop setups.","Current Price: Rs.2,990, Original Price: Rs.3,150",,,,,,,,,,,,,,,,,,,"Attractive design: A sleek design of the Dell Wireless Keyboard & Mouse - KM117 will give your workstation a modern look. The wireless design creates a clean look, while the small profile with silver accents perfectly matches your PC or tablet. Extended battery: life With a highly efficient keyboard and mouse that has a long battery life, you can work confidently for long periods of time. Great for Windows: Windows 7/8/8.1/10 is supported by the Dell Wireless Keyboard & Mouse - KM117. With a mouse wheel that can scroll up, down, left, or right, you can easily navigate Windows 8/10 tiles. To access the Windows 8 Charms bar for navigational controls or to move between applications, utilize the mouse's side buttons (Windows 8 Only) Comfort and precision: Typing is made easier by the full-size keyboard with responsive chiclet keys, while multimedia shortcut keys allow quick access to audio and video capabilities. With the fast-tracking, full-size laser mouse, you can point and click with pinpoint accuracy. Go wireless: With a wireless combination, you can keep your desk neat and cable-free. The small USB nano receiver gives you unrestricted access to your remaining USB ports, allowing you to connect to other devices quickly. Features: Scrolling wheel Device Type : Keyboard and mouse set - wireless Buttons Qty : 6 Interface : 2.4 GHz Wireless Receiver : USB wireless receiver. Dimensions (WxDxH) / Weight : Keyboard: 44.45 cm x 14.22 cm x 2.54 cm / 493 g. Mouse: 5.84 cm x 10.41 cm x 3.81 cm / 85 g ",,142 x 445 x 25 mm,N/a,1 AAA Battery Type,10 Meters,,n/a,,,,,,,,,,,,,,,,,,
digicom-wireless-keyboard-mouse-combo-dg-k77.html,https://www.neostore.com.np/assets/uploads/uploads/2021/06/2-33.jpg,https://www.neostore.com.np/assets/uploads/uploads/2021/06/3-25.jpg,https://www.neostore.com.np/assets/uploads/uploads/2021/06/1-37.jpg,https://www.neostore.com.np/assets/uploads/uploads/2021/06/2-33.jpg,Digicom Wireless Keyboard+Mouse Combo DG-K77,4G Wireless Long distances 20m Silent Button Rate of Return: 250 Hz Free Skin Guard 12 Months Battery Life,"Current Price: Rs.3,475, Original Price: Rs.3,660",,,,,,,,,,,,,,,,,,,"All You Need With this Digicom Keyboard+Mouse Combo, you can get to experience a thin-profile keyboard and full-size optical mouse. Thus, you get reliability, comfort, and style. Compact Design, Full-size Keys The normal layout with full-size keys and a number pad keeps you comfortable without taking up a lot of area on the tiny keyboard. DESIGN FOR SPILL RESISTANCE You won't have to worry about spills damaging your investment because liquid drains from the keyboard. Build to Last This stylish Digicom Keyboard+Mouse Combo not only looks and feels nice, but it's also built to last, thanks to its slim profile, spill-resistant construction, durable keys that can survive up to 10 million keystrokes, and sturdy, adjustable tilt legs. It's also simple to set up. Better Typing A smoother typing experience that will stand the test of time. Low-profile keys that scarcely create a sound, as well as a standard layout with full-size F-keys and a number pad, provide a comfortable and silent typing experience. Features Highlights What's in the box? WIRELESS KEYBOARD, WIRELESS MOUSE, BATTERY, AND USER MANUAL",,N/a,N/a,12 Months,20 Meters,,N/a,,,,,,,,,,,,,,,,,,
fantech-go-mochi-65-keyboard-mouse-combo-wk896-.html,https://www.neostore.com.np/assets/uploads/mochi_.jpg,https://www.neostore.com.np/assets/uploads/mochi_2.jpg,https://www.neostore.com.np/assets/uploads/mochi_.jpg,https://www.neostore.com.np/assets/uploads/mochi_2.jpg,Fantech Go Mochi 65 Keyboard Mouse Combo WK896,Easy type and switch between devices Unique and easy to read keys Comfort in hand Indulge in four trendy color variations Battery: 2AAA Batteries Size: 298*122*36mm (Keyboard) Size: 102*60*27mm (Mouse) Wireless and bluetooth Model: WK896,"Current Price: Rs.2,599, Original Price: Rs.3,399",,,,,,,,,,,,,,,,,,,,,298 x 122 x 36mm,63g,3 month approx.,10 Meters,,102 x 60 x 27mm,,,,,,,,,,,,,,,,,,
fantech-km-100-keyboard-mouse-combo-.html,https://www.neostore.com.np/assets/uploads/km100_1.jpg,https://www.neostore.com.np/assets/uploads/km100.jpg,https://www.neostore.com.np/assets/uploads/km100_1.jpg,https://www.neostore.com.np/assets/uploads/km100.jpg,Fantech KM-100 Keyboard Mouse Combo,High-speed response buttons 3 Buttons 3D 1200DPI USB 2.0 Full-size office keyboard 104 keys design Multifunctional Fn key combination Ergonomic keycaps Feel comfortable,"Current Price: Rs.1,199, Original Price: Rs.1,999",,,,,,,,,,,,,,,,,,,"It's all about accuracy For high-accuracy cursor operation, the Fantech KM-100 Keyboard Mouse Combo has unique Delta Zero sensor enhancements. Furthermore, it continues the long tradition of gaming mice and keyboards. High Sensor Whether you're zipping across the screen or zooming in on a single pixel, the 3D 1200 DPI sensor perfectly responds to your hand motions. Designed to endure In gaming contexts, ordinary mice are tormented. A regular League of Legends player, for example, may generate over 50,000 clicks every game. As a result, the Fantech KM-100 was intended to survive the test of time. Long-Lasting The Fantech combo's key mechanical micro switches have a 10 million-click lifespan. There are also low-friction polytetrafluoroethylene feet that can last up to 250 kilometers. Feel Different For better comfort and durability, the Fantech KM-100 Keyboard Mouse Combo incorporates advanced materials. In addition, the palm region of the combination device has a strong hydrophobic coating to fight heat and moisture build-up. We also put fingerprint-resistant coatings on the key buttons for strong contact zones. Plug & Play Nobody wants to miss out on the thrills of a game. Furthermore, no software is required to use this device; simply package the keyboard, put the cord into a USB or PS/2 port, and you're ready to go.",,447 x 157 x 25.5 mm,N/a,-,Wired,,59 x 117 x 36.5 mm,,,,,,,,,,,,,,,,,,
fantech-office-series-wk895-pop-keys-wireless-keyboard-mouse-combo.html,https://www.neostore.com.np/assets/uploads/fntk_3.jpg,https://www.neostore.com.np/assets/uploads/fntk_2.jpg,https://www.neostore.com.np/assets/uploads/fntk.jpg,https://www.neostore.com.np/assets/uploads/fntk_3.jpg,Fantech Office Series WK895 Pop Keys Wireless Keyboard Mouse Combo,"Keyboard Mouse  Number of keys : 110 key Battery : 2AAA batteries (not included) Size : 430x125x30mm Weight : 403g Number of buttons : 5 buttons Battery : 1 AA battery (not included) Size : 110x70x30mm Weight: 55,5g","Current Price: Rs.2,599, Original Price: Rs.3,499",,,,,,,,,,,,,,,,,,,,,430x125x30mm,55.5g,6 month,10 Meters,,110x70x30mm,,,,,,,,,,,,,,,,,,
logitech-classic-desktop-mk100-us-ps2-usb-keyboard.html,https://www.neostore.com.np/assets/uploads/uploads/2020/08/20-1.jpg,https://www.neostore.com.np/assets/uploads/uploads/2020/08/30-1.jpg,https://www.neostore.com.np/assets/uploads/uploads/2020/08/31-1.jpg,https://www.neostore.com.np/assets/uploads/uploads/2020/08/20-1.jpg,Logitech Classic Desktop MK100 US-PS2-USB keyboard,"With a standard keyboard layout and thin profile, this sleek Logitech Classic Desktop MK100 keyboard and optical mouse give you the compact comfort you can count on.","Current Price: Rs.2,375, Original Price: Rs.2,500",,,,,,,,,,,,,,,,,1 Year Warranty,,"The compact yet stylish Logitech Classic Desktop MK100 The compact layout with full-size keys and a number pad on the small, space-saving Logitech Classic Desktop MK100 keyboard keeps you comfortable without taking up a lot of space. You won't have to worry about spills because liquid drains off the keyboard. (Tested in restricted conditions; maximum liquid spillage of 60 mL; do not submerge keyboard in liquid.) A slim profile helps to keep your wrists in a neutral position making them more comfortable when typing. It also includes a full-size mouse that fits into your PS/2 port provides comfort and optical precision. Compact Comfort The compact Logitech Classic Desktop MK100 keyboard keeps you comfortable without taking up a lot of room thanks to full-size keys. Ready For Trouble The spill-resistant Logitech Classic Desktop MK100 keyboard is durable enough to take what you can dish out —even if it’s your morning coffee. All You Need Reliability, comfort, and style—you get it all with this thin-profile keyboard and full-size optical mouse. Compact Design, Full-size Keys The compact keyboard features a standard layout with full-size keys and a number pad to keep you comfortable without taking up a lot of space. Spill-Resistant Design Liquid drains out of the keyboard, so you don’t have to worry about ruining your investment with accidental spills. Thin profile Logitech Classic Desktop MK100 keyboard has a thin profile that helps place your wrists in a neutral position for a more comfortable typing experience. Full-size optical mouse The full-size mouse gives you comfort and optical precision—and plugs into your USB or PS/2 port More Details-",,,,,,,,-,-,Yes,,,,,,,,,,,,,,,
logitech-combo-desktop-mk120.html,https://www.neostore.com.np/assets/uploads/uploads/2020/08/186.jpg,https://www.neostore.com.np/assets/uploads/uploads/2020/08/10-1.jpg,https://www.neostore.com.np/assets/uploads/uploads/2020/08/11-1.jpg,https://www.neostore.com.np/assets/uploads/uploads/2020/08/186.jpg,Logitech Combo Desktop MK120,"FEEL-GOOD TYPING Your hands will enjoy the low-profile, whisper-quiet keys and standard layout with full-size F-keys and number pad.","Current Price: Rs.2,520, Original Price: Rs.2,650",,,,,,,,,,,,,,,,,1 Year Warranty,,"LOGITECH COMBO DESKTOP MK120 WITH RELIABLE SIMPLICITY It should be easy to do tasks. That is why the Logitech MK120 Combo is an excellent choice. A full-sized keyboard and mouse provide a familiar, easy-to-use design that is ready to use straight out of the box. Simply insert this corded combination into your computer's USB port and you're ready to go. FULL-SIZED KEYBOARD This full-size keyboard with integrated number pad makes data entry, calculations and navigation a breeze. The curved spacebar along with easy-to-read keys provide a comfortable and familiar typing experience. COMFORT FOR EITHER HAND A full-sized, ambidextrous mouse delivers smooth tracking and a curved shape to support the palm, for easy and comfortable navigation. EASY PLUG & PLAY Both the keyboard and mouse work right out of the box. Just plug into the USB ports, and they’re ready to go. No downloads, no setup, no fuss. SPILL RESISTANT KEYBOARD This keyboard is intended to last, with a spill-proof design, resilient keys, and sturdy tilt legs with adjustable height. RELIABLE AND DURABLE Logitech MK120 is designed to the same high quality and durability standards that have made Logitech the global leader in mouse and keyboards, with a 1-year guarantee included. MADE WITH RECYCLED PLASTIC The plastic parts in Logitech MK120 include certified post consumer recycled plastic — 72% for the mouse and 54% for the keyboard to give a second life to end-of-life plastic from old consumer electronics and help reduce our carbon footprint. Here are some of our other alternatives. ",,,,,,,,USB,"Windows VistaÂ®, WindowsÂ® XP, Windows 7, Windows 8, Windows 10 Two available USB ports",Yes,,,,,,,,,,,,,,,
logitech-desktop-mk240-nano-wireless-combo.html,https://www.neostore.com.np/assets/uploads/mk240.jpg,https://www.neostore.com.np/assets/uploads/MK240_3.jpg,https://www.neostore.com.np/assets/uploads/mk240.jpg,https://www.neostore.com.np/assets/uploads/MK240_3.jpg,Logitech Desktop MK240 Nano wireless combo,Colorful and compact. Wireless and wow. A keyboard and mouse set with a tiny plug-and-play USB receiver offers comfort and quality in a space-saving design.,"Current Price: Rs.4,325, Original Price: Rs.4,550",,,,,,,,,,,,,,,,,,,"Compact Keyboard & Contoured Mouse Typing is fast and fluid with full-size keys in a familiar yet space-saving layout, with adjustable tilt legs for typing comfort. The mid-sized mouse is shaped to fit your hand and features smooth cursor control with high-definition optical tracking (1000 dpi). Unique Design With The Splash Of Color You’ll stand out with vibrant color accents, a unique design, and fresh high-contrast patterns. Simple Wireless Connectivity A tiny USB receiver is pre-paired with your keyboard and mouse for plug-and-play connectivity. Logitech Advanced 2.4 GHz Wireless works from up to 10 meters away, with fast data transmission and no delays or dropouts. Durable & Hassle-Free A 36-month keyboard and 12-month mouse battery life a - plus auto-sleep and on/off switch. The keyboard is spillproof built to last.",,60 mm x 100 mm x 32 mm,312 g,,,,139 mm x 288 mm x 21 mm,,,,,12-month battery life,2.4 GHz wireless (10 meters),Nano USB receiver,,53 g,High-definition optical tracking (1000 dpi),,,,,,,,
