title,price_first,price_second,image_link,product_link,category
Microsoft Office Shortcuts Printed Mousepad,Rs.800,"Rs.1,200",https://www.neostore.com.np/assets/uploads/one_52.jpg,https://www.neostore.com.np/product/microsoft-office-shortcuts-printed-mousepad,mouse-pad
Fantech Vigil MP256 Gaming Mousepad,Rs.250,Rs.450,https://www.neostore.com.np/assets/uploads/mp256_3.jpg,https://www.neostore.com.np/product/fantech-vigil-mp256-gaming-mousepad,mouse-pad
Fantech Vigil MP296 Gaming Mouse Pad,Rs.339,Rs.449,https://www.neostore.com.np/assets/uploads/MP296_3.jpg,https://www.neostore.com.np/product/fantech-vigil-mp296-gaming-mouse-pad,mouse-pad
Fantech Mp80 Large Pc Laptop Gaming Mouse Pad,Rs.999,"Rs.1,399",https://www.neostore.com.np/assets/uploads/mp80_3.jpg,https://www.neostore.com.np/product/fantech-mp80-large-pc-laptop-gaming-mouse-pad,mouse-pad
UGREEN  Gaming Mouse Pad – Blue 20213 ,Rs.172,,https://www.neostore.com.np/assets/uploads/20312_.jpg,https://www.neostore.com.np/product/ugreen-gaming-mouse-pad-blue-20213-,mouse-pad
BenQ Gaming Mousepad G-SR-SE,"Rs.5,400",,https://www.neostore.com.np/assets/uploads/mp_21.jpg,https://www.neostore.com.np/product/benq-gaming-mousepad-g-sr-se,mouse-pad
Neo RGB  Gaming Mouse Pad,"Rs.2,390","Rs.3,000",https://www.neostore.com.np/assets/uploads/uploads/2020/12/rgb_mousepad-1-1024x1024.png,https://www.neostore.com.np/product/neo-rgb-gaming-mouse-pad,mouse-pad
Fantech MPR800 RGB Mouse Pad (Electronic),"Rs.3,000","Rs.3,499",https://www.neostore.com.np/assets/uploads/uploads/2020/10/1-18.jpg,https://www.neostore.com.np/product/fantech-mpr800-rgb-mouse-pad-electronic-,mouse-pad
Fantech MP25 MousePad,Rs.250,Rs.399,https://www.neostore.com.np/assets/uploads/uploads/2020/10/1-15.jpg,https://www.neostore.com.np/product/fantech-mp25-mousepad,mouse-pad
Fantech MP292 MousePad,Rs.350,Rs.500,https://www.neostore.com.np/assets/uploads/uploads/2020/10/1-14.jpg,https://www.neostore.com.np/product/fantech-mp292-mousepad,mouse-pad
