html_filename,image1,image2,image3,image4,product_title,short_description,price,Brand,Model,Category,Colour,Size,Thickness,label,description2
benq-gaming-mousepad-g-sr-se.html,https://www.neostore.com.np/assets/uploads/mp_21.jpg,https://www.neostore.com.np/assets/uploads/mp1.jpg,https://www.neostore.com.np/assets/uploads/mp3.jpg,https://www.neostore.com.np/assets/uploads/mp_21.jpg,BenQ Gaming Mousepad G-SR-SE,G-SR-SE DEEP BLUE Large Esports Gaming Mouse Pad  Cloth surface with color printing (L) Smooth glide feel bettwen G-SR and TF-X Non-stitched edges 100% flat soft rubber base Size : 18.5 x 15.3 inches ± 0.4 inch,"Current Price: Rs.5,400, Original Price: Rs.",BenQ,BenQ Gaming Mousepad G-SR-SE,Mousepad,-,470 x 390 mm,10 mm,,"The BenQ Esports Gaming Mousepad G-SR-SE was created for gamers that prefer a fabric mousepad with a rubber base. The one-of-a-kind soft rubber foundation is completely flat. It is comfortable to use while retaining a smooth glide on the mousepad. In comparison to the black G-SR, the SR-SE glides differently. A different feel from the G-SR is the smooth and even texture, which provides a continuous glide throughout. On any surface, the rubber base provides added stability. Compatible with all types of mice. For those who prefer the control of cloth over the comfort of rubber bases, this color cloth mousepad is for you. The SR-SE series does not compromise on stability in the name of comfort. The SR-rubber SE's base is soft and completely flat, ensuring consistent performance across the mousepad and on any surface. It is comfortable to use while retaining a smooth glide on the mousepad. In comparison to the black G-SR, the SR-SE glides differently. Summary: - Top mousepad for gamers
- Smooth and even texture offers a consistent glide throughout; a different feel from the G-SR
- Rubber base offers increased stability on any surface
- 100% compatible with all types of mice"
fantech-mp25-mousepad.html,https://www.neostore.com.np/assets/uploads/uploads/2020/10/1-15.jpg,https://www.neostore.com.np/assets/uploads/uploads/2020/10/2-16.jpg,https://www.neostore.com.np/assets/uploads/uploads/2020/10/1-15.jpg,https://www.neostore.com.np/assets/uploads/uploads/2020/10/2-16.jpg,Fantech MP25 MousePad,Only available online.  Extremely smooth Super slim Washable design Professional edge stitching,"Current Price: Rs.250, Original Price: Rs.399",,,,,,,,"GAMING mouse pad MP25 Sven Anti slip Rubber Base -STANDARD MOUSE PAD – speed type surfaces -quick and responsiveness to your mouse -build for maximum precision. -Anti- slip Rubber Base -Material Rubber -Size 250mmx210mmx2mm -Materials FABRIC + RUBBER BASE -Color: BLACK + red -Style: rubber,non-slip eco-friendly: yes Vendor Nepsells"
fantech-mp292-mousepad.html,https://www.neostore.com.np/assets/uploads/uploads/2020/10/1-14.jpg,https://www.neostore.com.np/assets/uploads/uploads/2020/10/2-15.jpg,https://www.neostore.com.np/assets/uploads/uploads/2020/10/1-14.jpg,https://www.neostore.com.np/assets/uploads/uploads/2020/10/2-15.jpg,Fantech MP292 MousePad,"With a superbly smooth surface and anti-slip natural rubber base, this mouse mat is designed to assist and enhance the performance of your mouse. Ideal choice for game, work or daily use.","Current Price: Rs.350, Original Price: Rs.500",,,,,,,,"Extended and Suitable Size. This extended mouse pad will fit both keyboard and mouse,and other desk items.Provide perfect movement space for gaming or office. Ultra-smooth Cloth Surface. Optimized for fast moving when maintaining excellent speed and control during gaming or work. Ensures the easiest mouse movements and best response times. 3 Anti-slip Rubber Base. Heavy duty rubber base can firmly grip the desktop preventing the mouse and keyboard from sliding or moving while using it. \ Durable and Guarantee. Our mousepad designed with superfine fiber braided material and high elasticity natural rubber material,durable design stands up to years of use. Vendor Nepsells"
fantech-mp80-large-pc-laptop-gaming-mouse-pad.html,https://www.neostore.com.np/assets/uploads/mp80_3.jpg,https://www.neostore.com.np/assets/uploads/mp80_2.jpg,https://www.neostore.com.np/assets/uploads/mp80.jpg,https://www.neostore.com.np/assets/uploads/mp80_3.jpg,Fantech Mp80 Large Pc Laptop Gaming Mouse Pad,Gaming Mouse Pad - Sven Series Size (800*300*3 MM) Immovable like a Rock (Gives Maximum Control during Gaming) Premium Material used for Gamers & Designers Sewed Edges for Ultra Durability & Long lasting Maximum Comfort for long duration of Play or Design,"Current Price: Rs.999, Original Price: Rs.1,399",Fantech,Fantech Mp80 Large Pc Laptop Gaming Mouse Pad,Mousepad,Black & Grey,800*300mm,3 mm,, 
fantech-mpr800-rgb-mouse-pad-electronic-.html,https://www.neostore.com.np/assets/uploads/uploads/2020/10/1-18.jpg,https://www.neostore.com.np/assets/uploads/uploads/2020/10/2-19.jpg,https://www.neostore.com.np/assets/uploads/uploads/2020/10/1-18.jpg,https://www.neostore.com.np/assets/uploads/uploads/2020/10/2-19.jpg,Fantech MPR800 RGB Mouse Pad (Electronic),"Available only online.  RGB soft tube 4 kinds of light effect mode 7 Colors Changing Precision and fine fabric surface Control precision, fast movement Extended version area length 78x width 30 cm Non-slip rubber bottom clothing table does not slide Flexible cloth storage convenient Micro USB power cord connection Office, games, etc.Model: MPR800 power connection: Micro USB material: cloth, rubber, plastic","Current Price: Rs.3,000, Original Price: Rs.3,499",,,,,,,,
fantech-vigil-mp256-gaming-mousepad.html,https://www.neostore.com.np/assets/uploads/mp256_3.jpg,https://www.neostore.com.np/assets/uploads/mp256_2.jpg,https://www.neostore.com.np/assets/uploads/mp256.jpg,https://www.neostore.com.np/assets/uploads/mp256_3.jpg,Fantech Vigil MP256 Gaming Mousepad,"Slicky SURFACE Smooth water repellent surface provides rapid movement and anti-smudge resistance of liquid. High Base: Anti-Slip Optimized 2mm thickness for comfortable cushioning support. Rubber base with anti-slip wave structure. Original rubber material, non-toxic and natural. Edge Sewing Sewed brim for more resilience. Size: 25cm x 21cm (2mm thick) Speed Edition (Slippery)","Current Price: Rs.250, Original Price: Rs.450",Fantech,MP256,Mousepad,Black & Red,250 x 210mm,2 mm,,
fantech-vigil-mp296-gaming-mouse-pad.html,https://www.neostore.com.np/assets/uploads/MP296_3.jpg,https://www.neostore.com.np/assets/uploads/MP296.jpg,https://www.neostore.com.np/assets/uploads/MP296_2.jpg,https://www.neostore.com.np/assets/uploads/MP296_3.jpg,Fantech Vigil MP296 Gaming Mouse Pad,"Fantech High Non-Slip Base Gaming Mouse Pad with Edge Sewed provide a water resistance heavily textured wave surface in order to increase speed targeting experience and also improves the durability to prevent liquid staining. Mp296 mouse pad has optimized thickness of 3mm/4mm height for comfort cushioning support and right angle wave structure anti-slip rubber base, natural rubber material is non-toxic and eco-friendly.","Current Price: Rs.339, Original Price: Rs.449",Fantech,MP296,Mousepad,Black & Red,250 x 210mm,2 mm,,
microsoft-office-shortcuts-printed-mousepad.html,https://www.neostore.com.np/assets/uploads/one_52.jpg,https://www.neostore.com.np/assets/uploads/one_4.jpg,https://www.neostore.com.np/assets/uploads/one_32.jpg,https://www.neostore.com.np/assets/uploads/one_22.jpg,Microsoft Office Shortcuts Printed Mousepad,"Maximize Your Workspace: Experience the freedom and flexibility to excel in Word, Excel, PowerPoint, and more with our Office Shortcut Mouse Pad. Its expansive design enhances your productivity, allowing seamless multitasking for all your daily tasks. Durable and Reliable: Our Giant Size Mouse Pad is built to last, offering superior quality that stands the test of time. Boost Your Productivity: Unlock your full potential with our Office Shortcuts Cheat Sheet Mouse Pad. More than just an accessory, it's a productivity tool proven to enhance efficiency, helping you master Office software skills that can lead to a 20% increase in earnings. Professional and Practical Design: Enhance the look and functionality of your workspace. Crafted from natural rubber, our mouse pad not only protects your desk from scratches and stains but also accommodates your laptop, mouse, and keyboard, ensuring an organized and professional setup. Easy to Maintain: With a spill-repellent surface, our mouse pad ensures quick and easy cleanup, saving you time and extending the product’s lifespan. Keep your workspace pristine and focus on what truly matters—your work. Employee Appreciation Gifts: Featuring essential Excel shortcuts, our XL mouse pad is designed to boost work efficiency, making it an ideal and thoughtful gift for employees, colleagues, or yourself.","Current Price: Rs.800, Original Price: Rs.1,200",Generic,Microsoft Office Shortcuts Printed Mousepad,Mousepad,Black with rubber print,Large,2 mm,,
neo-rgb-gaming-mouse-pad.html,https://www.neostore.com.np/assets/uploads/uploads/2020/12/rgb_mousepad-1-1024x1024.png,https://www.neostore.com.np/assets/uploads/uploads/2020/12/rgb_mousepad-1-1024x1024.png,,,Neo RGB  Gaming Mouse Pad,"Are you looking for a mouse pad that they can light your desk up like a Christmas tree? Whether you want to light up your desk, or if you want a slick pad for maximum accuracy and response times in your favorite FPS games and MOBA/ RTS games and others, or want to give gamers a great gift. Neo RGB mouse pad is a great choice for you. The mouse pad is an extra thick pad with a rubber base and smooth cloth surface. A pad that will rest firmly on your desk even during the most intense gaming session and shot accurately.","Current Price: Rs.2,390, Original Price: Rs.3,000",,,,,,,,Main Features-
ugreen-gaming-mouse-pad-blue-20213-.html,https://www.neostore.com.np/assets/uploads/20312_.jpg,https://www.neostore.com.np/assets/uploads/20312_2.jpg,https://www.neostore.com.np/assets/uploads/20312_.jpg,https://www.neostore.com.np/assets/uploads/20312_2.jpg,UGREEN  Gaming Mouse Pad – Blue 20213,Rubber and Cloth medium size with rubber back for better grip Comfortable and attractive Blue in Color Size: L260mm X W210mm X H2.5mm,"Current Price: Rs.172, Original Price: Rs.",UGREEN,UGREEN Gaming Mouse Pad – Blue 20312,Mouse pad,Blue,L260mm X W210mm,2.5mm,,Features:
