title,price_first,price_second,image_link,product_link,category
Ant Esports GM40 RGB Gaming Mouse,Rs.500,,https://www.neostore.com.np/assets/uploads/ant_2.jpg,https://www.neostore.com.np/product/ant-esports-gm40-rgb-gaming-mouse,mouse
Logitech M196 Reliable Wireless Bluetooth Mouse With Comfortable Shape,"Rs.2,425","Rs.2,550",https://www.neostore.com.np/assets/uploads/M196_3.jpg,https://www.neostore.com.np/product/logitech-m196-reliable-wireless-bluetooth-mouse-with-comfortable-shape,mouse
Satechi M1 Bluetooth Wireless Mouse,"Rs.4,200",,https://www.neostore.com.np/assets/uploads/silver_4.jpg,https://www.neostore.com.np/product/satechi-m1-bluetooth-wireless-mouse,mouse
Fantech Go W606 Wireless Office Mouse,Rs.599,Rs.799,https://www.neostore.com.np/assets/uploads/w606_2.jpg,https://www.neostore.com.np/product/fantech-go-w606-wireless-office-mouse,mouse
Fantech Go W608 Wireless Mouse,Rs.599,Rs.750,https://www.neostore.com.np/assets/uploads/w608_4.jpg,https://www.neostore.com.np/product/fantech-go-w608-wireless-mouse,mouse
Fantech Venom II WGC2+ Wireless Gaming Mouse,"Rs.2,499","Rs.4,999",https://www.neostore.com.np/assets/uploads/wgc2_4.jpg,https://www.neostore.com.np/product/fantech-venom-ii-wgc2-wireless-gaming-mouse,mouse
Fantech GO Wireless Office Mouse W603,Rs.649,Rs.899,https://www.neostore.com.np/assets/uploads/W603_3.jpg,https://www.neostore.com.np/product/fantech-go-wireless-office-mouse-w603,mouse
Fantech Raigor III WG12 Gaming Mouse,"Rs.1,200","Rs.1,799",https://www.neostore.com.np/assets/uploads/WG12_3.jpg,https://www.neostore.com.np/product/fantech-raigor-iii-wg12-gaming-mouse,mouse
Fantech Phantom II VX6 Macro Gaming Mouse,"Rs.1,600","Rs.2,199",https://www.neostore.com.np/assets/uploads/vx6_4.jpg,https://www.neostore.com.np/product/fantech-phantom-ii-vx6-macro-gaming-mouse,mouse
Micropack GM-07 RGB Professional Gaming Mouse,"Rs.2,840",,https://www.neostore.com.np/assets/uploads/GM-07_3.jpg,https://www.neostore.com.np/product/micropack-gm-07-rgb-professional-gaming-mouse,mouse
Imperion W505 Teleport 2.4G Wireless Gaming Mouse MG-W505,"Rs.1,800","Rs.2,000",https://www.neostore.com.np/assets/uploads/imperion_3.jpg,https://www.neostore.com.np/product/imperion-w505-teleport-2-4g-wireless-gaming-mouse-mg-w505,mouse
Imperion M410 Javelin 6 Button USB RGB Gaming Mouse MG-M410,"Rs.1,800","Rs.2,000",https://www.neostore.com.np/assets/uploads/javelin_2.jpg,https://www.neostore.com.np/product/imperion-m410-javelin-6-button-usb-rgb-gaming-mouse-mg-m410,mouse
Logitech G502 HERO High Performance Gaming Mouse,"Rs.8,540","Rs.8,990",https://www.neostore.com.np/assets/uploads/g502_3.jpg,https://www.neostore.com.np/product/logitech-g502-hero-high-performance-gaming-mouse,mouse
Logitech G402 Hyperion Fury Gaming Mouse,"Rs.6,640","Rs.6,990",https://www.neostore.com.np/assets/uploads/g402_2.jpg,https://www.neostore.com.np/product/logitech-g402-hyperion-fury-gaming-mouse,mouse
