title,price_first,price_second,image_link,product_link,category
"Ruijie Reyee RG-POE-AF15, 1-Port PoE Injector (1000Base-T, 52 V, 15.6 W)","Rs.2,647",,https://www.neostore.com.np/assets/uploads/RG-POE-AF15_3.jpg,https://www.neostore.com.np/product/ruijie-reyee-rg-poe-af15-1-port-poe-injector-1000base-t-52-v-15-6-w-,networking-connections
"Ruijie Reyee RG-POE-AT30, 1-Port PoE Injector (1000Base-T, 52 V, 31.2 W)","Rs.6,352",,https://www.neostore.com.np/assets/uploads/RG-POE-AT30_3.jpg,https://www.neostore.com.np/product/ruijie-reyee-rg-poe-at30-1-port-poe-injector-1000base-t-52-v-31-2-w-,networking-connections
"Ruijie Reyee RG-EST350 V2, 5GHz Dual-stream 802.11ac 5KM Wireless Bridge","Rs.34,162",,https://www.neostore.com.np/assets/uploads/RG-EST350_V2_4.jpg,https://www.neostore.com.np/product/ruijie-reyee-rg-est350-v2-5ghz-dual-stream-802-11ac-5km-wireless-bridge,networking-connections
"Ruijie Reyee RG-EST310 V2, 5GHz Dual-stream 802.11ac 1KM Wireless Bridge","Rs.24,069",,https://www.neostore.com.np/assets/uploads/RG-EST310_V2.jpg,https://www.neostore.com.np/product/ruijie-reyee-rg-est310-v2-5ghz-dual-stream-802-11ac-1km-wireless-bridge,networking-connections
"Ruijie Reyee RG-ES226GC-P, 26-Port Gigabit Smart Cloud Managed PoE Switch","Rs.64,230",,https://www.neostore.com.np/assets/uploads/RG-ES226GC-P_2.jpg,https://www.neostore.com.np/product/ruijie-reyee-rg-es226gc-p-26-port-gigabit-smart-cloud-managed-poe-switch,networking-connections
"Ruijie Reyee RG-ES218GC-P, 18-Port Gigabit Smart Cloud Managed PoE Switch","Rs.21,351",,https://www.neostore.com.np/assets/uploads/RG-ES218GC-P_3.jpg,https://www.neostore.com.np/product/ruijie-reyee-rg-es218gc-p-18-port-gigabit-smart-cloud-managed-poe-switch,networking-connections
"Ruijie Reyee RG-ES209GC-P, 9-Port Gigabit Smart Cloud Managed PoE Switch","Rs.21,351",,https://www.neostore.com.np/assets/uploads/RG-ES209GC-P_3.jpg,https://www.neostore.com.np/product/ruijie-reyee-rg-es209gc-p-9-port-gigabit-smart-cloud-managed-poe-switch,networking-connections
"Ruijie Reyee RG-ES206GC-P, 6-Port Gigabit Smart Cloud Managed PoE Switch","Rs.12,564",,https://www.neostore.com.np/assets/uploads/RG-ES206GC-P_3.jpg,https://www.neostore.com.np/product/ruijie-reyee-rg-es206gc-p-6-port-gigabit-smart-cloud-managed-poe-switch,networking-connections
"Ruijie Reyee RG-ES205GC-P, 5-Port Gigabit Smart Cloud Mananged PoE Switch","Rs.11,646",,https://www.neostore.com.np/assets/uploads/RG-ES205GC-P_31.jpg,https://www.neostore.com.np/product/ruijie-reyee-rg-es205gc-p-5-port-gigabit-smart-cloud-mananged-poe-switch,networking-connections
"Ruijie Reyee RG-ES216GC, 16-Port Gigabit Smart Cloud Managed Non-PoE Switch","Rs.21,739",,https://www.neostore.com.np/assets/uploads/RG-ES216GC_3.jpg,https://www.neostore.com.np/product/ruijie-reyee-rg-es216gc-16-port-gigabit-smart-cloud-managed-non-poe-switch,networking-connections
"Ruijie Reyee RG-ES208GC, 8-Port Gigabit Smart Cloud Managed Non-PoE Switch","Rs.6,882",,https://www.neostore.com.np/assets/uploads/RG-ES208GC_3.jpg,https://www.neostore.com.np/product/ruijie-reyee-rg-es208gc-8-port-gigabit-smart-cloud-managed-non-poe-switch,networking-connections
"Ruijie Reyee RG-ES205GC-P, 5-Port Gigabit Smart Cloud Mananged PoE Switch","Rs.5,541",,https://www.neostore.com.np/assets/uploads/RG-ES205GC-P_2.jpg,https://www.neostore.com.np/product/ruijie-reyee-rg-es205gc-p-5-port-gigabit-smart-cloud-mananged-poe-switch,networking-connections
"Ruijie Reyee RG-EG310GH-P-E, Reyee10-Port High-Performance Cloud Managed PoE Office Router","Rs.48,458",,https://www.neostore.com.np/assets/uploads/RG-EG310GH-P-E_3.jpg,https://www.neostore.com.np/product/ruijie-reyee-rg-eg310gh-p-e-reyee10-port-high-performance-cloud-managed-poe-office-router,networking-connections
"Ruijie Reyee RG-EG305GH-P-E, Reyee 5-Port High-Performance Cloud Managed PoE Office Router","Rs.40,313",,https://www.neostore.com.np/assets/uploads/RG-EG305GH-P-E_2.jpg,https://www.neostore.com.np/product/ruijie-reyee-rg-eg305gh-p-e-reyee-5-port-high-performance-cloud-managed-poe-office-router,networking-connections
Ruijie Reyee RG-EG210G-P Reyee 10-Port Gigabit Cloud Managed PoE Router,"Rs.29,892",,https://www.neostore.com.np/assets/uploads/RG-EG210G-P_3.jpg,https://www.neostore.com.np/product/ruijie-reyee-rg-eg210g-p-reyee-10-port-gigabit-cloud-managed-poe-router,networking-connections
Ruijie Reyee RG-EG209GS Reyee 9-Port Gigabit Cloud Managed SFP Router,"Rs.19,940",,https://www.neostore.com.np/assets/uploads/RG-EG209GS_3.jpg,https://www.neostore.com.np/product/ruijie-reyee-rg-eg209gs-reyee-9-port-gigabit-cloud-managed-sfp-router,networking-connections
Ruijie Reyee RG-EG105G-P V2 Reyee Cloud Managed PoE Router,"Rs.20,187",,https://www.neostore.com.np/assets/uploads/RG-EG105G-P_V2_4.jpg,https://www.neostore.com.np/product/ruijie-reyee-rg-eg105g-p-v2-reyee-cloud-managed-poe-router,networking-connections
