title,price_first,price_second,image_link,product_link,category
Apacer 32GB AH790 Usb 3.1 Gen1 & Lightning Dual Flash Drive,"Rs.3,800",,https://www.neostore.com.np/assets/uploads/AH790_3.jpg,https://www.neostore.com.np/product/apacer-32gb-ah790-usb-3-1-gen1-lightning-dual-flash-drive,pendrives
Apacer 256GB AH25B USB 3.2 Gen 1 Flash Drive,"Rs.3,300",,https://www.neostore.com.np/assets/uploads/AH25B_3.jpg,https://www.neostore.com.np/product/apacer-256gb-ah25b-usb-3-2-gen-1-flash-drive,pendrives
Apacer 16GB AH357 USB 3.2 Gen 1 Flash Drive,Rs.700,,https://www.neostore.com.np/assets/uploads/AH357_2.jpg,https://www.neostore.com.np/product/apacer-16gb-ah357-usb-3-2-gen-1-flash-drive,pendrives
Apacer 128GB AH350 USB 3.2 Gen 1 Flash Drive,"Rs.1,800",,https://www.neostore.com.np/assets/uploads/ah350.jpg,https://www.neostore.com.np/product/apacer-128gb-ah350-usb-3-2-gen-1-flash-drive,pendrives
Sandisk Ultra Dual Drive Go 3.1 USB Type-C Flash Drive,"Rs.1,125 - Rs.1,450",,https://www.neostore.com.np/assets/uploads/Sandisk_pendrive_3.jpg,https://www.neostore.com.np/product/sandisk-ultra-dual-drive-go-3-1-usb-type-c-flash-drive,pendrives
SanDisk Ultra Flair USB 3.0 Flash Drive,"Rs.900 - Rs.1,900",,https://www.neostore.com.np/assets/uploads/SanDisk_Ultra_Flair_2.jpg,https://www.neostore.com.np/product/sandisk-ultra-flair-usb-3-0-flash-drive,pendrives
Sandisk Ultra Curve USB 3.2 Gen 1 Flash Drives,"Rs.800 - Rs.1,725",,https://www.neostore.com.np/assets/uploads/SanDisk_Ultra_Curve_3.jpg,https://www.neostore.com.np/product/sandisk-ultra-curve-usb-3-2-gen-1-flash-drives,pendrives
Sandisk Cruzer Glide 3.0 USB Flash Drive,"Rs.775 - Rs.1,675",,https://www.neostore.com.np/assets/uploads/cruzer_glide_2.jpg,https://www.neostore.com.np/product/sandisk-cruzer-glide-3-0-usb-flash-drive,pendrives
PNY Turbo Attache 4 USB 3.0 Flash Drive,"Rs.900 - Rs.1,900",,https://www.neostore.com.np/assets/uploads/pny5.jpg,https://www.neostore.com.np/product/pny-turbo-attache-4-usb-3-0-flash-drive,pendrives
Apacer AH353 USB 3.0 Pendrive 32GB ,Rs.750,,https://www.neostore.com.np/assets/uploads/apacer5.jpg,https://www.neostore.com.np/product/apacer-ah353-usb-3-0-pendrive-32gb-,pendrives
"Apacer 2.0 16GB Pendrive  AH128,AH129","Rs.1,000",,https://www.neostore.com.np/assets/uploads/apacer_24.jpg,https://www.neostore.com.np/product/apacer-2-0-16gb-pendrive-ah128-ah129,pendrives
Apacer AH-179 USB 3.2 Gen 1 OTG Pendrive,"Rs.1,275 - Rs.1,750",,https://www.neostore.com.np/assets/uploads/apacer_3.jpg,https://www.neostore.com.np/product/apacer-ah-179-usb-3-2-gen-1-otg-pendrive,pendrives
Hikvision M200 USB 2.0 Pendrive,Rs.675 - Rs.945,,https://www.neostore.com.np/assets/uploads/hikvision_pd.jpg,https://www.neostore.com.np/product/hikvision-m200-usb-2-0-pendrive,pendrives
Hikvision M200 USB 3.0 Pendrive,"Rs.743 - Rs.3,587",,https://www.neostore.com.np/assets/uploads/uploads/2021/03/hikvision_0007_hikvision-m200-.jpg,https://www.neostore.com.np/product/hikvision-m200-usb-3-0-pendrive,pendrives
Apacer Pendrive 64GB AH-353,"Rs.1,200",,https://www.neostore.com.np/assets/uploads/uploads/2021/01/Apacer-Pendrive-64GB-AH-353-a.jpg,https://www.neostore.com.np/product/apacer-pendrive-64gb-ah-353,pendrives
Apacer USB 3.2 Type C Pendrive  Ah-180,"Rs.1,400 - Rs.2,600",,https://www.neostore.com.np/assets/uploads/uploads/2021/01/Apacer-Pendrive-32GB-Ah-180-Type-Ca.jpg,https://www.neostore.com.np/product/apacer-usb-3-2-type-c-pendrive-ah-180,pendrives
Apacer Pendrive 16GB USB 3.1 AH-190,"Rs.3,500",,https://www.neostore.com.np/assets/uploads/uploads/2021/01/Apacer-Pendrive-16GB-USB-3.1-AH-190.jpg,https://www.neostore.com.np/product/apacer-pendrive-16gb-usb-3-1-ah-190,pendrives
Apacer 64GB USB 3.1 Gen 1 Pendrive,"Rs.2,660",,https://www.neostore.com.np/assets/uploads/uploads/2020/08/114.jpg,https://www.neostore.com.np/product/apacer-64gb-usb-3-1-gen-1-pendrive,pendrives
Apacer Pendrive AH-353 USB 3.0,"Rs.900 - Rs.1,400",,https://www.neostore.com.np/assets/uploads/uploads/2020/08/113.jpg,https://www.neostore.com.np/product/apacer-pendrive-ah-353-usb-3-0,pendrives
