html_filename,image1,image2,image3,image4,product_title,short_description,price,Product,Model,Category,Storage_Capacity,Connector-type,label,description2,Capacity,Show_countdown,Warranty,Brand,Color
apacer-128gb-ah350-usb-3-2-gen-1-flash-drive.html,https://www.neostore.com.np/assets/uploads/ah350.jpg,https://www.neostore.com.np/assets/uploads/ah350_3.jpg,https://www.neostore.com.np/assets/uploads/ah350_2.jpg,https://www.neostore.com.np/assets/uploads/ah350.jpg,Apacer 128GB AH350 USB 3.2 Gen 1 Flash Drive,Ultra-large capacity up to 128GB USB 3.2 Gen 1 & USB 2.0 compatible Hidden side push key Compact & streamlined design,"Current Price: Rs.1,800, Original Price: Rs.",Apacer,AH350,Pendrive,128GB,USB 3.2 Gen 1,,"  USB 3.2 Gen 1 & USB 2.0 Compatible AH350 features easy plug-and-play capability and is compatible with USB 3.2 Gen 1 and USB 2.0 interfaces.  Hidden Side Push Key The exclusive hidden side push key of AH350 allows your thumb and palm to fit perfectly the flash drive when you're holding it. Without worrying about losing a cap, the AH350 balances aesthetic design and ergonomics.  Compact & Streamlined Design AH350 is a most lightweight USB 3.2 Gen 1 flash drive with the highest cost performance available in the market. AH350 fully demonstrates Apacer's aspiration for Super Speed in an elegant and a sophisticated fashion from both its transfer rate and streamlined casing. To show the beauty and strength of speed in its design, AH350 takes inspirations from top racing cars and is deliberately made in a contrast of glossy black and matte white to highlight its streamlined appearance.",,,,,
apacer-16gb-ah357-usb-3-2-gen-1-flash-drive.html,https://www.neostore.com.np/assets/uploads/AH357_2.jpg,https://www.neostore.com.np/assets/uploads/AH357.jpg,https://www.neostore.com.np/assets/uploads/AH357_2.jpg,https://www.neostore.com.np/assets/uploads/AH357.jpg,Apacer 16GB AH357 USB 3.2 Gen 1 Flash Drive,Sunshine and livelihood vivid color USB 3.2 Gen 1 super speed transmission Swivel cap design Ergonomic non-slip surface,"Current Price: Rs.700, Original Price: Rs.",Apacer,AH357,Pendrive,16GB,USB 3.2 Gen 1,,"  Play with Vivid Colors Ocean Blue AH357 & Meadow Green AH335 represent sunshine and livelihood along with snow-white swivel body, displaying bright and colorful vitality.  Strap Hole Design The hidden strap hole allows the use of personalized charms, making it easy to carry while displaying unique personal taste.  USB 3.2 Gen 1 Super Speed Transmission AH357 uses USB 3.2 Gen1 high-speed interface, increasing work efficiency and reducing waiting times. AH335 used USB 2.0 interface and has the widest compatibility, making it the best digital accessory.",,,,,
apacer-2-0-16gb-pendrive-ah128-ah129.html,https://www.neostore.com.np/assets/uploads/apacer_24.jpg,https://www.neostore.com.np/assets/uploads/apacer4.jpg,https://www.neostore.com.np/assets/uploads/apacer_32.jpg,https://www.neostore.com.np/assets/uploads/apacer_24.jpg,"Apacer 2.0 16GB Pendrive  AH128,AH129",16GB Pendrive Stylish yet portable,"Current Price: Rs.1,000, Original Price: Rs.",Apacer,"AH128,AH129",Pendrive,16GB,USB 2.0,,"Storage capacity extension Extends storage capacity for devices with the USB interface. Stable and quick transmission Copies and transfers file fast and stably. High file compatibility Supports files of various formats. Plug and play Plugs the drive to operate, no network or data cable is required. Slim and portable Small in size, easy to carry.",,,,,
apacer-256gb-ah25b-usb-3-2-gen-1-flash-drive.html,https://www.neostore.com.np/assets/uploads/AH25B_3.jpg,https://www.neostore.com.np/assets/uploads/AH25B_.jpg,https://www.neostore.com.np/assets/uploads/AH25B_2.jpg,https://www.neostore.com.np/assets/uploads/AH25B_3.jpg,Apacer 256GB AH25B USB 3.2 Gen 1 Flash Drive,Compact with a dual-color mix and match Portable and fashionable Ultra-High 256GB capacity The low-keyed fine art of metalworking techniques,"Current Price: Rs.3,300, Original Price: Rs.",Apacer,AH25B,Pendrive,256GB,USB 3.2 Gen 1,,"  Unique contrast design With a unique Contrast Design approach, Apacer's design team combines the matte metal shell with a translucent cover to form a dual sight and touch contrast, add more aesthetic gradations with joyfulness when using the products.  Portable and fashionable In addition to ultra-light touch, the smooth matte body is anti-drop and wear proof so that the user doesn’t worry about getting fingerprint marks on it.  High 16GB capacity Available in 16GB, 32GB, 64GB, 128GB, and 256GB. AH25B allows carrying mass data for portable applications and realizing a digital life of unrestricted mobility!  Dual-color mix and match The Sunrise Red AH25B USB 3.2 Gen 1 shows the high contrast of red and black highlights the unique passionate nature of the product. Also, the Deep Valley Black AH25B USB 3.2 Gen 1 reflects the cool and professional image of the user with a mysterious black matte body. The strong distinction manifests the theme of Contrast Design and brings more selectable styles for the user.",,,,,
apacer-32gb-ah790-usb-3-1-gen1-lightning-dual-flash-drive.html,https://www.neostore.com.np/assets/uploads/AH790_3.jpg,https://www.neostore.com.np/assets/uploads/AH790_2.jpg,https://www.neostore.com.np/assets/uploads/AH790.jpg,https://www.neostore.com.np/assets/uploads/AH790_3.jpg,Apacer 32GB AH790 Usb 3.1 Gen1 & Lightning Dual Flash Drive,"above, Linux 2.6.X or above, iOS 8.0 or above (iPhone & iPad), iPhone?iPhone 7, iPhone SE, iPhone 6S, iPhone 6S Plus, iPhone 6, iPhone 6 Plus, iPhone 5S, iPhone 5C, iPhone 5, iPad?iPad(4th generation), iPad Pro, iPad Air2, iPad Air, iPad mini4, iPad mini3, iPad mini2, iPad mini.  Capacity: 32GB Supported systems: Windows 10/8.1/8/7, Mac OS 10.6.X or","Current Price: Rs.3,800, Original Price: Rs.",Apacer,AH357,Pendrive,32GB,USB 3.2 Gen 1,,"IPHONE & IPAD MEMORY TOO FULL? Did you ever have to hold back from filming, taking a photo, or enjoying video entertainment on your device, because of insufficient memory? EASY FILE SHARING WITH DUAL INTERFACE AH790 is equipped with Apple Lightning and USB 3.1 Gen 1 Type-A dual interface, allowing prompt and simple data transfers between iOS devices and PCs.
The Lightning connector is built extra long to ensure no covers ever had to be removed off a phone during insertion. ZINC ALLOY AESTHETICS Handsomely encased in zinc alloy, AH790 even has the flexibility to be added with your favorite accessory for a personalized look. 360-DEGREE SWIVEL CAP DESIGN The 360-degree swivel cap is designed to pause at four directions to make the spin more precise, always keeping the Lightning connector protected when not in use. APPLE MFI CERTIFIED: A PROMISE OF QUALITY Certified by Apple MFi, AH790 functions with a superb quality. Users can rest assured and enjoy their digital life with iOS products. EASY FILE MANAGEMENT WITH IFILEBRIDGE APP Apacer iFileBridge is an exclusive app that offers a simple, user-friendly interface to make video plays, data backup, and file sharing as easy as a few finger movements. EASY ONE-TOUCH BACKUP FEATURE AH790 is built to overcome memory limitations in Apple products. The “One-touch backup” function can duplicate data from device to AH790, releasing your phone’s memory space.",,,,,
apacer-64gb-usb-3-1-gen-1-pendrive.html,https://www.neostore.com.np/assets/uploads/uploads/2020/08/114.jpg,https://www.neostore.com.np/assets/uploads/uploads/2020/08/114.jpg,,,Apacer 64GB USB 3.1 Gen 1 Pendrive,Efficient Transfer Rate The AH353 USB 3.1 Gen 1 has efficient transfer rate which is 10 times faster than traditional USB 2.0. The result is that you stay on the cutting edge of technology.,"Current Price: Rs.2,660, Original Price: Rs.",,,,,,,"Light Weight and Slim Aluminum Alloy Casing AH353 adopts aluminum alloy materials, which create a unique and exquisite metallic appearance showcasing the high-tech element. The engraved lines on the body reflect the nature of high-speed, trimmed with arc design to enhance the texture and enrich its light and shadow changes. A lost-proof Pen Cap Design The Pen Cap Design allows the cap to be tucked in the back of the casing to prevent accidental loss. Strap Hole Makes it Easy to be Attached With the strap hole at the end of the flash drive, users can freely attach straps or a key chain to show their personal style.",64 GB,Yes,1 Year Warranty,,
apacer-ah-179-usb-3-2-gen-1-otg-pendrive.html,https://www.neostore.com.np/assets/uploads/apacer_3.jpg,https://www.neostore.com.np/assets/uploads/apacer_2.jpg,https://www.neostore.com.np/assets/uploads/apacer.jpg,https://www.neostore.com.np/assets/uploads/apacer_3.jpg,Apacer AH-179 USB 3.2 Gen 1 OTG Pendrive,2-in-1 Super Speed dual interface USB flash Drive with a Micro USB Mini and portable 16 and 32 GB Storage option,"Current Price: Rs., Original Price: Rs.",PNY,Attache-R,Pendrive,"16GB, 32GB",USB 3.2,,"Dual Interface The Apacer AH179 is a SuperSpeed dual-interface USB flash drive with a Micro USB connector on one end and a USB 3.2 Gen 1 connector on the other. The AH179 is the greatest solution for file exchanges between personal computers and OTG-enabled mobile devices because it is equipped with USB 3.2 Gen 1 at a stunning 5Gbps speed. SuperSpeed Transmission If your phone is continuously overloaded or requires a huge volume of video, image, or music files, use the highly compatible AH179 OTG store and transmit data between your personal items at rapid speed, freeing up storage capacity. 360° Swivel Cap The exquisitely casted silver metal casing of AH179 OTG offers a superb touch in a sleek appearance.  A navy blue cap extends from the already-compact size to turn at 360-degree, always keeping one end covered and never detached. OTG Function AH179 is compatible with OTG-enabled mobile devices running on Android 4.1.X or more. An exclusive Apacer FileBridge app manages files in mobile devices and the memory cards and works to copy and share files  within only a few finger movements. Memory Expansion Available in 16GB, and 32GB, AH179 is the perfect bridge to your PC, laptop and mobile devices that impeccably expands storage capacity and exchanges files.",,,,,
apacer-ah353-usb-3-0-pendrive-32gb-.html,https://www.neostore.com.np/assets/uploads/apacer5.jpg,https://www.neostore.com.np/assets/uploads/apacer_25.jpg,https://www.neostore.com.np/assets/uploads/apacer_33.jpg,https://www.neostore.com.np/assets/uploads/apacer5.jpg,Apacer AH353 USB 3.0 Pendrive 32GB,Apacer Model AH353 32GB Pendrive Stylish yet portable,"Current Price: Rs.750, Original Price: Rs.",Apacer,AH353,Pendrive,32GB,USB 2.0,,"Efficient Transfer Rate The AH353 USB 3.1 Gen 1 has an efficient transfer rate which is 10 times faster than traditional USB 2.0. The result is that you stay on the cutting edge of technology. Light Weight and Slim Aluminum Alloy Casing AH353 adopts aluminum alloy materials, which create a unique and exquisite metallic appearance showcasing the high-tech element. The engraved lines on the body reflect the nature of high-speed, trimmed with arc design to enhance the texture and enrich its light and shadow changes. A lost-proof Pen Cap Design The Pen Cap Design allows the cap to be tucked in the back of the casing to prevent accidental loss. Strap Hole Makes it Easy to be Attached With the strap hole at the end of the flash drive, users can freely attach straps or a key chain to show their personal style.",,,,,
apacer-pendrive-16gb-usb-3-1-ah-190.html,https://www.neostore.com.np/assets/uploads/uploads/2021/01/Apacer-Pendrive-16GB-USB-3.1-AH-190.jpg,https://www.neostore.com.np/assets/uploads/uploads/2021/01/Apacer-Pendrive-16GB-USB-3.1-AH-190...jpg,https://www.neostore.com.np/assets/uploads/uploads/2021/01/Apacer-Pendrive-16GB-USB-3.1-AH-190.jpg,https://www.neostore.com.np/assets/uploads/uploads/2021/01/Apacer-Pendrive-16GB-USB-3.1-AH-190...jpg,Apacer Pendrive 16GB USB 3.1 AH-190,"No more memory limitation to stop you from taking photos or recording your wonderful moments during travels; have all the HD videos or sounds you want during long flights without interruption. AH190 is superbly built with excellent portability, quality, and safety that is far ahead of other products of the same grade.","Current Price: Rs.3,500, Original Price: Rs.",Apacer Pendrive 16GB USB 3.1 AH-190,,Pendrive,,,,,16GB,,1 Year Warranty,Apacer,"Gold, Rose Gold"
apacer-pendrive-64gb-ah-353.html,https://www.neostore.com.np/assets/uploads/uploads/2021/01/Apacer-Pendrive-64GB-AH-353-a.jpg,https://www.neostore.com.np/assets/uploads/uploads/2021/01/Apacer-Pendrive-64GB-AH-353.jpg,https://www.neostore.com.np/assets/uploads/uploads/2021/01/Apacer-Pendrive-64GB-AH-353-x.jpg,https://www.neostore.com.np/assets/uploads/uploads/2021/01/Apacer-Pendrive-64GB-AH-353-a.jpg,Apacer Pendrive 64GB AH-353,The AH353 USB 3.0 Gen 1 has an efficient transfer rate which is 10 times faster than traditional USB 2.0. The result is that you stay on the cutting edge of technology. The Pen Cap Design allows the cap to be tucked in the back of the casing to prevent accidental loss.,"Current Price: Rs.1,200, Original Price: Rs.",Apacer Pendrive 64GB AH-353,,Pendrive,,,,"Efficient Transfer Rate The AH353 USB 3.0 Gen 1 has an efficient transfer rate which is 10 times faster than traditional USB 2.0. The result is that you stay on the cutting edge of technology. Light Weight and Slim Aluminum Alloy Casing AH353 adopts aluminum alloy materials, which create a unique and exquisite metallic appearance showcasing the high-tech element. The engraved lines on the body reflect the nature of high-speed, trimmed with arc design to enhance the texture and enrich its light and shadow changes. A lost-proof Pen Cap Design The Pen Cap Design allows the cap to be tucked in the back of the casing to prevent accidental loss. Strap Hole Makes it Easy to be Attached With the strap hole at the end of the flash drive, users can freely attach straps or a keychain to show their personal style.",64GB,,1 Year Warranty,Apacer,"Black, White"
