title,price_first,price_second,image_link,product_link,category
Hiksemi 2.5 Inch HDD & SSD Enclosure,"Rs.1,290 - Rs.1,865","Rs.1,430 - Rs.2,070",https://www.neostore.com.np/assets/uploads/HS-HUB-MHB201.jpg,https://www.neostore.com.np/product/hiksemi-2-5-inch-hdd-ssd-enclosure,portable-hdd-ssd
Hiksemi Personal Protable SSD HS-ESSD-T200N,"Rs.3,600 - Rs.14,130","Rs.4,000 - Rs.15,700",https://www.neostore.com.np/assets/uploads/HS-ESSD-T200N_3.jpg,https://www.neostore.com.np/product/hiksemi-personal-protable-ssd-hs-essd-t200n,portable-hdd-ssd
Hikvision Hikstorage 512GB External SSD HS-ESSD-T100,"Rs.7,900",,https://www.neostore.com.np/assets/uploads/images.jpeg,https://www.neostore.com.np/product/hikvision-hikstorage-512gb-external-ssd-hs-essd-t100,portable-hdd-ssd
UGREEN 2.5 Inch Hard Drive Enclosure SATA HDD Caddy External USB 3.0 Hard Disk Case 30848 ,"Rs.1,360","Rs.1,430",https://www.neostore.com.np/assets/uploads/UGREEN_3.jpg,https://www.neostore.com.np/product/ugreen-2-5-inch-hard-drive-enclosure-sata-hdd-caddy-external-usb-3-0-hard-disk-case-30848-,portable-hdd-ssd
Apacer Military-Grade Shockproof Portable 1TB Hard Drive AC632 ,"Rs.9,800",,https://www.neostore.com.np/assets/uploads/AC632_2.jpg,https://www.neostore.com.np/product/apacer-military-grade-shockproof-portable-1tb-hard-drive-ac632-,portable-hdd-ssd
Apacer USB 3.2 Gen 1 4TB Portable Hard Drive AC237,"Rs.19,600",,https://www.neostore.com.np/assets/uploads/ac237_2.jpg,https://www.neostore.com.np/product/apacer-usb-3-2-gen-1-4tb-portable-hard-drive-ac237,portable-hdd-ssd
Kioxia Exceria Plus Portable USB 3.2 Gen2 Interface SSD,"Rs.17,950 - Rs.56,900","Rs.18,900 - Rs.59,900",https://www.neostore.com.np/assets/uploads/350.jpg,https://www.neostore.com.np/product/kioxia-exceria-plus-portable-usb-3-2-gen2-interface-ssd,portable-hdd-ssd
Apacer 3.2 Gen 1 Shockproof Portable Hard Drive AC532 ,"Rs.10,000 - Rs.13,500",,https://www.neostore.com.np/assets/uploads/apacer_31.jpg,https://www.neostore.com.np/product/apacer-3-2-gen-1-shockproof-portable-hard-drive-ac532-,portable-hdd-ssd
Apacer AC633 Military-Grade Shockproof Portable Hard Drive,"Rs.11,000 - Rs.14,000",,https://www.neostore.com.np/assets/uploads/apacer2.jpg,https://www.neostore.com.np/product/apacer-ac633-military-grade-shockproof-portable-hard-drive,portable-hdd-ssd
Verbatim 2.5 Inch Store n Go GEN2 USB 3.0 Portable HDD,"Rs.7,700 - Rs.18,500",,https://www.neostore.com.np/assets/uploads/verbatim1.jpg,https://www.neostore.com.np/product/verbatim-2-5-inch-store-n-go-gen2-usb-3-0-portable-hdd,portable-hdd-ssd
Adata HV620 USB 3.0 Stylish And Sleek External Hard Drive,"Rs.7,300 - Rs.10,550",,https://www.neostore.com.np/assets/uploads/uploads/2021/04/2-final.jpg,https://www.neostore.com.np/product/adata-hv620-usb-3-0-stylish-and-sleek-external-hard-drive,portable-hdd-ssd
Apacer Hard Disk USB 4TB AC-236,"Rs.20,500",,https://www.neostore.com.np/assets/uploads/uploads/2021/01/Apacer-Hard-Disk-USB-4TB-AC-236.jpg,https://www.neostore.com.np/product/apacer-hard-disk-usb-4tb-ac-236,portable-hdd-ssd
