title,price_first,price_second,image_link,product_link,category
Canon MAXIFY GX3070 High-Performance Wireless MegaTank Printer for Home Offices ,"Rs.47,499","Rs.50,000",https://www.neostore.com.np/assets/uploads/canon_3.jpg,https://www.neostore.com.np/product/canon-maxify-gx3070-high-performance-wireless-megatank-printer-for-home-offices-,printers-scanners
Canon Pixma G2730 3-in-1 Multi-Function Ink Tank Colour Printer,"Rs.19,950","Rs.21,000",https://www.neostore.com.np/assets/uploads/G2730_2.jpg,https://www.neostore.com.np/product/canon-pixma-g2730-3-in-1-multi-function-ink-tank-colour-printer,printers-scanners
Canon Pixma G1737 Single-Function Ink Tank Colour Printer,"Rs.13,300","Rs.14,000",https://www.neostore.com.np/assets/uploads/canon_G1737_3.jpg,https://www.neostore.com.np/product/canon-pixma-g1737-single-function-ink-tank-colour-printer,printers-scanners
Canon PIXMA G3770 Wireless Refillable Ink Tank Printer with Low-Cost Printing,"Rs.25,175","Rs.26,500",https://www.neostore.com.np/assets/uploads/G3770_3.jpg,https://www.neostore.com.np/product/canon-pixma-g3770-wireless-refillable-ink-tank-printer-with-low-cost-printing,printers-scanners
Brother HL-L2370DN A4 Mono Laser Printer,"Rs.24,480","Rs.27,200",https://www.neostore.com.np/assets/uploads/HL-L2370DN_2.jpg,https://www.neostore.com.np/product/brother-hl-l2370dn-a4-mono-laser-printer,printers-scanners
Epson EcoTank L14150 4-in-1 Inkjet Color Printer,"Rs.96,267",,https://www.neostore.com.np/assets/uploads/369.jpg,https://www.neostore.com.np/product/epson-ecotank-l14150-4-in-1-inkjet-color-printer,printers-scanners
Brother DCP-L2540DW 3-in-1 Laser Mono Printer,"Rs.41,350",,https://www.neostore.com.np/assets/uploads/DCP-L2540DW_2.jpg,https://www.neostore.com.np/product/brother-dcp-l2540dw-3-in-1-laser-mono-printer,printers-scanners
Canon PIXMA Printer G2020,"Rs.17,575","Rs.18,500",https://www.neostore.com.np/assets/uploads/g2020_3.jpg,https://www.neostore.com.np/product/canon-pixma-printer-g2020,printers-scanners
Brother DCP-T420W 3-in-1 Inkjet Color Printer,"Rs.36,810","Rs.40,900",https://www.neostore.com.np/assets/uploads/t420_2.jpg,https://www.neostore.com.np/product/brother-dcp-t420w-3-in-1-inkjet-color-printer,printers-scanners
Brother DCP-T220 3-in-1 Inkjet Color Printer,"Rs.28,440","Rs.31,600",https://www.neostore.com.np/assets/uploads/t220_2.jpg,https://www.neostore.com.np/product/brother-dcp-t220-3-in-1-inkjet-color-printer,printers-scanners
