html_filename,image1,image2,image3,image4,product_title,short_description,price,Product,Category,Brand,Color,Interface,Optical Resolution,Supports Color Printing,Warranty,label,description2,Insurance,Show_countdown,Dimensions,Color Type,Functions,Remarks,Display,Resolution,Speed,Cartridges,Paper Input,Paper Output,Media Type,Media Weight,Media sizes,Weight,Power Consumption,Connectivity,Printer Functions,Prodcut,function,Cost,Model,Major Function,Print Resolution,Print Speed,Maintenance Cartridge,System Requirement,Power Supply,Duty Cycle,Dimension,Dimension With Extended Trays
brother-dcp-l2540dw-3-in-1-laser-mono-printer.html,https://www.neostore.com.np/assets/uploads/DCP-L2540DW_2.jpg,https://www.neostore.com.np/assets/uploads/DCP-L2540DW_.jpg,https://www.neostore.com.np/assets/uploads/DCP-L2540DW_2.jpg,https://www.neostore.com.np/assets/uploads/DCP-L2540DW_.jpg,Brother DCP-L2540DW 3-in-1 Laser Mono Printer,"- Up to 30ppm print speed.
- Automatic 2-sided (duplex) printing.
- 35-sheet Automatic Document Feeder (ADF).
- Wired and Wireless Network + Wi-Fi direct.
- Mobile device print and scan capability.
- High yield-toners (Up to 2,600 pages)","Current Price: Rs.41,350, Original Price: Rs.",Brother DCP-L2540DW 3-in-1 Laser Mono Printer,3-in-1 Laser Mono Printer,Brother,Black,Wired/USB,"Up to 1,200 x 1,200 dpi",No,1 Year,,"A Multifunction copier lets you print from your mobile device over your wireless network and connect via wireless networking or USB interface. Print and copy speed up to 30 pages per minute with 600 x 600 dpi. Copy function provides convenient, stand-alone copying sort/stack, ID copy, copy scaling from 25 to 400 percent and more. Save paper with two-sided printing using the automatic duplexer. The 250-sheet input tray adjusts for letter-size and legal-size paper with a maximum paper size of 8-1/2 x 14. DCP-L2540DW Compact Laser Multifunction Copier also features color scanning to a variety of destinations, a 35-page auto document feeder, and 32MB memory. Energy Star qualified.

Key Features",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brother-dcp-t220-3-in-1-inkjet-color-printer.html,https://www.neostore.com.np/assets/uploads/t220_2.jpg,https://www.neostore.com.np/assets/uploads/t220.jpg,https://www.neostore.com.np/assets/uploads/t220_2.jpg,https://www.neostore.com.np/assets/uploads/t220.jpg,Brother DCP-T220 3-in-1 Inkjet Color Printer,Print up to 7500 pages in the box Hi-Speed USB connection Up to 9ipm color / 16ipm mono 150 sheet paper capacity Designed in Japan,"Current Price: Rs.28,440, Original Price: Rs.31,600",Brother DCP-T220 3-in-1 Inkjet Color Printer,Inkjet Printer,Brother,Black,USB,1200x1800 dpi,Yes,1 Year,,"The compact DCP-T220 is a user-friendly 3-in-1 A4 inkjet printer with print, scan and copy functionality. Due to its ink tank refill system you can print high volumes at super low costs per page. Combining this with its sleek design it really is the perfect printer for the home or small office. Cost-saving supply of ink in the box In the box with the DCP-T220, you'll receive 1x black ink bottle (7500-page yield), 1x cyan ink bottle (5000), 1x magenta ink bottle (5000), and 1x yellow ink bottle (5000). This will help you get up and running as soon as possible and with such long-lasting ink, you can enjoy an ultra-low cost per page. Using Brother genuine ink will produce the best quality prints, keep your printer in working order and save you money by avoiding re-prints or 'dead on arrival' cartridges. Simple to use ink tank system The printers within this range are all robustly built and feature-packed. In addition, the new refill system has never been easier. The large capacity tank can now be filled using hands-free ink bottles - simply insert the bottle onto the relevant tank and once it's empty, take it off and ensure the tank is closed. No more mess! Fast and high-quality prints The DCP-T220 offers print speeds of up to 9ipm color / 16ipm mono so you can easily print those multi-page documents quickly and easily. Furthermore, you can rely on high-quality prints with 1200 x 6000 dpi resolutions. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brother-dcp-t310-color-printer.html,https://www.neostore.com.np/assets/uploads/uploads/2020/08/138.jpg,https://www.neostore.com.np/assets/uploads/uploads/2020/08/138.jpg,,,Brother DCP-T310 Color printer,"Print, Scan & Copy: Low cost quality printing with Ultra-high 6500 page yield (black ink) / 5000 page yield (colour ink). Embedded front-access refill ink tank. Flexible paper handling with Default Paper Tray & 1-sheet Manual Feed Slot. Borderless printing.","Current Price: Rs.27,000, Original Price: Rs.",,,,,-,-,Yes,1 Year Warranty,,"With a document print speed of up to 12/6 ipm*, Brother printers speed up your workflows so you can do more in less time. From printing professional reports to outstanding brochures, you can confidently create powerful business materials that will make the right impression. Handle Tasks Efficiently Handle a variety of print jobs with a 150 sheets paper tray adjustable for different paper sizes and an additional single-sheet manual feed slot for various paper types. Save More with Every Print Lower your cost per print with Brother’s Ultra High Yield Ink bottles. Print up to 6,500** pages in black and 5,000** pages in colour! Our affordable genuine ink ensures long-lasting machines and print heads, so you save more in the long run. Refill Easily & Accurately Brother’s Refill Tank System features a transparent cover that allows for easy front access to the embedded ink tank. The user-friendly design is engineered to minimise the risk of mess and leakage. Multiplying Productivity Featuring a 1-line LCD screen and control panel, Brother printers allow for easy navigation of print settings. View user-friendly error messages and onscreen guide for quick self-solution without delay to your print jobs.",1 Year Insurance,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brother-dcp-t420w-3-in-1-inkjet-color-printer.html,https://www.neostore.com.np/assets/uploads/t420_2.jpg,https://www.neostore.com.np/assets/uploads/t420.jpg,https://www.neostore.com.np/assets/uploads/t420_2.jpg,https://www.neostore.com.np/assets/uploads/t420.jpg,Brother DCP-T420W 3-in-1 Inkjet Color Printer,"Print, Scan and Copy Function Inkjet Printer Resolution :Windows: Up to 1,200 x 6,000 dpi and Mac: Up to 1,200 x 3,600 dpi","Current Price: Rs.36,810, Original Price: Rs.40,900",,,,,,,,,,"Introducing Brother's inkjet printers, small and perfect for home or office with higher print volumes. Enjoy printing without worrying about costs and expand your print capabilities with a professional quality that yields crisp, clear text and brilliant color graphics and photos. Print at Full Speed With a document print speed of up to 16/9 ipm*, Brother printers speed up your workflows so you can do more in less time. From printing professional reports to outstanding brochures, you can confidently create powerful business materials that will make the best impression. Handle Tasks Efficiently Handle a variety of print jobs with a 150 sheets paper tray adjustable for different paper sizes and an additional single-sheet manual feed slot for various paper types. Save More with Every Print Lower your cost per print with Brother’s Ultra High Yield Ink bottles. Print up to 7,500** pages in black and 5,000** pages in colour! Our affordable genuine ink ensures long-lasting machines and print heads, so you save more in the long run. Refill Easily & Accurately Brother’s Refill Ink Tank printers features a transparent cover that allows for easy front access to the embedded ink tank. The user-friendly design is engineered to minimise the risk of mess and leakage. Print from Anywhere With flexible connectivity options, our printers are designed to suit all work environments. Built-in Wi-Fi allows your entire workgroup to effortlessly share one device. Plus, Brother printers are equipped with direct mobile print for the convenience of printing wirelessly from your mobile devices. Easy to use Brother Ink Tank Printers are plug and play. You can use them straight out of the box without any driver installation. The simple user interface also makes the printers a breeze to use. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brother-hl-l2370dn-a4-mono-laser-printer.html,https://www.neostore.com.np/assets/uploads/HL-L2370DN_2.jpg,https://www.neostore.com.np/assets/uploads/HL-L2370DN.jpg,https://www.neostore.com.np/assets/uploads/HL-L2370DN_2.jpg,https://www.neostore.com.np/assets/uploads/HL-L2370DN.jpg,Brother HL-L2370DN A4 Mono Laser Printer,"- Up to 34/36 ppm (A4/LTR) print speed
- Automatic 2-sided (duplex) printing
- Up to 1200 x 1200 dpi
- Ethernet
- Replaceable High-yield toner (Up to 2,600 pages)*","Current Price: Rs.24,480, Original Price: Rs.27,200",Brother HL-L2370DN A4 Mono Laser Printer,Laser Mono Printer,Brother,Black,Wired/USB,"Up to 1,200 x 1,200 dpi","Paper Input    Up to 250 sheets of 80 g/m2 plain paper
			Paper Output    Up to 150 sheets of 80 g/m2 Plain Paper (face-down delivery to the face-down output paper tray)",1 Year,,"Performance designed for businesses of tomorrow Designed to be set up and ready to use in minutes, the HL-L2370DN comes with a host of time-saving features, with print speeds up to 34 pages per minute, ensuring that you are never waiting long for that important document. With the large 250 sheet paper tray, you no longer need to refill the paper tray as regularly. Together with a manual feed slot, that can handle a wide variety of paper types, you can have flexibility and laser-quality documents – all from one compact machine. Maximum value for money With cost being a key factor for many businesses, we’ve ensured that the HL-L2370DN is cost-effective. Using our high yield toner cartridges, combined with automatic 2-sided printing can seriously reduce the cost of each print job. Impressive mono print quality Create impactful, professional-looking documents with crisp text and graphics at high-quality resolution. Quiet without compromise Print quietly without comprising on speed or quality, operating at the lowest decibel in class (under 50dB). The HL-L2370DN has been designed to sit on your desk, printing quietly at full speed while you work without interruption. Designed to go the distance Built to perform for longer. Made from robust and hardwearing materials and supported by outstanding service as standard, providing the peace of mind that your printer will keep on going.",,,356  x 360 x 183 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brother-printer-cartridge-lc-563.html,https://www.neostore.com.np/assets/uploads/uploads/2021/04/4-2.jpg,https://www.neostore.com.np/assets/uploads/uploads/2021/04/3-9.jpg,https://www.neostore.com.np/assets/uploads/uploads/2021/04/2-8.jpg,https://www.neostore.com.np/assets/uploads/uploads/2021/04/1-8.jpg,Brother Printer Cartridge LC-563,"For brilliant, sharp printouts, refill your Brother inkjet printer with LC-563. The ink is from Brother's Innobella range, designed to complement Innobella Brother paper and made for print longevity and richer colours. It is also designed to work optimally with your Brother printer, avoiding smears and clogs.","Current Price: Rs., Original Price: Rs.",LC-563BK,,Brother,,,,,,,,,,,"Black, Yellow, Cyan, Magenta",For Brother Printers MFC-J2510CW/MFC-J3520/MFC-J3720,Up to 600 Pages,,,,,,,,,,,,,,,,,,,,,,,,,,
brother-printer-dcp-t510w.html,https://www.neostore.com.np/assets/uploads/uploads/2021/04/Brother-DCP-T510W-3-in-1-Inkjet-Printer-Color.jpg,https://www.neostore.com.np/assets/uploads/uploads/2021/04/Brother-DCP-T510W-3-in-1-Inkjet-Printer-Color-1.jpg,https://www.neostore.com.np/assets/uploads/uploads/2021/04/DCP-T510W-Brother-DCP-T510W-3-in-1-Inkjet-Printer-Color.jpg,https://www.neostore.com.np/assets/uploads/uploads/2021/04/Brother-DCP-T510W-3-in-1-Inkjet-Printer-Color.jpg,Brother Printer DCP T510W,"Printer Type - Ink Tank ; Functionality - All In One (Print, Scan, Copy) ; Printer Output - Color Connectivity - USB, Wi-Fi, Wi-Fi Direct, POWER SOURCE: 220 - 240 V AC 50/60 Hz Compatible Ink Bottles - BTD60BK, BT5000 C, M, Y; Page Yield - 13000 pages (Black), C, M, Y - 5000 pages each (Colour) Ink Color : Black, Cyan, Magenta and Yellow A4, Letter, Legal, Mexico Legal, India Legal, Folio, Executive, A6, Envelopes (C5, Com-10, DL, Monarch), Photo (4"" x 6"")/(10 x 15 cm), Photo 2L (5"" x 7"")/(13 x 18 cm), Index card (5"" x 8"")/(13 x 20 cm) Page Yield - 13000 pages (Black), C, M, Y - 5000 pages each (Colour)","Current Price: Rs.34,200, Original Price: Rs.38,000",,,,,,,,1 Year,,"With accurate prints, crystal clear copies and sky-high resolution scanning, the DCP-T510 is the idea all-rounder to keep your fundamental small office requirements in one stylishly compact machine. You have the choice to print via USB connection or Wi-Fi with the DCP-T510W. Even print on-the-go quickly and easily via your mobile or tablet device. You'll never miss a chance to print that last minute document again. Brother DCP-T510W 3-in-1 Inkjet Printer – Color Introducing our multi-function centres perfect for home or small workgroups with higher print volumes. Enjoy printing without worrying about costs and expand your print capabilities with the professional quality that yields crisp, clear text and brilliant graphics. Print at Full Speed With a document print speed of up to 12/6 ipm, Brother printers speed up your workflows so you can do more in less time. From printing professional reports to outstanding brochures, you can confidently create powerful business materials that will make the right impression. Multiplying Productivity Featuring a 1-line LCD screen and control panel, Brother printers allow for easy navigation of print settings. View user-friendly error messages and onscreen guide for quick self-solution without delay to your print jobs. Refill Easily and Accurately Brother’s refill tank system features a transparent cover that allows for easy front access to the embedded ink tank. The user-friendly design is engineered to minimize the risk of mess and leakage. Print from Anywhere Built-in Wi-Fi allows your entire workgroup to effortlessly share one device. Plus, Brother printers are equipped with direct mobile print for the convenience of printing wirelessly from your mobile devices.",,,435 (W) x 380 (D) x 159 (H) mm,,,,1 Line LCD Display,"Up to 6,000 x 1,200 dpi (Horizontal x Vertical)","Up to 27 (Monochrome) / 10 (Color) ppm (Based on Fast Mode) , Up to 12 (Monochrome) / 6 (Color) ppm (Based on ISO/IEC 24734)","2x black (BTD60BK), 1x cyan (BT5000C), 1x magenta (BT5000M), 1x yellow (BT5000Y)",Up to 150 sheets,"Up to 50 sheets , ADF: No Optional , Paper tray: 1 sheet manual feed slot",Manual feed slot,4-300 gsm,"Plain, Inkjet (coated), Glossy (cast/resin), Recycled. Paper size: A4, Legal, Executive, Letter, A5, A6, Envelopes (Com-10, DL, C5, Monarch), Photo (10 × 15 cm), Photo 2L (13 × 18 cm) and Index Card (13 × 20 cm)",7 kg 400 g,14W,Hi-Speed USB 2.0 interface,"Print, Scan, Copy , Wireless , Mobile Printing",,,,,,,,,,,,,
brother-tn-2060-cartridge.html,https://www.neostore.com.np/assets/uploads/uploads/2021/04/1-5.jpg,https://www.neostore.com.np/assets/uploads/uploads/2021/04/2-5.jpg,https://www.neostore.com.np/assets/uploads/uploads/2021/04/1-5.jpg,https://www.neostore.com.np/assets/uploads/uploads/2021/04/1-5.jpg,Brother TN-2060 Cartridge,Computer component Black toner cartridge Easy to use,"Current Price: Rs.4,410, Original Price: Rs.4,900",,,Brother,,,,,,,"Install the Brother TN 2060 Cartridge (Black) in your laser printer to enjoy high-quality printing.Â  Promising you a page yield of 1,500 pages, this toner is a true value for money. Simply install it and put a rest to all your printing issues. The toner is of black colour and can be of great use when taking out printouts for school projects or office related work. Ensuring maximum usability, it is compatible with Brother DCP 7055 and HL 2130 printers.",,,,,,Toner cartridge 700 pages,,,,,,,,,,,,,,TN-2060 Laser Toner Cartridge,For Brother Printers HL2130/DCP7055,,,,,,,,,,,
canon-all-in-one-laser-printer-mf113w.html,https://www.neostore.com.np/assets/uploads/MF113W-1.jpg,https://www.neostore.com.np/assets/uploads/MF113W-2.jpg,https://www.neostore.com.np/assets/uploads/MF113W-1.jpg,https://www.neostore.com.np/assets/uploads/MF113W-2.jpg,Canon All-in-one Laser Printer | MF113W,"256MB Device Memory Print, Scan, Copy Print Speed (A4): Up to 22ppm Recommended monthly print volume: 250 - 2,500 pages Print resolution: Up to 2,400 (equivalent) × 600 dpi","Current Price: Rs.31,350, Original Price: Rs.33,000",MF113W,Printer,Canon,Black,"Wired, Wireless",600 x 600 dpi,N/a,1 Year,,"Compact All-in-One Canon All-in-one Laser Printer can easily do things such as printing, scanning, or copying. The compact footprint is ideal for small desks. Wi-Fi and access point functionality are built-in. Wireless Freedom Remove bulky wires from your network by sharing the MF113w wirelessly. The printer also includes built-in Access Point technology. So, this allows for simple connectivity to mobile devices without the use of a router. 5 Line LCD Display The 5-line LCD display makes it simple to navigate and configure printer settings. As a result, device management and maintenance may be simplified. Mobile Printing Solution Canon's newest mobile business solution allows you to print papers, pictures, and web pages from a single app. Paper Handling Canon MF113w All-in-one printer has 150 sheets of maximum paper input capacity. And also 100 sheets (face down) output capacity. Additionally, this printer supports Plain, Heavy, Recycle, Label(A4/ Letter), Envelop Paper types which weight between 60 to 163 g/m2. Connectivity Canon All-in-one printer supports wired and Wireless standard interface. High-Speed USB 2.0 and 10/100 Base-T Ethernet are utilized for wired interfaces, as well. And for wireless Wi-Fi 802.11b/g/n and also (Infrastructure mode, WPS Easy Setup, Direct Connection) Compatible Operating System Canon All-in-one Laser Printer is compatible with Windows 10, Windows 8.1, Windows 7, Windows Server 2016, Windows Server 2012 R2, Windows Server 2012, Windows Server 2008 R2, Mac OS X 10.8.5 and higher, Linux. In addition to printer and scanner drivers, there's also toner status and an MF Scan Utility that's been pre-installed.",-,Yes,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,
canon-all-in-one-printer-mf244dw.html,https://www.neostore.com.np/assets/uploads/MF244dw-3.jpg,https://www.neostore.com.np/assets/uploads/MF244dw-2.jpg,https://www.neostore.com.np/assets/uploads/MF244dw-1.jpg,https://www.neostore.com.np/assets/uploads/MF244dw-3.jpg,Canon All-in-one Printer | MF244dw,"512MB Device Memory Print, Scan, Copy Print Speed (A4): Up to 27ppm Recommended monthly print volume: 500 - 2,500 pages Print Resolution: Up to 1200 x 1200dpi (equivalent)","Current Price: Rs.40,375, Original Price: Rs.42,500",MF244DW,Printer,Canon,Black,"Wired, Wireless",600 x 600dpi,N/a,1 Year,,"All-in-one Canon All-in-one Printer (Print, Copy, Scan) featuring duplex printing, an auto document feeder, and wireless connectivity. Provides high-quality output, exceptional capabilities, and reliability, making it suitable for any small office or home office scenario. Auto-Duplex Printing With the built-in auto duplex printing engine, you can stay productive. Additionally, printing double-sided papers save time, paper, and the environment. Auto Document Feeder A 35-sheet ADF performs automatic batch copying and scanning of multi-page document originals. PCL Language The MF244dw includes PCL language as standard. So, this allows the printer to interact with a wide range of business applications. Vari-Angle Operation Panel Using a vari-angle operation panel design, users may tilt the panel to their liking while still allowing for simple operation. This design also allows for device placement flexibility, whether it is on the ground or on a pedestal. One-Touch Solution Key Take advantage of the ease of One-Touch Solution Keys, which are task-specific keys that simplify operations. Moreover, it requires less button-pushing for commonly performed activities. Direct Connection The imageCLASS MF244dw includes built-in Access Point features. Moreover, this allows you for simple connectivity to mobile devices without the use of a router. WiFi Connection Wireless connection on the Canon All-in-one Printer increases productivity. And also allows you to print from nearly anywhere in your home or workplace. Greater Mobility Anywhere You can now print and scan directly from your smartphone or tablet without the need for a computer. So, thanks to a suite of Canon applications. And also compatibility for third-party print solutions.",-,Yes,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,
