title,price_first,price_second,image_link,product_link,category
Havit PJ207 FHD Portable Projector,"Rs.20,000",,https://www.neostore.com.np/assets/uploads/PJ207_3.jpg,https://www.neostore.com.np/product/havit-pj207-fhd-portable-projector,projector
Havit PJ202 1080P FHD Portable Projector,"Rs.31,000",,https://www.neostore.com.np/assets/uploads/PJ202_3.jpg,https://www.neostore.com.np/product/havit-pj202-1080p-fhd-portable-projector,projector
BenQ XGA Meeting Room Projector For Presentation | MX560,"Rs.65,000",,https://www.neostore.com.np/assets/uploads/MX560_benq_3.jpg,https://www.neostore.com.np/product/benq-xga-meeting-room-projector-for-presentation-mx560,projector
BenQ MX550 3600ml XGA Meeting Room Projector For Presentations,"Rs.62,000",,https://www.neostore.com.np/assets/uploads/MX550_2.jpg,https://www.neostore.com.np/product/benq-mx550-3600ml-xga-meeting-room-projector-for-presentations,projector
BenQ MS560 4000lms SVGA Meeting Room Projector,"Rs.57,900",,https://www.neostore.com.np/assets/uploads/ms560_3.jpg,https://www.neostore.com.np/product/benq-ms560-4000lms-svga-meeting-room-projector,projector
Xlab XPSTS-100 Projector Screen,"Rs.9,700",,https://www.neostore.com.np/assets/uploads/xlab3.jpg,https://www.neostore.com.np/product/xlab-xpsts-100-projector-screen,projector
NEC NP-VE304G Projector,"Rs.68,000",,https://www.neostore.com.np/assets/uploads/NP-VE304G_2.jpg,https://www.neostore.com.np/product/nec-np-ve304g-projector,projector
BenQ 4000lms WXGA Meeting Room Projector MW560 ,"Rs.79,700",,https://www.neostore.com.np/assets/uploads/MS560_3.jpg,https://www.neostore.com.np/product/benq-4000lms-wxga-meeting-room-projector-mw560-,projector
BenQ SVGA Meeting Room Projector For Presentation MS550,"Rs.56,400",,https://www.neostore.com.np/assets/uploads/MS550_2.jpg,https://www.neostore.com.np/product/benq-svga-meeting-room-projector-for-presentation-ms550,projector
NEC NP-VE303G Projector,"Rs.55,670","Rs.58,600",https://www.neostore.com.np/assets/uploads/nec_3.jpg,https://www.neostore.com.np/product/nec-np-ve303g-projector,projector
Dell Projector 4220,"Rs.149,625","Rs.166,250",https://www.neostore.com.np/assets/uploads/dell_projector_4220_3.jpg,https://www.neostore.com.np/product/dell-projector-4220,projector
Dell Projector 1450,"Rs.75,900","Rs.79,900",https://www.neostore.com.np/assets/uploads/dell_1450_3.jpg,https://www.neostore.com.np/product/dell-projector-1450,projector
