title,price_first,price_second,image_link,product_link,category
Hiksemi HIKER UDIMM 4800MHz Memory for Desktops DDR5,"Rs.3,090 - Rs.5,660","Rs.3,430 - Rs.6,290",https://www.neostore.com.np/assets/uploads/hikvision_22.jpg,https://www.neostore.com.np/product/hiksemi-hiker-udimm-4800mhz-memory-for-desktops-ddr5,ram
Hiksemi HIKER UDIMM 3200MHz Memory for Desktops DDR4,"Rs.3,090 - Rs.5,660","Rs.3,430 - Rs.6,290",https://www.neostore.com.np/assets/uploads/hikvision_31.jpg,https://www.neostore.com.np/product/hiksemi-hiker-udimm-3200mhz-memory-for-desktops-ddr4,ram
Hiksemi HIKER UDIMM 2666Mhz Memory for Desktops DDR4,"Rs.1,670 - Rs.4,890","Rs.1,855 - Rs.5,430",https://www.neostore.com.np/assets/uploads/hikvision_2.jpg,https://www.neostore.com.np/product/hiksemi-hiker-udimm-2666mhz-memory-for-desktops-ddr4,ram
PNY XLR8 Gaming EPIC-X RGB DDR4 3200MHz Desktop Memory,"Rs.3,400 - Rs.8,000",,https://www.neostore.com.np/assets/uploads/pny6.jpg,https://www.neostore.com.np/product/pny-xlr8-gaming-epic-x-rgb-ddr4-3200mhz-desktop-memory,ram
PNY XLR8 DDR4 3200MHz Desktop Memory,"Rs.3,880 - Rs.6,880",,https://www.neostore.com.np/assets/uploads/XLR8_3.jpg,https://www.neostore.com.np/product/pny-xlr8-ddr4-3200mhz-desktop-memory,ram
PNY Performance DDR4 3200MHz Desktop Memory,"Rs.3,140 - Rs.5,880",,https://www.neostore.com.np/assets/uploads/pny_4.jpg,https://www.neostore.com.np/product/pny-performance-ddr4-3200mhz-desktop-memory,ram
PNY Performance DDR4 2666MHz Desktop Memory,"Rs.4,800 - Rs.6,300",,https://www.neostore.com.np/assets/uploads/pny_41.jpg,https://www.neostore.com.np/product/pny-performance-ddr4-2666mhz-desktop-memory,ram
PNY 8GB 2666Mhz DDR4 SO-DIMM Unbuffered Non-ECC Laptop Memory,"Rs.4,800",,https://www.neostore.com.np/assets/uploads/pny_24.jpg,https://www.neostore.com.np/product/pny-8gb-2666mhz-ddr4-so-dimm-unbuffered-non-ecc-laptop-memory,ram
PNY XLR8 Gaming 3200MHz Notebook Memory,"Rs.3,140 - Rs.6,000","Rs.3,500 - Rs.6,280",https://www.neostore.com.np/assets/uploads/XLR8_laptop_2.jpg,https://www.neostore.com.np/product/pny-xlr8-gaming-3200mhz-notebook-memory,ram
Hikvision U1 DDR3 Desktop RAM 1600MHz,"Rs.4,050 - Rs.8,640",,https://www.neostore.com.np/assets/uploads/hikvision_ram_2.jpg,https://www.neostore.com.np/product/hikvision-u1-ddr3-desktop-ram-1600mhz,ram
Hikvision S1 Laptop RAM,"Rs.7,695 - Rs.14,100","Rs.8,100 - Rs.14,850",https://www.neostore.com.np/assets/uploads/uploads/2021/03/yoo_0001_hikvision_0005_laptop-ram.jpg,https://www.neostore.com.np/product/hikvision-s1-laptop-ram,ram
