title,price_first,price_second,image_link,product_link,category
JBL GO 4 Ultra Portable Speaker,"Rs.7,500",,https://www.neostore.com.np/assets/uploads/jbl_go_4_2.jpg,https://www.neostore.com.np/product/jbl-go-4-ultra-portable-speaker,speakers
Ultima Wavebar 120 Sound Bar,"Rs.12,999","Rs.15,999",https://www.neostore.com.np/assets/uploads/Ultima_Wavebar_120W_Soundbar_31.jpg,https://www.neostore.com.np/product/ultima-wavebar-120-sound-bar,speakers
HiFuture Music Box 100W Wireless Karaoke Speaker ,"Rs.15,999",,https://www.neostore.com.np/assets/uploads/Hifuture_music_box_black_2.jpg,https://www.neostore.com.np/product/hifuture-music-box-100w-wireless-karaoke-speaker-,speakers
Ultima Marvel Bluetooth Speaker,"Rs.3,299","Rs.3,999",https://www.neostore.com.np/assets/uploads/marvel_411.jpg,https://www.neostore.com.np/product/ultima-marvel-bluetooth-speaker,speakers
Anker Motion X600 | High-Quality Sound Wireless Speaker,"Rs.34,999",,https://www.neostore.com.np/assets/uploads/X600_4.jpg,https://www.neostore.com.np/product/anker-motion-x600-high-quality-sound-wireless-speaker,speakers
"F&D PA200 Wireless Bluetooth Party Speaker, 160W","Rs.28,975","Rs.30,500",https://www.neostore.com.np/assets/uploads/PA200_3.jpg,https://www.neostore.com.np/product/f-d-pa200-wireless-bluetooth-party-speaker-160w,speakers
F&D PA100 Bluetooth Party Speaker 40W,"Rs.19,950","Rs.21,000",https://www.neostore.com.np/assets/uploads/pa100_3.jpg,https://www.neostore.com.np/product/f-d-pa100-bluetooth-party-speaker-40w,speakers
F&D HT-330 2.1 Bluetooth soundbar with Wired subwoofer 80W,"Rs.16,150","Rs.17,000",https://www.neostore.com.np/assets/uploads/ht-330_2.jpg,https://www.neostore.com.np/product/f-d-ht-330-2-1-bluetooth-soundbar-with-wired-subwoofer-80w,speakers
F&D A521X 2.1 Multimedia Speaker ,"Rs.9,975","Rs.10,500",https://www.neostore.com.np/assets/uploads/A521X_3.jpg,https://www.neostore.com.np/product/f-d-a521x-2-1-multimedia-speaker-,speakers
F&D W5 Plus Portable Bluetooth Speaker,"Rs.4,370","Rs.4,600",https://www.neostore.com.np/assets/uploads/W5_Plus_3.jpg,https://www.neostore.com.np/product/f-d-w5-plus-portable-bluetooth-speaker,speakers
JBL Flip 6 Speaker,"Rs.16,500",,https://www.neostore.com.np/assets/uploads/JBL_Flip_6_Speaker_2.jpg,https://www.neostore.com.np/product/jbl-flip-6-speaker,speakers
JBL Charge 5 Bluetooth Speaker,"Rs.27,900",,https://www.neostore.com.np/assets/uploads/JBL_Charge_5_Bluetooth_Speaker_3.jpg,https://www.neostore.com.np/product/jbl-charge-5-bluetooth-speaker,speakers
