html_filename,image1,image2,image3,image4,product_title,short_description,price,Product,Category,Brand,Color,Output level,Frequency Range,System Required,label,description2,Type,Product Dimensions,Compatible Devices,Connector  Type,Battery,Warranty,Price,Output Power,Full Range Driver,Bass Driver,Includes,Best For,Show_countdown,System Requirement,Microphone form factor,Cost,Item Weight,Batteries,Output power,Model,Colour,Connection,Connectivity,LED,Speaker_Dimensions,Cable Length,Weight,Selling Price,Brand Name:,Communication,Audio Crossover,Display Screen,Microphone,PMPO,Connector Type,Power,Inbuild Battery,Battery Capacity,Frequency,Bluetooth Version,Charge time,Maximum play time,Waterproof,Dust proof,IP Code,In the Box,Barnd,Dimensions,Connection Type,Charging Time,Battery Type,Transducer,Signal-to-noise ratio,Bluetooth Profile,Bluetooth Frequency Range,Bluetooth® transmitter power,Bluetooth® transmitter modulation,Package List,Connector type,System Type,I/O,Built-in Microphone,Audio Input,Audio Source,Power Consumption,Technology,Range,Charge Time,Play Time,Water Resistance,Name,Design,Built,Bluetooth,Transmission Range,Speaker Type,Audio,Power Output,Portability,Driver,Bass Radiator,Frequency Response,Playtime,RGB Led Lights,TWS Functionality,Charging Port,Built In Mic,Button Controls,Compatibility,Package Contains,Replacement
-logitech-z623-2-1-thx-certified-sound-system.html,https://www.neostore.com.np/assets/uploads/z623_3.jpg,https://www.neostore.com.np/assets/uploads/z623.jpg,https://www.neostore.com.np/assets/uploads/z623_2.jpg,https://www.neostore.com.np/assets/uploads/z623_3.jpg,Logitech Z623 2.1 THX Certified Sound System,"More depth, more sound. The 400 Watts Peak/200 Watts RMS power of THX®-certified sound adds depth to music, movies, and gaming—all from your desktop. The 3.5 mm (0.14 in) and RCA inputs can be used to connect up to three compatible devices. All of the controls are conveniently located on the satellite speaker, ensuring that magnificent, immersive sound is never far away.","Current Price: Rs.32,200, Original Price: Rs.33,900",Logitech Z623 2.1 THX Certified Sound System,2.1 Sound System,Logitech,Black,100 dB,35Hz-20KHz,"Windows® 10, Windows 8.1, Windows 8 oder Windows 7
USB port (for keyboard)
Second USB port (for USB passthrough port)
(Optional) Internet access for Logitech G HUB software.",,"Designed from the ground up to provide the most authentic experience possible. Logitech Z623 2.1 THX Certified Sound System have been fine-tuned to transmit the artist's vision accurately into your living space. HEAR ACROSS THE SPECTRUM For music, movies, and gaming, this 2.1 system delivers clear sound and thunderous bass. The small satellites bring out the high notes, while the side-ported subwoofer brings out the deep beats. It’s powerful sound you can feel. CONNECT YOUR WAY There are three connectors for a total of three times the fun. You can connect your favorite devices, such as your TV, computer, smartphone, and even your gaming console, using two 3.5 mm (0.14 in) connectors and RCA inputs. Keeping them all connected and flip between them as much as you want if you want. You may hook into your own personal soundscape at any time thanks to the Headphone jack on the right-hand speaker. CONTROL YOUR SOUND The satellite speaker has power, volume, bass, and a headphone input, so you can get your perfect sound straight away. You may adjust the bass level (up or down) with the dedicated bass knob. GREAT SOUND IS TIMELESS With a finely adjusted sound profile and product construction that has endured the test of time, Logitech Z623 is a trusted and proven element of the Logitech speaker lineup. One of the most popular desktop speakers from Logitech1 Quality speaks for itself, according to independent sales data from the United States of America (Sep'19-Sep'20). DIMENSIONS Subwoofer Satellite (for the pair) ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anker-motion-x600-high-quality-sound-wireless-speaker.html,https://www.neostore.com.np/assets/uploads/X600_4.jpg,https://www.neostore.com.np/assets/uploads/X600_2.jpg,https://www.neostore.com.np/assets/uploads/X600.jpg,https://www.neostore.com.np/assets/uploads/X600_3.jpg,Anker Motion X600 | High-Quality Sound Wireless Speaker,"Immersive Spatial Audio: Inspired by theater acoustics, Motion X600 has 5 drivers and 5 amplifiers that are positioned to deliver sound all around you. Feel like you're in the room with your favorite artist, every time you press play. 50W Room-Filling Sound: Whether you're having a party or just enjoying your favorite tunes, the 50W sound will fill any space with rich, high-quality sound that brings music to life. Take lmmersive Music Anywhere: Portable and lightweight, Motion X600 is easy to carry between rooms to transform any part of your home into an immersive listening space. 12-Hour Playtime: Keep listening to music and podcasts for days at a time - with zero battery anxiety. Fully Waterproof: Features IPX7 waterproof protection so you can simply relax and listen without worrying about the speaker getting wet.

Note: For peak performance, please use the soundcore app and update to the latest firmware.","Current Price: Rs.34,999, Original Price: Rs.",Anker Motion X600 | High-Quality Sound Wireless Speaker,,Anker,Black & Blue,,,,,,Bluetooth speaker,"12-1/4""W x 6-3/4""H x 3-1/16""D","Smartphones, tablets, Televisions, Laptops","Bluetooth 5.3 3.5mm AUX, USB",Continuous 12 Hours playtime,18 Months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anker-soundcore-flaremini-speaker.html,https://www.neostore.com.np/assets/uploads/flaremini_3.jpg,https://www.neostore.com.np/assets/uploads/flaremini.jpg,https://www.neostore.com.np/assets/uploads/flaremini_2.jpg,https://www.neostore.com.np/assets/uploads/flaremini_3.jpg,Anker Soundcore Flaremini Speaker,Wireless Stereo 5 Lighting Modes With 8 Lights IPX7 Water Resistance Extra Portable 12 Hours Play Time,"Current Price: Rs.6,999, Original Price: Rs.",Soundcore Flaremini,Speaker,Anker,Black,,73Hz~20kHz(-3dB),,,"All Round Pounding Sound Back-to-back 5W (10W total) neodymium speakers deliver intense 360° sound for spectacular sound in every direction. All speakers are driven by BassUp technology, multi-band DRC, and twin IIR passive radiators. Audio Fireworks For a really immersive listening experience, watch a halo of LEDs phase, pulse, and light in time with your music. 8 separate LEDs and 5 lighting settings allow you to create a unique party scene in your home or yard. Pool Party Proof Flare Mini is an outdoor Bluetooth speaker that is ready for anything the weather throws at it. Spills, rain, and even total submersion in water (for 30 minutes) are no match for IPX7 waterproof protection. Can’t Stop The Beat A high-efficiency Li-ion battery provides 12 hours of pounding music and pulsating light on a single charge, which is far longer than standard outdoor Bluetooth speakers. Begin the party early and stay up late! Wireless Stereo For enhanced stereo sound, connect two Flare Mini outdoor Bluetooth speakers to a single Bluetooth device. Designed to operate with any device, including iPhones, iPad, iPods, Macs, Smartphones, Tablets, Laptops, Computers, Chromebooks, TVs, and Personal Digital Assistants (PDAs). Super Strong Connection Bluetooth 4.2 offers a 20-meter range, so you may dance and interact while listening to music. Stereo Audio For the best stereo sound, connect two speakers to a single device.",,,,,,18 Months,-,5 Watt( 10 Watt ),N/a,N/a,"Speaker, USB-A to Micro-USB Cable","Music, Movies, Pool Party",Yes,Bluetooth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anker-soundcore-motion-b-bluetooth-speaker.html,https://www.neostore.com.np/assets/uploads/anker_3.jpg,https://www.neostore.com.np/assets/uploads/anker_2.jpg,https://www.neostore.com.np/assets/uploads/anker.jpg,https://www.neostore.com.np/assets/uploads/anker_3.jpg,Anker Soundcore Motion B Bluetooth Speaker,"Anker Soundcore Motion B Bluetooth Speaker has 18 months warranty Upgraded Edition: Anker's original Soundcore Bluetooth speaker with bigger sound and stronger protection. Turn it Up: Dual full-range drivers and an oversized bass radiator drop a huge 12W of stereo sound. Pool Party Proof: IPX7-rated casing offers impermeable protection, even during complete submersion. 12+ Hour Playtime: Listen more and charge less thanks to a high-performance Li-ion battery.","Current Price: Rs.5,999, Original Price: Rs.",Anker Soundcore Motion B Bluetooth Speaker,,Anker,Black,,,,,"Anker Soundcore Motion B has Bigger Beats Not only does Motion B deliver 12W of intense audio power, it is designed to significantly reduce distortion. Even when you push your music to the volume limit there is zero compromise on clarity or performance. Deeper Bass BassUp technology uses a customized digital signal processor to analyzes, then enhance your music’s bass frequencies in real time. This audio signal is then turned into intensified sound via state-of-the-art neodymium drivers. IPX7 Waterproof Motion B’s internal components are fully protected by an IPX7 waterproof casing. It withstands full immersion in up to 1 meter of water for 30 minutes—ready for whatever the beach and pool can throw at it. Don’t Stop ‘Til You Get Enough If you want to keep dancing, Motion B can keep playing; get over 12 hours of continuous tunes, or around 240 songs from a single charge. Turn up the volume and prepare yourself for a full day or night of musical power. Power2 A single Motion B delivers unprecedented power for its size, but it is also possible to double it. Pair two speakers* via a single Bluetooth-enabled device for a huge hit of stereo sound; 24W of portable audio intensity. Audio On-The-Go IPX5 water-resistant rating and dustproof engineering mean you can bring your beats anywhere – from the garden, to the beach. Upgraded materials provide smooth touch, and better grip.",Bluetooth Speaker,,"Audio Player, Laptop, Mobile, Tablet, Television",Bluetooth 4.2,,18 Months,,,,,,,,,Built-in Mic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anker-soundcore-rave-partycast-speaker.html,https://www.neostore.com.np/assets/uploads/partycast.jpg,https://www.neostore.com.np/assets/uploads/partycast_2.jpg,https://www.neostore.com.np/assets/uploads/partycast_3.jpg,https://www.neostore.com.np/assets/uploads/partycast.jpg,Anker Soundcore Rave partycast Speaker,Colossal Sound Dazzling LIght 18 Hours Of Music Body Shaking Bass Water resistance IPX7,"Current Price: Rs.30,799, Original Price: Rs.",Soundcore Rvae Partycast,Speaker,Anker,Black,,N/a,,,"Party Proof Get yourself in the beat, submerge yourself in earth-shaking bass, and dance under the beat-powered light show. Take a single Rave or make a speaker chain for a full day and let its vast soundstage fill your room with tremendous party feelings. Ride The Wave A heart-stopping 105 dB of sound with crisp treble and booming bass is powered by dual 5.25-inch woofers, 2-inch tweeters, and a bass port. Rave features BassUp technology to enhance and lower the bass without sacrificing clarity. This also ensures you feel the low-frequencies racing through your body. The Beat Gets LiT Rave exploits the rhythm of the beat and creates a fully-synchronized light show that dances together with the song using our own Rave Party Lighting algorithm and independent DSP. A giant strobe light functions as a beacon in the middle, guiding you straight to the party's core. Non-18 Hours Music The morning is rising, and you've had your fill of partying, but not Rave. Its massive battery can keep the music playing and the lights on for up to 18 hours. Plug your phone into the built-in USB connector with Anker's patented PowerIQ fast-charging technology for an instant boost. IPX7 Water Resistance Although you can't control the weather, Rave's water-resistant shell assures that rain. And also spilled beverages won't put a halt to the party. Powered by Froala Editor",,,,,,18 Months,-,80W,N/a,N/a,"Speaker, A/C Adapter","Music, Movies, Party",Yes,Bluetooth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boomin-bs-mipow.html,https://www.neostore.com.np/assets/uploads/uploads/2020/11/mipow_boomin.jpg,https://www.neostore.com.np/assets/uploads/uploads/2020/11/mipow_boomin-1.jpg,https://www.neostore.com.np/assets/uploads/uploads/2020/11/mipow_boomin.jpg,https://www.neostore.com.np/assets/uploads/uploads/2020/11/mipow_boomin-1.jpg,Boomin(BS)Mipow,"BOOMIN is a unique quadrate Bluetooth speaker using Bluetooth V4.0 low energy consumption technology to greatly enhance audio playtime and stand-by time; the classic compact design with removable leather strap makes it convenient to use, indoor and outdoor.","Current Price: Rs.3,600, Original Price: Rs.4,500",Boomin(BS)Mipow,Speaker,Mipow,-,,,"Bluetooth source device e.g. computer, tablet, smartphone etc",,"This speaker comes with an output power of 3 watts. With the classic shape and Bluetooth compatibility, the MiPow BOOMIN Portable Bluetooth Speaker can be a perfect addition to your outdoor music needs. The shape has been matched carefully with the corresponding anodized aluminum alloy colors. There’s also a detachable leather strip you can use to carry it easily when you’re traveling outdoors. You can even convert it to a handy microphone and get up to 10 hours of talk time and 3-5 hours of continuous music play. All in all, a great CD-like music quality for your outdoor adventures is finally here.",,2.87 x 2.17 x 2.17 inches,,,,,,,,,,"Great for music, movies, internet video entertainment and other audio uses",Yes,,,6500,5.4 ounces,1 Lithium ion batteries required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
digicom-2-1-channel-bluetooth-multimedia-speaker-dg-z700bt.html,https://www.neostore.com.np/assets/uploads/uploads/2021/06/1-50.jpg,https://www.neostore.com.np/assets/uploads/uploads/2021/06/3-34.jpg,https://www.neostore.com.np/assets/uploads/uploads/2021/06/2-45.jpg,https://www.neostore.com.np/assets/uploads/uploads/2021/06/1-50.jpg,Digicom 2.1 Channel Bluetooth Multimedia Speaker DG-Z700BT,"Digicom Multiple Bluetooth Speaker comes with multi-input interfaces for various playback modes such as FM, AUX, BT, USB dongle, and SD card. It's a quality 2.1 subwoofer system with a powerful bass effect.","Current Price: Rs.6,935, Original Price: Rs.7,300",DG-Z700BT,Speaker,Digicom,Black,,50Hz,,,"DIGICOM 2.1 Channel Bluetooth Multimedia Speaker The premium range of DIGICOM's series is the FINE CONE series. Furthermore, this 2.1 Channel Multimedia Speaker is carefully designed for the speaker to produce a flawless linear frequency response curve. Moreover, this is Ideal for a home theatrical system with natural finishing. In addition, It includes clear audio, accurate location, and great resolution. It is a powerful 2.1 surround subwoofer system with all sorts of cabinet and acoustic production. One left channel, one right channel, and a subwoofer channel make up the Digicom Bluetooth Multimedia Speaker configuration. Additionally, a 2.1 channel configuration, for example, is the same as a stereo (2.0) setup, but with a subwoofer added to the mix. In addition, this subwoofer system is also compatible with soundbars. Likewise, powered speaker systems can also be used with the 2.1 setup option. Additionally, the Subwoofer Channel also supports deep bass frequencies, sometimes known as the LFE. Multiple Modes The Speaker comes for multiple playing modes. In particular, you can enjoy the modes like FM, AUX, BT, USB, SD card, 3.5mm, and 2RCA jackets with numerous input interfaces. Also, the speaker is ideal for digital multimedia movies, TV, CD/DVD, and Mp3/Mp4 playbacks. Specification: Features What’s in the box? See the checklist below to figures out what comes inside the box pack of Digicom 2.1 Channel Bluetooth Multimedia Speaker. Explore our other Digicom Product Also, if you are looking to explore the variety of speakers, Click Here!!!",,,,,,Yes,-,,-,-,"Subwoofer, Satellite speaker","Home Theater, digital movies, TV, Mp3/Mp4 playbacks",N/a,Bluetooth,,,,,60 Watt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f-d-a521x-2-1-multimedia-speaker-.html,https://www.neostore.com.np/assets/uploads/A521X_3.jpg,https://www.neostore.com.np/assets/uploads/A521X.jpg,https://www.neostore.com.np/assets/uploads/A521X_4.jpg,https://www.neostore.com.np/assets/uploads/A521X_2.jpg,F&D A521X 2.1 Multimedia Speaker,"Play/Pause, Next, Previous three buttons for USB/SD reader control Built in AVR (Automatic Voltage Regulator) for wide main operating voltage range Side panel controls for volume and bass Fluorescence full function remote control 4"" full range driver for satellites and 6.5"" bass driver for subwoofer Bluetooth audio streaming Plug & play USB/SD card reader USB reader supporting MP3/WMA dual formats decoding Apply advanced PLL Technology for uninterrupted digital FM experience","Current Price: Rs.9,975, Original Price: Rs.10,500",F&D A521X 2.1 Multimedia Speaker,,F&D,Black,,,,, ,2.1 Multimedia Speaker,‎29.6 x 29.6 x 42.9 cm,"DVD, Audio Player, Laptop, Computers, Mobile, Tablet, Television","Bluetooth 4.0, 3.5mm jack, USB",,12 Months,,,,,,,,,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f-d-ht-330-2-1-bluetooth-soundbar-with-wired-subwoofer-80w.html,https://www.neostore.com.np/assets/uploads/ht-330_2.jpg,https://www.neostore.com.np/assets/uploads/ht-330_3.jpg,https://www.neostore.com.np/assets/uploads/ht-330.jpg,https://www.neostore.com.np/assets/uploads/ht-330_4.jpg,F&D HT-330 2.1 Bluetooth soundbar with Wired subwoofer 80W,Full-range speaker: 50x90mm 6.5” driver for subwoofer \ Sleek soundbar fits discreetly under your flat panel TV Detachable satellite design Bluetooth 5.0 version Plug & play USB reader USB reader supporting MP3/WMA dual formats decoding Digital audio supporting through optical inputs Bright LED display with good view angle Full function remote control • Super wooden subwoofer cabinet delivers powerful bass,"Current Price: Rs.16,150, Original Price: Rs.17,000",F&D HT-330 2.1 Bluetooth soundbar with Wired subwoofer 80W,,Fenda,Black,,,,,,Bluetooth Soundbar with subwoofer,"898 x101 x68mm (soundbar) 
			190x345x331mm (subwoofer)","Audio Player, Laptop Computers, MP3 Players, Mobile, Tablet, Television","Bluetooth 5.0, USB, 3.5mm Jack",,12 Months,,,,,,,,,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f-d-pa100-bluetooth-party-speaker-40w.html,https://www.neostore.com.np/assets/uploads/pa100_3.jpg,https://www.neostore.com.np/assets/uploads/pa100_2.jpg,https://www.neostore.com.np/assets/uploads/pa100_.jpg,https://www.neostore.com.np/assets/uploads/pa100_3.jpg,F&D PA100 Bluetooth Party Speaker 40W,"5.25 inch bass driver for super bass performance Plastic materials for high quality frame Supporting Bluetooth, USB, FM and Aux input 40W Built-in rechargeable 4000mAh battery Multicolor light go with the music rhythm Plug in mic or guitar to have fun","Current Price: Rs.19,950, Original Price: Rs.21,000",F&D PA100 Bluetooth Party Speaker 40W,,Fenda,Black,,,,,,Portable Bluetooth Speaker,27.7D x 32.5W x 29.3H in cm,"Audio Player, Laptop Computers, MP3 Players, Mobile, Tablet, Television","Bluetooth, Sd card reader, USB",4000mAh,12 Months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
