title,price_first,price_second,image_link,product_link,category
Hiksemi 2.5 Inch HDD & SSD Enclosure,"Rs.1,290 - Rs.1,865","Rs.1,430 - Rs.2,070",https://www.neostore.com.np/assets/uploads/HS-HUB-MHB201.jpg,https://www.neostore.com.np/product/hiksemi-2-5-inch-hdd-ssd-enclosure,storage
Hiksemi CITY E100 Consumer m.2 SSD HS-SSD-E100N,"Rs.2,445 - Rs.11,320","Rs.2,715 - Rs.12,575",https://www.neostore.com.np/assets/uploads/E100N_hiksemi_3.jpg,https://www.neostore.com.np/product/hiksemi-city-e100-consumer-m-2-ssd-hs-ssd-e100n,storage
Hiksemi CITY E100 Consumer SSD HS-SSD-E100,"Rs.1,999 - Rs.10,930","Rs.2,220 - Rs.12,145",https://www.neostore.com.np/assets/uploads/HS-SSD-E100.jpg,https://www.neostore.com.np/product/hiksemi-city-e100-consumer-ssd-hs-ssd-e100,storage
Hiksemi Personal Protable SSD HS-ESSD-T200N,"Rs.3,600 - Rs.14,130","Rs.4,000 - Rs.15,700",https://www.neostore.com.np/assets/uploads/HS-ESSD-T200N_3.jpg,https://www.neostore.com.np/product/hiksemi-personal-protable-ssd-hs-essd-t200n,storage
Hikvision Hikstorage 512GB External SSD HS-ESSD-T100,"Rs.7,900",,https://www.neostore.com.np/assets/uploads/images.jpeg,https://www.neostore.com.np/product/hikvision-hikstorage-512gb-external-ssd-hs-essd-t100,storage
Seagate 1TB 3.5 Inch Desktop HDD - 7200 RPM,"Rs.7,500","Rs.7,900",https://www.neostore.com.np/assets/uploads/2641.jpg,https://www.neostore.com.np/product/seagate-1tb-3-5-inch-desktop-hdd---7200-rpm,storage
Seagate SkyHawk 3.5 Inch Surveillance Hard Drives - 5900 RPM,"Rs.8,075 - Rs.18,900","Rs.8,500 - Rs.19,900",https://www.neostore.com.np/assets/uploads/1821.jpg,https://www.neostore.com.np/product/seagate-skyhawk-3-5-inch-surveillance-hard-drives---5900-rpm,storage
Seagate SkyHawk 3.5 Inch Surveillance Hard Drives ,"Rs.8,465 - Rs.47,150","Rs.9,406 - Rs.52,387",https://www.neostore.com.np/assets/uploads/1831.jpg,https://www.neostore.com.np/product/seagate-skyhawk-3-5-inch-surveillance-hard-drives-,storage
UGREEN 2.5 Inch Hard Drive Enclosure SATA HDD Caddy External USB 3.0 Hard Disk Case 30848 ,"Rs.1,360","Rs.1,430",https://www.neostore.com.np/assets/uploads/UGREEN_3.jpg,https://www.neostore.com.np/product/ugreen-2-5-inch-hard-drive-enclosure-sata-hdd-caddy-external-usb-3-0-hard-disk-case-30848-,storage
Apacer 32GB AH790 Usb 3.1 Gen1 & Lightning Dual Flash Drive,"Rs.3,800",,https://www.neostore.com.np/assets/uploads/AH790_3.jpg,https://www.neostore.com.np/product/apacer-32gb-ah790-usb-3-1-gen1-lightning-dual-flash-drive,storage
Apacer 256GB AH25B USB 3.2 Gen 1 Flash Drive,"Rs.3,300",,https://www.neostore.com.np/assets/uploads/AH25B_3.jpg,https://www.neostore.com.np/product/apacer-256gb-ah25b-usb-3-2-gen-1-flash-drive,storage
Apacer 16GB AH357 USB 3.2 Gen 1 Flash Drive,Rs.700,,https://www.neostore.com.np/assets/uploads/AH357_2.jpg,https://www.neostore.com.np/product/apacer-16gb-ah357-usb-3-2-gen-1-flash-drive,storage
Apacer 128GB AH350 USB 3.2 Gen 1 Flash Drive,"Rs.1,800",,https://www.neostore.com.np/assets/uploads/ah350.jpg,https://www.neostore.com.np/product/apacer-128gb-ah350-usb-3-2-gen-1-flash-drive,storage
Apacer Military-Grade Shockproof Portable 1TB Hard Drive AC632 ,"Rs.9,800",,https://www.neostore.com.np/assets/uploads/AC632_2.jpg,https://www.neostore.com.np/product/apacer-military-grade-shockproof-portable-1tb-hard-drive-ac632-,storage
Apacer USB 3.2 Gen 1 4TB Portable Hard Drive AC237,"Rs.19,600",,https://www.neostore.com.np/assets/uploads/ac237_2.jpg,https://www.neostore.com.np/product/apacer-usb-3-2-gen-1-4tb-portable-hard-drive-ac237,storage
Sandisk Ultra Dual Drive Go 3.1 USB Type-C Flash Drive,"Rs.1,125 - Rs.1,450",,https://www.neostore.com.np/assets/uploads/Sandisk_pendrive_3.jpg,https://www.neostore.com.np/product/sandisk-ultra-dual-drive-go-3-1-usb-type-c-flash-drive,storage
SanDisk Ultra Flair USB 3.0 Flash Drive,"Rs.900 - Rs.1,900",,https://www.neostore.com.np/assets/uploads/SanDisk_Ultra_Flair_2.jpg,https://www.neostore.com.np/product/sandisk-ultra-flair-usb-3-0-flash-drive,storage
Sandisk Ultra Curve USB 3.2 Gen 1 Flash Drives,"Rs.800 - Rs.1,725",,https://www.neostore.com.np/assets/uploads/SanDisk_Ultra_Curve_3.jpg,https://www.neostore.com.np/product/sandisk-ultra-curve-usb-3-2-gen-1-flash-drives,storage
Sandisk Cruzer Glide 3.0 USB Flash Drive,"Rs.775 - Rs.1,675",,https://www.neostore.com.np/assets/uploads/cruzer_glide_2.jpg,https://www.neostore.com.np/product/sandisk-cruzer-glide-3-0-usb-flash-drive,storage
Kioxia Exceria Plus Portable USB 3.2 Gen2 Interface SSD,"Rs.17,950 - Rs.56,900","Rs.18,900 - Rs.59,900",https://www.neostore.com.np/assets/uploads/350.jpg,https://www.neostore.com.np/product/kioxia-exceria-plus-portable-usb-3-2-gen2-interface-ssd,storage
Kioxia NVMe M.2 2280 PCIe Gen 4 x 4 Exceria Pro SSD,"Rs.40,375 - Rs.68,875","Rs.42,500 - Rs.72,500",https://www.neostore.com.np/assets/uploads/178.jpg,https://www.neostore.com.np/product/kioxia-nvme-m-2-2280-pcie-gen-4-x-4-exceria-pro-ssd,storage
Kioxia NVMe M.2 2280 PCIe Gen 3 x 4 Exceria Plus G2 SSD,"Rs.12,825 - Rs.60,325","Rs.13,500 - Rs.63,500",https://www.neostore.com.np/assets/uploads/177.jpg,https://www.neostore.com.np/product/kioxia-nvme-m-2-2280-pcie-gen-3-x-4-exceria-plus-g2-ssd,storage
Kioxia M.2 2280 PCIe Gen 3x4 EXCERIA NVMe SSD,"Rs.6,840 - Rs.17,670","Rs.7,200 - Rs.18,600",https://www.neostore.com.np/assets/uploads/kioxia.jpg,https://www.neostore.com.np/product/kioxia-m-2-2280-pcie-gen-3x4-exceria-nvme-ssd,storage
Kioxia 2.5 Inch Exceria Sata SSD,"Rs.6,175 - Rs.16,625","Rs.6,500 - Rs.17,500",https://www.neostore.com.np/assets/uploads/exercia.jpg,https://www.neostore.com.np/product/kioxia-2-5-inch-exceria-sata-ssd,storage
AZEK PCIe NVMe M.2 Internal Gaming SSD A1000,"Rs.3,350 - Rs.10,500",,https://www.neostore.com.np/assets/uploads/176.jpg,https://www.neostore.com.np/product/azek-pcie-nvme-m-2-internal-gaming-ssd-a1000,storage
AZEK Consumer Series 2.5 Inch SSD A100,"Rs.3,100 - Rs.16,900",,https://www.neostore.com.np/assets/uploads/a100_2.jpg,https://www.neostore.com.np/product/azek-consumer-series-2-5-inch-ssd-a100,storage
Netac N930E Pro M.2 NVMe SSD NT01N930E-E4X,"Rs.3,315 - Rs.14,430","Rs.3,490 - Rs.15,190",https://www.neostore.com.np/assets/uploads/260.jpg,https://www.neostore.com.np/product/netac-n930e-pro-m-2-nvme-ssd-nt01n930e-e4x,storage
Netac 2.5 Inch Sata III SSD - NT01N600S-S3X,"Rs.2,495 - Rs.12,340","Rs.2,625 - Rs.12,990",https://www.neostore.com.np/assets/uploads/349.jpg,https://www.neostore.com.np/product/netac-2-5-inch-sata-iii-ssd---nt01n600s-s3x,storage
PNY Turbo Attache 4 USB 3.0 Flash Drive,"Rs.900 - Rs.1,900",,https://www.neostore.com.np/assets/uploads/pny5.jpg,https://www.neostore.com.np/product/pny-turbo-attache-4-usb-3-0-flash-drive,storage
Apacer 256GB SSD AS350,"Rs.3,300",,https://www.neostore.com.np/assets/uploads/as350_2.jpg,https://www.neostore.com.np/product/apacer-256gb-ssd-as350,storage
Apacer AH353 USB 3.0 Pendrive 32GB ,Rs.750,,https://www.neostore.com.np/assets/uploads/apacer5.jpg,https://www.neostore.com.np/product/apacer-ah353-usb-3-0-pendrive-32gb-,storage
"Apacer 2.0 16GB Pendrive  AH128,AH129","Rs.1,000",,https://www.neostore.com.np/assets/uploads/apacer_24.jpg,https://www.neostore.com.np/product/apacer-2-0-16gb-pendrive-ah128-ah129,storage
Apacer AH-179 USB 3.2 Gen 1 OTG Pendrive,"Rs.1,275 - Rs.1,750",,https://www.neostore.com.np/assets/uploads/apacer_3.jpg,https://www.neostore.com.np/product/apacer-ah-179-usb-3-2-gen-1-otg-pendrive,storage
Apacer 3.2 Gen 1 Shockproof Portable Hard Drive AC532 ,"Rs.10,000 - Rs.13,500",,https://www.neostore.com.np/assets/uploads/apacer_31.jpg,https://www.neostore.com.np/product/apacer-3-2-gen-1-shockproof-portable-hard-drive-ac532-,storage
Apacer AC633 Military-Grade Shockproof Portable Hard Drive,"Rs.11,000 - Rs.14,000",,https://www.neostore.com.np/assets/uploads/apacer2.jpg,https://www.neostore.com.np/product/apacer-ac633-military-grade-shockproof-portable-hard-drive,storage
Verbatim 2.5 Inch Store n Go GEN2 USB 3.0 Portable HDD,"Rs.7,700 - Rs.18,500",,https://www.neostore.com.np/assets/uploads/verbatim1.jpg,https://www.neostore.com.np/product/verbatim-2-5-inch-store-n-go-gen2-usb-3-0-portable-hdd,storage
PNY CS2140 M.2 NVMe SSD,"Rs.8,280 - Rs.10,665",,https://www.neostore.com.np/assets/uploads/CS2140.jpg,https://www.neostore.com.np/product/pny-cs2140-m-2-nvme-ssd,storage
PNY CS1031 M.2 NVME Gen 3 SSD,"Rs.4,140 - Rs.7,280",,https://www.neostore.com.np/assets/uploads/PNY_CS1031.jpg,https://www.neostore.com.np/product/pny-cs1031-m-2-nvme-gen-3-ssd,storage
PNY CS900 - Solid state drive,"Rs.2,260 - Rs.12,280",,https://www.neostore.com.np/assets/uploads/pny.jpg,https://www.neostore.com.np/product/pny-cs900---solid-state-drive,storage
Hikvision M200 USB 2.0 Pendrive,Rs.675 - Rs.945,,https://www.neostore.com.np/assets/uploads/hikvision_pd.jpg,https://www.neostore.com.np/product/hikvision-m200-usb-2-0-pendrive,storage
Hikvision PCIe E1000 NVME SSD,"Rs.5,130 - Rs.12,825",,https://www.neostore.com.np/assets/uploads/E1000.jpg,https://www.neostore.com.np/product/hikvision-pcie-e1000-nvme-ssd,storage
Team Group GXII SSD 2.5 inches,"Rs.3,500 - Rs.8,700",,https://www.neostore.com.np/assets/uploads/uploads/2021/07/GXII-2.5-inches-SSD-Drive-Internal.jpg,https://www.neostore.com.np/product/team-group-gxii-ssd-2-5-inches,storage
Adata HV620 USB 3.0 Stylish And Sleek External Hard Drive,"Rs.7,300 - Rs.10,550",,https://www.neostore.com.np/assets/uploads/uploads/2021/04/2-final.jpg,https://www.neostore.com.np/product/adata-hv620-usb-3-0-stylish-and-sleek-external-hard-drive,storage
Hikvision M200 USB 3.0 Pendrive,"Rs.743 - Rs.3,587",,https://www.neostore.com.np/assets/uploads/uploads/2021/03/hikvision_0007_hikvision-m200-.jpg,https://www.neostore.com.np/product/hikvision-m200-usb-3-0-pendrive,storage
Hikvision E100N m.2 SATA SSD,"Rs.3,780 - Rs.20,115",,https://www.neostore.com.np/assets/uploads/uploads/2021/03/hikvision_0017_Hikvision-E100N-2.jpg,https://www.neostore.com.np/product/hikvision-e100n-m-2-sata-ssd,storage
Hikvision E100 Consumer Class 2.5” SATA SSD,"Rs.3,780 - Rs.20,115",,https://www.neostore.com.np/assets/uploads/uploads/2021/03/hikvision_0019_HIKVISION-E100-Copy-1.jpg,https://www.neostore.com.np/product/hikvision-e100-consumer-class-2-5-sata-ssd,storage
Hikvision C100 Consumer Class 2.5” SATA SSD,"Rs.3,645 - Rs.38,475",,https://www.neostore.com.np/assets/uploads/uploads/2021/03/hikvision_0010_HIKVISION-C100.jpg,https://www.neostore.com.np/product/hikvision-c100-consumer-class-2-5-sata-ssd,storage
Apacer Pendrive 64GB AH-353,"Rs.1,200",,https://www.neostore.com.np/assets/uploads/uploads/2021/01/Apacer-Pendrive-64GB-AH-353-a.jpg,https://www.neostore.com.np/product/apacer-pendrive-64gb-ah-353,storage
Apacer USB 3.2 Type C Pendrive  Ah-180,"Rs.1,400 - Rs.2,600",,https://www.neostore.com.np/assets/uploads/uploads/2021/01/Apacer-Pendrive-32GB-Ah-180-Type-Ca.jpg,https://www.neostore.com.np/product/apacer-usb-3-2-type-c-pendrive-ah-180,storage
Apacer Hard Disk USB 4TB AC-236,"Rs.20,500",,https://www.neostore.com.np/assets/uploads/uploads/2021/01/Apacer-Hard-Disk-USB-4TB-AC-236.jpg,https://www.neostore.com.np/product/apacer-hard-disk-usb-4tb-ac-236,storage
Apacer Pendrive 16GB USB 3.1 AH-190,"Rs.3,500",,https://www.neostore.com.np/assets/uploads/uploads/2021/01/Apacer-Pendrive-16GB-USB-3.1-AH-190.jpg,https://www.neostore.com.np/product/apacer-pendrive-16gb-usb-3-1-ah-190,storage
Apacer 64GB USB 3.1 Gen 1 Pendrive,"Rs.2,660",,https://www.neostore.com.np/assets/uploads/uploads/2020/08/114.jpg,https://www.neostore.com.np/product/apacer-64gb-usb-3-1-gen-1-pendrive,storage
Apacer Pendrive AH-353 USB 3.0,"Rs.900 - Rs.1,400",,https://www.neostore.com.np/assets/uploads/uploads/2020/08/113.jpg,https://www.neostore.com.np/product/apacer-pendrive-ah-353-usb-3-0,storage
