title,price_first,price_second,image_link,product_link,category
"Ruijie Reyee RG-ES226GC-P, 26-Port Gigabit Smart Cloud Managed PoE Switch","Rs.64,230",,https://www.neostore.com.np/assets/uploads/RG-ES226GC-P_2.jpg,https://www.neostore.com.np/product/ruijie-reyee-rg-es226gc-p-26-port-gigabit-smart-cloud-managed-poe-switch,switches
"Ruijie Reyee RG-ES218GC-P, 18-Port Gigabit Smart Cloud Managed PoE Switch","Rs.21,351",,https://www.neostore.com.np/assets/uploads/RG-ES218GC-P_3.jpg,https://www.neostore.com.np/product/ruijie-reyee-rg-es218gc-p-18-port-gigabit-smart-cloud-managed-poe-switch,switches
"Ruijie Reyee RG-ES209GC-P, 9-Port Gigabit Smart Cloud Managed PoE Switch","Rs.21,351",,https://www.neostore.com.np/assets/uploads/RG-ES209GC-P_3.jpg,https://www.neostore.com.np/product/ruijie-reyee-rg-es209gc-p-9-port-gigabit-smart-cloud-managed-poe-switch,switches
"Ruijie Reyee RG-ES206GC-P, 6-Port Gigabit Smart Cloud Managed PoE Switch","Rs.12,564",,https://www.neostore.com.np/assets/uploads/RG-ES206GC-P_3.jpg,https://www.neostore.com.np/product/ruijie-reyee-rg-es206gc-p-6-port-gigabit-smart-cloud-managed-poe-switch,switches
"Ruijie Reyee RG-ES205GC-P, 5-Port Gigabit Smart Cloud Mananged PoE Switch","Rs.11,646",,https://www.neostore.com.np/assets/uploads/RG-ES205GC-P_31.jpg,https://www.neostore.com.np/product/ruijie-reyee-rg-es205gc-p-5-port-gigabit-smart-cloud-mananged-poe-switch,switches
"Ruijie Reyee RG-ES216GC, 16-Port Gigabit Smart Cloud Managed Non-PoE Switch","Rs.21,739",,https://www.neostore.com.np/assets/uploads/RG-ES216GC_3.jpg,https://www.neostore.com.np/product/ruijie-reyee-rg-es216gc-16-port-gigabit-smart-cloud-managed-non-poe-switch,switches
"Ruijie Reyee RG-ES208GC, 8-Port Gigabit Smart Cloud Managed Non-PoE Switch","Rs.6,882",,https://www.neostore.com.np/assets/uploads/RG-ES208GC_3.jpg,https://www.neostore.com.np/product/ruijie-reyee-rg-es208gc-8-port-gigabit-smart-cloud-managed-non-poe-switch,switches
"Ruijie Reyee RG-ES205GC-P, 5-Port Gigabit Smart Cloud Mananged PoE Switch","Rs.5,541",,https://www.neostore.com.np/assets/uploads/RG-ES205GC-P_2.jpg,https://www.neostore.com.np/product/ruijie-reyee-rg-es205gc-p-5-port-gigabit-smart-cloud-mananged-poe-switch,switches
Hikvision 4 Port Fast Ethernet Smart POE Switch DS-3E1105P-EI,"Rs.5,024",,https://www.neostore.com.np/assets/uploads/DS-3E1105P-E_2.jpg,https://www.neostore.com.np/product/hikvision-4-port-fast-ethernet-smart-poe-switch-ds-3e1105p-ei,switches
Hikvision 24 Port Gigabit Unmanaged Switch DS-3E0524-E,"Rs.10,993",,https://www.neostore.com.np/assets/uploads/DS-3E0524-E(B).jpg,https://www.neostore.com.np/product/hikvision-24-port-gigabit-unmanaged-switch-ds-3e0524-e,switches
WI-TEK 4FE+2FE uplink 250m LR switch WI-PS205V2,"Rs.14,500",,https://www.neostore.com.np/assets/uploads/WI-PS205_2.jpg,https://www.neostore.com.np/product/wi-tek-4fe-2fe-uplink-250m-lr-switch-wi-ps205v2,switches
WI-TEK Unmanaged Gigabit Switch WI-SG108,"Rs.4,500",,https://www.neostore.com.np/assets/uploads/WI-SG108_2.jpg,https://www.neostore.com.np/product/wi-tek-unmanaged-gigabit-switch-wi-sg108,switches
WI-TEK 4GE+2GE Uncontrolled Gigabit Switch With POE Function WI-PS305G,"Rs.7,000",,https://www.neostore.com.np/assets/uploads/WI-PS305G_3.jpg,https://www.neostore.com.np/product/wi-tek-4ge-2ge-uncontrolled-gigabit-switch-with-poe-function-wi-ps305g,switches
Wi-Tek 24 port smart switch WI-SG124D,"Rs.15,500",,https://www.neostore.com.np/assets/uploads/WI-SG124D_2.jpg,https://www.neostore.com.np/product/wi-tek-24-port-smart-switch-wi-sg124d,switches
WI-TEK 8-Port Gigabit Unmanaged POE Switch WI-PS308G,"Rs.10,000",,https://www.neostore.com.np/assets/uploads/WI-PS308G.jpg,https://www.neostore.com.np/product/wi-tek-8-port-gigabit-unmanaged-poe-switch-wi-ps308g,switches
Hikvision Pro Series 16 Port Gigabit Unmanaged Switch DS-3E0516-E(B),"Rs.8,035",,https://www.neostore.com.np/assets/uploads/DS-3E0516-E(B).jpg,https://www.neostore.com.np/product/hikvision-pro-series-16-port-gigabit-unmanaged-switch-ds-3e0516-e-b-,switches
Hikvision 8 Port Gigabit Unmanaged Switch DS-3E0508D-E,"Rs.2,860",,https://www.neostore.com.np/assets/uploads/DS-3E0508D-E.jpg,https://www.neostore.com.np/product/hikvision-8-port-gigabit-unmanaged-switch-ds-3e0508d-e,switches
