title,price_first,price_second,image_link,product_link,category
Oppo Reno 12,"Rs.65,999",,https://www.neostore.com.np/assets/uploads/Oppo_Reno_12_4.jpg,https://www.neostore.com.np/product/oppo-reno-12,webcams
Hikvision DS-U18 8MP Professional Webcam with Built-in Microphone,"Rs.10,041",,https://www.neostore.com.np/assets/uploads/hikv_1_3.jpg,https://www.neostore.com.np/product/hikvision-ds-u18-8mp-professional-webcam-with-built-in-microphone,webcams
Dell Pro 2k QHD Webcam - WB5023,"Rs.26,500","Rs.27,900",https://www.neostore.com.np/assets/uploads/wc.jpg,https://www.neostore.com.np/product/dell-pro-2k-qhd-webcam---wb5023,webcams
Dell UltraSharp 4K Webcam WB7022,"Rs.40,750","Rs.42,900",https://www.neostore.com.np/assets/uploads/wc1.jpg,https://www.neostore.com.np/product/dell-ultrasharp-4k-webcam-wb7022,webcams
Logitech C505 HD Webcam,"Rs.8,065","Rs.8,490",https://www.neostore.com.np/assets/uploads/274.jpg,https://www.neostore.com.np/product/logitech-c505-hd-webcam,webcams
Logitech Brio Webcam,"Rs.46,450","Rs.48,900",https://www.neostore.com.np/assets/uploads/brio_2.jpg,https://www.neostore.com.np/product/logitech-brio-webcam,webcams
Logitech Pro HD Stream Webcam C922,"Rs.23,360","Rs.24,590",https://www.neostore.com.np/assets/uploads/c922-3.jpg,https://www.neostore.com.np/product/logitech-pro-hd-stream-webcam-c922,webcams
Thronmax Stream Go Pro 1080P Webcam,"Rs.9,499",,https://www.neostore.com.np/assets/uploads/uploads/2021/02/0004_1-2.jpg,https://www.neostore.com.np/product/thronmax-stream-go-pro-1080p-webcam,webcams
Logitech Rally Camera Black USB,"Rs.239,000",,https://www.neostore.com.np/assets/uploads/uploads/2021/02/0010_Logitech-Rally-Camera-Black-USB.jpg,https://www.neostore.com.np/product/logitech-rally-camera-black-usb,webcams
Logitech C270 HD Webcam,"Rs.4,075","Rs.4,290",https://www.neostore.com.np/assets/uploads/uploads/2021/02/0012_Logitech-C270-HD-Webcam2.jpg,https://www.neostore.com.np/product/logitech-c270-hd-webcam,webcams
Logitech VC Camera Meetup,"Rs.170,900",,https://www.neostore.com.np/assets/uploads/uploads/2020/12/Logitech-VC-Camera-Meetup.jpg,https://www.neostore.com.np/product/logitech-vc-camera-meetup,webcams
Logitech Conference Cam Connect,"Rs.69,900",,https://www.neostore.com.np/assets/uploads/uploads/2020/10/1.jpg,https://www.neostore.com.np/product/logitech-conference-cam-connect,webcams
THRONMAX Stream Go X1 1080p Webcam,"Rs.6,299",,https://www.neostore.com.np/assets/uploads/uploads/2020/09/4-8.jpg,https://www.neostore.com.np/product/thronmax-stream-go-x1-1080p-webcam,webcams
Logitech C920 HD Pro Webcam,"Rs.21,650","Rs.22,790",https://www.neostore.com.np/assets/uploads/uploads/2020/08/c920-pro-hd-webcam-refresh-2.jpg,https://www.neostore.com.np/product/logitech-c920-hd-pro-webcam,webcams
