title,price_first,price_second,image_link,product_link,category
Apple Iphone 16 Pro Max,"Rs.232,500 - Rs.308,000",,https://www.neostore.com.np/assets/uploads/Apple_Iphone_16_3.jpg,https://www.neostore.com.np/product/apple-iphone-16-pro-max,apple
Apple Iphone 16 Pro,"Rs.195,000 - Rs.251,500",,https://www.neostore.com.np/assets/uploads/Apple_Iphone_16_Pro_2.jpg,https://www.neostore.com.np/product/apple-iphone-16-pro,apple
Apple Iphone 16 Plus,"Rs.171,000 - Rs.226,000",,https://www.neostore.com.np/assets/uploads/16_plus_2.jpg,https://www.neostore.com.np/product/apple-iphone-16-plus,apple
Apple Iphone 16,"Rs.152,500 - Rs.207,500",,https://www.neostore.com.np/assets/uploads/16_2.jpg,https://www.neostore.com.np/product/apple-iphone-16,apple
Apple Iphone 15 Pro Max,"Rs.205,999 - Rs.281,299","Rs.214,300 - Rs.289,900",https://www.neostore.com.np/assets/uploads/iphone_2.jpg,https://www.neostore.com.np/product/apple-iphone-15-pro-max,apple
Apple Iphone 15 Pro,"Rs.168,299 - Rs.262,499","Rs.176,500 - Rs.270,900",https://www.neostore.com.np/assets/uploads/15_pro_2.jpg,https://www.neostore.com.np/product/apple-iphone-15-pro,apple
Apple Iphone 15 Plus,"Rs.154,200 - Rs.210,800",,https://www.neostore.com.np/assets/uploads/iphun_15_31.jpg,https://www.neostore.com.np/product/apple-iphone-15-plus,apple
Apple Iphone 15,"Rs.135,200 - Rs.191,900",,https://www.neostore.com.np/assets/uploads/iphun_15_3.jpg,https://www.neostore.com.np/product/apple-iphone-15,apple
Apple Iphone 14,"Rs.114,000",,https://www.neostore.com.np/assets/uploads/iphone_14_2.jpg,https://www.neostore.com.np/product/apple-iphone-14,apple
Apple iPhone 12,"Rs.85,100",,https://www.neostore.com.np/assets/uploads/iphone_12_2.jpg,https://www.neostore.com.np/product/apple-iphone-12,apple
Apple iPhone 13,"Rs.90,000","Rs.95,000",https://www.neostore.com.np/assets/uploads/iphone_13_3.jpg,https://www.neostore.com.np/product/apple-iphone-13,apple
